102/01/07,0,0,---,---,---,---,---,0
102/01/08,0,0,---,---,---,---,---,0
102/01/09,397000,286840,0.73,0.73,0.71,0.71,0.00,5
102/01/10,1000,670,0.67,0.67,0.67,0.67,-0.04,1
102/01/11,0,0,---,---,---,---,---,0
102/01/14,0,0,---,---,---,---,---,0
102/01/15,5000,3050,0.61,0.61,0.61,0.61,+0.02,1
102/01/16,0,0,---,---,---,---,---,0
102/01/17,0,0,---,---,---,---,---,0
102/01/18,0,0,---,---,---,---,---,0
102/01/21,10000,4300,0.43,0.43,0.43,0.43,+0.05,1
102/01/22,10000,4940,0.47,0.51,0.47,0.51,+0.08,3
102/01/23,0,0,---,---,---,---,---,0
102/01/24,127000,60450,0.48,0.48,0.45,0.45,-0.02,4
102/01/25,9000,4340,0.50,0.50,0.48,0.48,+0.03,3
102/01/28,0,0,---,---,---,---,---,0
102/01/29,99000,47520,0.48,0.48,0.48,0.48,+0.03,1
102/01/30,3000,1410,0.47,0.47,0.47,0.47,-0.01,1
102/01/31,0,0,---,---,---,---,---,0
102/02/01,297000,133650,0.45,0.45,0.45,0.45,0.00,4
102/02/04,0,0,---,---,---,---,---,0
102/02/05,0,0,---,---,---,---,---,0
102/02/06,3000,1140,0.38,0.38,0.38,0.38,+0.02,1
102/02/18,43000,16800,0.40,0.40,0.38,0.38,0.00,2
102/02/19,149000,65580,0.46,0.46,0.44,0.44,+0.06,5
102/02/20,315000,152210,0.43,0.52,0.43,0.51,+0.07,11
102/02/21,217000,117200,0.53,0.55,0.53,0.53,+0.02,9
102/02/22,257000,133060,0.51,0.54,0.49,0.53,0.00,7
102/02/23,421000,219560,0.52,0.55,0.46,0.46,-0.07,14
102/02/25,29000,12160,0.43,0.43,0.41,0.41,-0.05,3
102/02/26,177000,72020,0.42,0.42,0.39,0.39,-0.02,6
102/02/27,373000,195560,0.44,0.61,0.44,0.60,+0.21,22
102/03/01,820000,506280,0.57,0.80,0.57,0.64,+0.04,36
102/03/04,144000,64880,0.49,0.52,0.36,0.48,-0.16,13
102/03/05,281000,129410,0.43,0.49,0.41,0.49,+0.01,24
102/03/06,260000,111340,0.45,0.45,0.40,0.41,-0.08,12
102/03/07,51000,21530,0.42,0.43,0.41,0.42,+0.01,8
102/03/08,453000,180210,0.43,0.44,0.38,0.38,-0.04,18
102/03/11,204000,70650,0.38,0.38,0.34,0.35,-0.03,10
102/03/12,876000,345150,0.37,0.42,0.37,0.39,+0.04,21
102/03/13,373000,146860,0.41,0.41,0.37,0.38,-0.01,10
102/03/14,316000,126660,0.43,0.43,0.38,0.41,+0.03,14
102/03/15,812000,340760,0.40,0.44,0.40,0.40,-0.01,26
102/03/18,174000,61440,0.37,0.37,0.35,0.35,-0.05,8
102/03/19,285000,108740,0.37,0.41,0.35,0.36,+0.01,11
102/03/20,1253000,518720,0.37,0.45,0.37,0.40,+0.04,28
102/03/21,1030000,434650,0.43,0.44,0.39,0.39,-0.01,20
102/03/22,521000,201480,0.40,0.42,0.37,0.37,-0.02,11
102/03/25,1254000,523350,0.40,0.43,0.38,0.42,+0.05,20
102/03/26,338000,138100,0.42,0.42,0.40,0.40,-0.02,10
102/03/27,1237000,468980,0.41,0.41,0.36,0.36,-0.04,21
102/03/28,408000,144200,0.36,0.36,0.34,0.36,0.00,11
102/03/29,386000,132730,0.35,0.35,0.33,0.34,-0.02,8
102/04/01,625000,175340,0.35,0.35,0.24,0.24,-0.10,15
102/04/02,354000,83530,0.22,0.26,0.22,0.26,+0.02,11
102/04/03,298000,83950,0.26,0.30,0.26,0.28,+0.02,7
102/04/08,322000,72730,0.23,0.23,0.22,0.22,-0.06,7
102/04/09,11000,2490,0.23,0.23,0.21,0.21,-0.01,2
102/04/10,1000,190,0.19,0.19,0.19,0.19,-0.02,1
102/04/11,0,0,---,---,---,---,---,0
102/04/12,32000,7040,0.22,0.22,0.22,0.22,+0.03,2
102/04/15,334000,52210,0.17,0.17,0.13,0.15,-0.07,8
102/04/16,147000,18970,0.13,0.16,0.12,0.16,+0.01,5
102/04/17,2000,300,0.15,0.15,0.15,0.15,-0.01,1
102/04/18,90000,11900,0.14,0.14,0.13,0.13,-0.02,3
102/04/19,327000,46850,0.15,0.15,0.14,0.14,+0.01,5
102/04/22,0,0,---,---,---,---,---,0
102/04/23,0,0,---,---,---,---,---,0
102/04/24,2000,240,0.12,0.12,0.12,0.12,-0.02,1
102/04/25,36000,4320,0.12,0.12,0.12,0.12,0.00,2
102/04/26,6000,600,0.10,0.10,0.10,0.10,-0.02,1
102/04/29,119000,10700,0.10,0.10,0.04,0.04,-0.06,2
102/04/30,0,0,---,---,---,---,---,0
102/05/02,5000,490,0.09,0.10,0.09,0.10,+0.04,3
102/05/03,0,0,---,---,---,---,---,0
102/05/06,0,0,---,---,---,---,---,0
102/05/07,0,0,---,---,---,---,---,0
102/05/08,0,0,---,---,---,---,---,0
102/05/09,0,0,---,---,---,---,---,0
102/05/10,0,0,---,---,---,---,---,0
102/05/13,0,0,---,---,---,---,---,0
102/05/14,0,0,---,---,---,---,---,0
102/05/15,39000,2730,0.07,0.07,0.07,0.07,-0.03,2
102/05/16,16000,960,0.06,0.06,0.06,0.06,-0.01,1
102/05/17,0,0,---,---,---,---,---,0
102/05/20,125000,15400,0.12,0.14,0.12,0.14,+0.06,4
102/05/21,32000,3600,0.12,0.12,0.10,0.10,-0.04,3
102/05/22,20000,1800,0.09,0.09,0.09,0.09,-0.01,1
102/05/23,2000,180,0.09,0.09,0.09,0.09,0.00,1
102/05/24,40000,3200,0.08,0.08,0.08,0.08,-0.01,1
102/05/27,0,0,---,---,---,---,---,0
102/05/28,0,0,---,---,---,---,---,0
102/05/29,0,0,---,---,---,---,---,0
102/05/30,0,0,---,---,---,---,---,0
102/05/31,0,0,---,---,---,---,---,0
102/06/03,0,0,---,---,---,---,---,0
102/06/04,0,0,---,---,---,---,---,0
102/06/05,0,0,---,---,---,---,---,0
