104/02/02,0.0,0.0,--,--,--,--,0.0,0.0
104/02/03,100000.0,74000.0,0.74,0.74,0.74,0.74,X0.00,1.0
104/02/04,488000.0,386660.0,0.82,0.82,0.77,0.77,0.03,3.0
104/02/05,438000.0,326240.0,0.73,0.76,0.73,0.75,-0.02,3.0
104/02/06,200000.0,148000.0,0.74,0.74,0.74,0.74,-0.01,2.0
104/02/09,0.0,0.0,--,--,--,--,0.0,0.0
104/02/10,0.0,0.0,--,--,--,--,0.0,0.0
104/02/11,326000.0,238480.0,0.72,0.74,0.72,0.74,X0.00,2.0
104/02/12,326000.0,234220.0,0.73,0.73,0.71,0.71,-0.03,2.0
104/02/13,0.0,0.0,--,--,--,--,0.0,0.0
104/02/24,0.0,0.0,--,--,--,--,0.0,0.0
104/02/25,68000.0,49640.0,0.73,0.73,0.73,0.73,X0.00,1.0
104/02/26,403000.0,290400.0,0.69,0.75,0.69,0.75,0.02,12.0
104/03/02,686000.0,473620.0,0.71,0.71,0.67,0.67,-0.08,13.0
104/03/03,340000.0,212800.0,0.64,0.64,0.62,0.62,-0.05,6.0
104/03/04,488000.0,311320.0,0.63,0.65,0.63,0.65,0.03,3.0
104/03/05,524000.0,290960.0,0.57,0.58,0.53,0.53,-0.12,6.0
104/03/06,391000.0,211140.0,0.54,0.54,0.54,0.54,0.01,6.0
104/03/09,0.0,0.0,--,--,--,--,0.0,0.0
104/03/10,0.0,0.0,--,--,--,--,0.0,0.0
104/03/11,475000.0,260400.0,0.54,0.6,0.54,0.6,X0.00,4.0
104/03/12,314000.0,171720.0,0.56,0.56,0.54,0.54,-0.06,4.0
104/03/13,0.0,0.0,--,--,--,--,0.0,0.0
104/03/16,4000.0,2000.0,0.5,0.5,0.5,0.5,X0.00,2.0
104/03/17,0.0,0.0,--,--,--,--,0.0,0.0
104/03/18,4000.0,2080.0,0.52,0.52,0.52,0.52,X0.00,1.0
104/03/19,1000.0,550.0,0.55,0.55,0.55,0.55,0.03,1.0
