103/10/09,0,0,--,--,--,--,,0
103/10/13,0,0,--,--,--,--,,0
103/10/14,0,0,--,--,--,--,,0
103/10/15,0,0,--,--,--,--,,0
103/10/16,0,0,--,--,--,--,,0
103/10/17,0,0,--,--,--,--,,0
103/10/20,26000,12220,0.47,0.47,0.47,0.47,X,1
103/10/21,57000,26420,0.46,0.47,0.46,0.46,-0.01,4
103/10/22,0,0,--,--,--,--,,0
103/10/23,41000,17630,0.43,0.43,0.43,0.43,X,2
103/10/24,0,0,--,--,--,--,,0
103/10/27,42000,11760,0.28,0.28,0.28,0.28,X,1
103/10/28,0,0,--,--,--,--,,0
103/10/29,0,0,--,--,--,--,,0
103/10/30,0,0,--,--,--,--,,0
103/10/31,0,0,--,--,--,--,,0
103/11/03,0,0,--,--,--,--,,0
103/11/04,0,0,--,--,--,--,,0
103/11/05,0,0,--,--,--,--,,0
103/11/06,0,0,--,--,--,--,,0
103/11/07,0,0,--,--,--,--,,0
103/11/10,0,0,--,--,--,--,,0
103/11/11,0,0,--,--,--,--,,0
103/11/12,0,0,--,--,--,--,,0
103/11/13,0,0,--,--,--,--,,0
103/11/14,0,0,--,--,--,--,,0
103/11/17,0,0,--,--,--,--,,0
103/11/18,0,0,--,--,--,--,,0
103/11/19,0,0,--,--,--,--,,0
103/11/20,0,0,--,--,--,--,,0
103/11/21,0,0,--,--,--,--,,0
103/11/24,0,0,--,--,--,--,,0
103/11/25,0,0,--,--,--,--,,0
103/11/26,0,0,--,--,--,--,,0
103/11/27,0,0,--,--,--,--,,0
103/11/28,0,0,--,--,--,--,,0
103/12/01,0,0,--,--,--,--,,0
103/12/02,0,0,--,--,--,--,,0
103/12/03,0,0,--,--,--,--,,0
103/12/04,0,0,--,--,--,--,,0
103/12/05,0,0,--,--,--,--,,0
103/12/08,0,0,--,--,--,--,,0
103/12/09,0,0,--,--,--,--,,0
103/12/10,0,0,--,--,--,--,,0
103/12/11,0,0,--,--,--,--,,0
103/12/12,0,0,--,--,--,--,,0
103/12/15,0,0,--,--,--,--,,0
103/12/16,0,0,--,--,--,--,,0
103/12/17,0,0,--,--,--,--,,0
103/12/18,66000,27590,0.40,0.45,0.38,0.45,X,3
103/12/19,59000,23360,0.45,0.45,0.39,0.40,-0.05,4
103/12/22,0,0,--,--,--,--,,0
103/12/23,71000,26210,0.36,0.37,0.36,0.37,X,5
103/12/24,287000,112170,0.38,0.40,0.38,0.40,0.03,6
103/12/25,218000,80860,0.37,0.38,0.37,0.38,-0.02,3
103/12/26,109000,40220,0.37,0.38,0.36,0.38,,4
103/12/27,103000,38140,0.38,0.38,0.37,0.37,-0.01,3
103/12/29,30000,10800,0.36,0.36,0.36,0.36,-0.01,3
103/12/30,6000,2100,0.35,0.35,0.35,0.35,-0.01,1
103/12/31,0,0,--,--,--,--,,0
104/01/05,97000,32290,0.33,0.34,0.33,0.33,X,3
104/01/06,258000,75820,0.30,0.30,0.29,0.29,-0.04,3
104/01/07,0,0,--,--,--,--,,0
104/01/08,55000,17350,0.32,0.32,0.31,0.31,X,2
104/01/09,171000,61780,0.35,0.38,0.35,0.38,0.07,5
104/01/12,210000,72900,0.33,0.36,0.33,0.36,-0.02,5
104/01/13,180000,62220,0.36,0.36,0.34,0.35,-0.01,4
104/01/14,125000,42500,0.34,0.34,0.34,0.34,-0.01,2
104/01/15,188000,64020,0.35,0.35,0.33,0.34,,6
104/01/16,50000,17500,0.35,0.35,0.35,0.35,0.01,1
104/01/19,228000,66120,0.29,0.29,0.29,0.29,-0.06,3
104/01/20,208000,58740,0.28,0.29,0.28,0.29,,3
104/01/21,100000,26000,0.26,0.26,0.26,0.26,-0.03,2
104/01/22,476000,129400,0.27,0.28,0.27,0.27,0.01,8
104/01/23,340000,92700,0.28,0.28,0.26,0.26,-0.01,5
104/01/26,0,0,--,--,--,--,,0
104/01/27,208000,51800,0.25,0.25,0.24,0.24,X,3
104/01/28,0,0,--,--,--,--,,0
104/01/29,0,0,--,--,--,--,,0
104/01/30,483000,111090,0.23,0.23,0.23,0.23,X,1
104/02/02,0,0,--,--,--,--,,0
104/02/03,0,0,--,--,--,--,,0
104/02/04,0,0,--,--,--,--,,0
104/02/05,0,0,--,--,--,--,,0
104/02/06,0,0,--,--,--,--,,0
104/02/09,0,0,--,--,--,--,,0
104/02/10,0,0,--,--,--,--,,0
104/02/11,0,0,--,--,--,--,,0
104/02/12,0,0,--,--,--,--,,0
104/02/13,158000,17380,0.11,0.11,0.11,0.11,X,2
104/02/24,58000,7540,0.13,0.13,0.13,0.13,0.02,1
104/02/25,0,0,--,--,--,--,,0
104/02/26,0,0,--,--,--,--,,0
104/03/02,0,0,--,--,--,--,,0
104/03/03,0,0,--,--,--,--,,0
104/03/04,0,0,--,--,--,--,,0
104/03/05,30000,2700,0.09,0.09,0.09,0.09,X,2
104/03/06,120000,12800,0.10,0.11,0.10,0.10,0.01,4
104/03/09,0,0,--,--,--,--,,0
104/03/10,0,0,--,--,--,--,,0
104/03/11,0,0,--,--,--,--,,0
104/03/12,0,0,--,--,--,--,,0
104/03/13,0,0,--,--,--,--,,0
104/03/16,0,0,--,--,--,--,,0
104/03/17,178000,5340,0.03,0.03,0.03,0.03,X,3
104/03/18,118000,3540,0.03,0.03,0.03,0.03,,2
104/03/19,0,0,--,--,--,--,,0
104/03/20,0,0,--,--,--,--,,0
104/03/23,0,0,--,--,--,--,,0
104/03/24,0,0,--,--,--,--,,0
104/03/25,0,0,--,--,--,--,,0
104/03/26,0,0,--,--,--,--,,0
104/03/27,0,0,--,--,--,--,,0
104/03/30,0,0,--,--,--,--,,0
104/03/31,0,0,--,--,--,--,,0
104/04/01,0,0,--,--,--,--,,0
104/04/02,0,0,--,--,--,--,,0
