102/02/25,0,0,---,---,---,---,---,0
102/02/26,228000,256940,1.11,1.13,1.10,1.13,-0.18,4
102/02/27,268000,327670,1.21,1.43,1.18,1.39,+0.26,7
102/03/01,75000,107350,1.35,1.47,1.35,1.46,+0.07,5
102/03/04,110000,161200,1.45,1.48,1.45,1.47,+0.01,3
102/03/05,116000,214850,1.46,2.08,1.46,2.08,+0.61,8
102/03/06,428000,1038830,2.31,2.60,2.15,2.43,+0.35,20
102/03/07,329000,711740,2.36,2.36,2.00,2.00,-0.43,16
102/03/08,405000,802590,1.96,2.15,1.70,1.70,-0.30,32
102/03/11,351000,663820,2.04,2.08,1.81,1.81,+0.11,23
102/03/12,1051000,2117830,1.88,2.14,1.88,2.02,+0.21,28
102/03/13,266000,465090,1.87,1.90,1.66,1.66,-0.36,44
102/03/14,157000,273710,1.68,1.83,1.65,1.80,+0.14,69
102/03/15,152000,268230,1.84,1.84,1.66,1.66,-0.14,8
102/03/18,63000,102920,1.64,1.70,1.61,1.62,-0.04,6
102/03/19,56000,96840,1.73,1.74,1.72,1.72,+0.10,5
102/03/20,145000,243000,1.68,1.72,1.64,1.66,-0.06,7
102/03/21,301000,558320,1.73,1.97,1.73,1.83,+0.17,23
102/03/22,396000,801460,1.92,2.10,1.92,2.05,+0.22,23
102/03/25,270000,558550,2.10,2.10,1.97,1.97,-0.08,8
102/03/26,20000,40100,2.02,2.02,1.99,1.99,+0.02,2
102/03/27,54000,109260,2.01,2.08,1.94,1.96,-0.03,6
102/03/28,258000,512940,2.11,2.11,1.98,2.02,+0.06,7
102/03/29,280000,576060,2.16,2.18,2.02,2.02,0.00,12
102/04/01,547000,1000280,1.93,2.02,1.53,1.64,-0.38,25
102/04/02,517000,779560,1.53,1.54,1.42,1.54,-0.10,15
102/04/03,121000,190900,1.56,1.60,1.56,1.60,+0.06,5
102/04/08,299000,407190,1.41,1.42,1.24,1.36,-0.24,7
102/04/09,177000,264390,1.51,1.54,1.45,1.54,+0.18,8
102/04/10,218000,351020,1.60,1.73,1.56,1.72,+0.18,13
102/04/11,148000,285580,1.84,1.99,1.84,1.95,+0.23,16
102/04/12,271000,524520,1.98,2.05,1.91,1.91,-0.04,12
102/04/15,964000,1881040,1.83,1.99,1.76,1.76,-0.15,20
102/04/16,419000,779540,1.68,1.96,1.68,1.96,+0.20,19
102/04/17,781000,1689560,2.13,2.36,1.99,2.36,+0.40,31
102/04/18,447000,1065660,2.23,2.45,2.17,2.28,-0.08,29
102/04/19,271000,592010,2.11,2.48,2.11,2.48,+0.20,20
102/04/22,215000,450550,2.17,2.24,1.96,1.96,-0.52,23
102/04/23,673000,1468820,1.96,2.21,1.94,2.19,+0.23,41
102/04/24,548000,1231740,2.27,2.30,2.12,2.21,+0.02,22
102/04/25,610000,1352590,2.10,2.38,2.10,2.36,+0.15,23
102/04/26,399000,1001480,2.51,2.60,2.35,2.35,-0.01,22
102/04/29,299000,695940,2.35,2.39,2.28,2.28,-0.07,11
102/04/30,492000,1290610,2.41,3.04,2.39,3.04,+0.76,28
102/05/02,690000,2452120,3.13,3.95,3.13,3.91,+0.87,34
102/05/03,234000,775420,3.71,3.71,2.96,2.96,-0.95,34
102/05/06,247000,585720,2.89,2.89,2.18,2.55,-0.41,27
102/05/07,252000,819520,2.79,3.56,2.79,3.56,+1.01,26
102/05/08,973000,4097030,3.36,4.43,3.36,4.03,+0.47,45
102/05/09,15000,58800,3.76,4.00,3.76,4.00,-0.03,2
102/05/10,304000,1399290,4.27,4.67,4.13,4.62,+0.62,16
102/05/13,73000,277540,3.93,4.04,3.55,3.95,-0.67,12
102/05/14,70000,258900,3.76,3.76,3.63,3.70,-0.25,6
102/05/15,113000,429100,4.19,4.19,3.65,3.68,-0.02,13
102/05/16,207000,787240,3.53,4.07,3.44,4.03,+0.35,16
102/05/17,437000,1985190,4.09,4.62,4.09,4.62,+0.59,14
102/05/20,47000,205990,4.44,4.44,4.28,4.39,-0.23,6
102/05/21,121000,513990,4.46,4.46,3.99,4.17,-0.22,12
102/05/22,108000,464950,4.17,4.38,4.16,4.26,+0.09,12
102/05/23,27000,103350,3.97,3.97,3.78,3.78,-0.48,4
102/05/24,21000,78410,3.76,3.76,3.66,3.73,-0.05,4
102/05/27,260000,854450,3.24,3.80,3.24,3.66,-0.07,15
102/05/28,284000,1102010,3.70,3.97,3.70,3.85,+0.19,32
102/05/29,70000,289620,4.01,4.34,3.96,4.34,+0.49,8
102/05/30,22000,95760,4.33,4.42,4.33,4.42,+0.08,3
102/05/31,112000,441640,4.47,4.47,3.90,3.90,-0.52,7
102/06/03,75000,268780,3.71,3.71,3.54,3.54,-0.36,7
102/06/04,19000,68300,3.60,3.60,3.59,3.59,+0.05,2
102/06/05,45000,143060,3.52,3.56,3.00,3.00,-0.59,11
102/06/06,52000,158760,3.17,3.17,2.93,3.12,+0.12,11
102/06/07,38000,108940,3.17,3.17,2.73,2.85,-0.27,9
102/06/10,65000,217440,2.97,3.64,2.97,3.51,+0.66,19
102/06/11,22000,76030,3.50,3.50,3.39,3.39,-0.12,5
102/06/13,30000,93900,3.14,3.15,3.10,3.10,-0.29,3
102/06/14,3000,9440,3.13,3.18,3.13,3.18,+0.08,2
102/06/17,17000,54730,3.24,3.24,3.19,3.23,+0.05,3
102/06/18,38000,113670,2.85,3.12,2.78,3.02,-0.21,9
102/06/19,14000,42110,2.96,3.06,2.93,3.06,+0.04,4
102/06/20,25000,69150,2.73,2.83,2.71,2.83,-0.23,5
102/06/21,71000,144500,2.51,2.51,1.79,1.79,-1.04,12
102/06/24,55000,107370,1.77,2.03,1.77,1.92,+0.13,8
102/06/25,188000,266220,1.54,1.72,1.10,1.29,-0.63,16
102/06/26,189000,298810,1.55,1.68,1.55,1.64,+0.35,11
102/06/27,195000,388720,1.89,2.37,1.89,2.29,+0.65,13
102/06/28,20000,41500,2.22,2.22,1.93,1.93,-0.36,3
102/07/01,206000,517110,2.33,3.02,2.33,3.02,+1.09,18
102/07/02,26000,89750,3.20,3.57,3.15,3.57,+0.55,6
102/07/03,20000,58400,2.93,2.93,2.91,2.91,-0.66,2
102/07/04,3000,8640,2.88,2.88,2.88,2.88,-0.03,1
102/07/05,0,0,---,---,---,---,---,0
102/07/08,0,0,---,---,---,---,---,0
102/07/09,0,0,---,---,---,---,---,0
102/07/10,60000,95800,1.63,1.63,1.58,1.58,-0.92,7
102/07/11,55000,79250,1.15,1.68,1.15,1.68,+0.10,7
102/07/12,18000,33270,1.75,1.99,1.75,1.96,+0.28,3
102/07/15,8000,17250,2.20,2.20,2.13,2.13,+0.17,2
102/07/16,17000,37320,2.21,2.21,2.16,2.16,+0.03,3
102/07/17,95000,127900,1.45,1.46,1.30,1.30,-0.86,12
102/07/18,75000,52250,1.10,1.10,0.62,0.62,-0.68,10
102/07/19,160000,53600,0.32,0.38,0.30,0.31,-0.31,16
102/07/22,154000,67330,0.35,0.48,0.35,0.47,+0.16,8
102/07/23,70000,47390,0.57,0.75,0.57,0.74,+0.27,5
102/07/24,43000,34860,0.74,0.92,0.74,0.89,+0.15,7
102/07/25,45000,30450,0.81,0.81,0.64,0.64,-0.25,5
102/07/26,20000,13900,0.66,0.73,0.66,0.73,+0.09,3
102/07/29,62000,43360,0.70,0.73,0.63,0.73,0.00,3
102/07/30,45000,31250,0.56,0.74,0.56,0.74,+0.01,4
102/07/31,20000,10000,0.50,0.50,0.50,0.50,-0.24,1
102/08/01,10000,4000,0.40,0.40,0.40,0.40,-0.10,1
102/08/02,8000,2200,0.28,0.28,0.26,0.26,-0.14,2
102/08/05,0,0,---,---,---,---,---,0
102/08/06,0,0,---,---,---,---,---,0
102/08/07,13000,720,0.06,0.06,0.04,0.04,-0.11,2
102/08/08,20000,2500,0.15,0.15,0.10,0.10,+0.06,2
102/08/09,3000,540,0.18,0.18,0.18,0.18,+0.08,1
102/08/12,33000,4860,0.15,0.15,0.12,0.12,-0.06,2
102/08/13,0,0,---,---,---,---,---,0
102/08/14,0,0,---,---,---,---,---,0
102/08/15,0,0,---,---,---,---,---,0
102/08/16,0,0,---,---,---,---,---,0
102/08/19,0,0,---,---,---,---,---,0
102/08/20,10000,5000,0.50,0.50,0.50,0.50,+0.04,1
102/08/22,64000,7680,0.12,0.12,0.12,0.12,-0.38,1
