94/06/01,0,0,--,--,--,--,,0
94/06/02,1000,33000,33.00,33.00,33.00,33.00,X,1
94/06/03,0,0,--,--,--,--,,0
94/06/06,0,0,--,--,--,--,,0
94/06/07,1000,32700,32.70,32.70,32.70,32.70,X,1
94/06/08,0,0,--,--,--,--,,0
94/06/09,0,0,--,--,--,--,,0
94/06/10,1000,30500,30.50,30.50,30.50,30.50,X,1
94/06/13,0,0,--,--,--,--,,0
94/06/14,0,0,--,--,--,--,,0
94/06/15,0,0,--,--,--,--,,0
94/06/16,0,0,--,--,--,--,,0
94/06/17,0,0,--,--,--,--,,0
94/06/20,0,0,--,--,--,--,,0
94/06/21,0,0,--,--,--,--,,0
94/06/22,3000,87100,28.60,29.50,28.60,29.50,X,3
94/06/23,2000,60000,30.00,30.00,30.00,30.00,0.50,2
94/06/24,0,0,--,--,--,--,,0
94/06/27,0,0,--,--,--,--,,0
94/06/28,0,0,--,--,--,--,,0
94/06/29,0,0,--,--,--,--,,0
94/06/30,0,0,--,--,--,--,,0
94/07/01,0,0,--,--,--,--,,0
94/07/04,0,0,--,--,--,--,,0
94/07/05,0,0,--,--,--,--,,0
94/07/06,0,0,--,--,--,--,,0
94/07/07,0,0,--,--,--,--,,0
94/07/08,0,0,--,--,--,--,,0
94/07/11,0,0,--,--,--,--,,0
94/07/12,0,0,--,--,--,--,,0
94/07/13,0,0,--,--,--,--,,0
94/07/14,0,0,--,--,--,--,,0
94/07/15,1000,34300,34.30,34.30,34.30,34.30,X,1
94/07/19,0,0,--,--,--,--,,0
94/07/20,0,0,--,--,--,--,,0
94/07/21,0,0,--,--,--,--,,0
94/07/22,0,0,--,--,--,--,,0
94/07/25,0,0,--,--,--,--,,0
94/07/26,0,0,--,--,--,--,,0
94/07/27,0,0,--,--,--,--,,0
94/07/28,0,0,--,--,--,--,,0
94/07/29,0,0,--,--,--,--,,0
94/08/01,0,0,--,--,--,--,,0
94/08/02,0,0,--,--,--,--,,0
94/08/03,6000,202500,32.50,35.00,32.50,35.00,X,6
94/08/04,0,0,--,--,--,--,,0
95/01/12,0,0,--,--,--,--,,0
95/01/13,0,0,--,--,--,--,,0
95/01/16,0,0,--,--,--,--,,0
95/01/17,0,0,--,--,--,--,,0
95/01/18,0,0,--,--,--,--,,0
95/01/19,0,0,--,--,--,--,,0
95/01/20,0,0,--,--,--,--,,0
95/01/23,0,0,--,--,--,--,,0
95/01/24,0,0,--,--,--,--,,0
95/01/25,0,0,--,--,--,--,,0
95/02/03,0,0,--,--,--,--,,0
95/02/06,0,0,--,--,--,--,,0
95/02/07,0,0,--,--,--,--,,0
95/02/08,0,0,--,--,--,--,,0
95/02/09,0,0,--,--,--,--,,0
95/02/10,0,0,--,--,--,--,,0
95/02/13,0,0,--,--,--,--,,0
95/02/14,0,0,--,--,--,--,,0
95/02/15,0,0,--,--,--,--,,0
95/02/16,0,0,--,--,--,--,,0
95/02/17,0,0,--,--,--,--,,0
95/02/20,0,0,--,--,--,--,,0
95/02/21,0,0,--,--,--,--,,0
95/02/22,0,0,--,--,--,--,,0
95/02/23,0,0,--,--,--,--,,0
95/02/24,0,0,--,--,--,--,,0
95/02/27,0,0,--,--,--,--,,0
95/03/01,0,0,--,--,--,--,,0
95/03/02,0,0,--,--,--,--,,0
95/03/03,0,0,--,--,--,--,,0
