100/10/28,0,0,0.00,0.00,0.00,0.00,---,0
101/03/19,0,0,---,---,---,---,---,0
101/03/20,479000,170620,0.38,0.38,0.35,0.35,-0.10,4
101/03/21,0,0,---,---,---,---,---,0
101/03/22,0,0,---,---,---,---,---,0
101/03/23,0,0,---,---,---,---,---,0
101/03/26,0,0,---,---,---,---,---,0
101/03/27,0,0,---,---,---,---,---,0
101/03/28,0,0,---,---,---,---,---,0
101/03/29,101000,18670,0.20,0.20,0.17,0.17,-0.05,2
101/03/30,0,0,---,---,---,---,---,0
101/04/02,0,0,---,---,---,---,---,0
101/04/03,0,0,---,---,---,---,---,0
101/04/05,0,0,---,---,---,---,---,0
101/04/06,101000,6060,0.06,0.06,0.06,0.06,-0.01,2
101/04/09,0,0,---,---,---,---,---,0
101/04/10,0,0,---,---,---,---,---,0
101/04/11,0,0,---,---,---,---,---,0
101/04/12,0,0,---,---,---,---,---,0
101/04/13,50000,3000,0.06,0.06,0.06,0.06,0.00,1
101/04/16,0,0,---,---,---,---,---,0
101/04/17,0,0,---,---,---,---,---,0
101/04/18,0,0,---,---,---,---,---,0
101/04/19,0,0,---,---,---,---,---,0
101/04/20,0,0,---,---,---,---,---,0
101/04/23,0,0,---,---,---,---,---,0
101/04/24,1000,10,0.01,0.01,0.01,0.01,-0.02,1
101/04/25,0,0,---,---,---,---,---,0
