103/06/13,105000,157250,1.45,1.50,1.45,1.50,-0.05,2
103/06/16,178000,253060,1.38,1.45,1.38,1.45,-0.05,5
103/06/17,473000,644330,1.31,1.41,1.31,1.41,-0.04,5
103/06/18,704000,1033450,1.39,1.51,1.38,1.46,+0.05,13
103/06/19,270000,388700,1.44,1.44,1.43,1.44,-0.02,5
103/06/20,969000,1283230,1.23,1.42,1.23,1.42,-0.02,19
103/06/23,380000,541710,1.44,1.45,1.31,1.45,+0.03,6
103/06/24,176000,232570,1.32,1.34,1.25,1.34,-0.11,10
103/06/25,451000,511810,1.20,1.21,1.10,1.10,-0.24,20
103/06/26,1057000,958190,0.99,0.99,0.83,0.86,-0.24,33
103/06/27,919000,794230,0.84,0.90,0.81,0.90,+0.04,31
103/06/30,2121000,1520390,0.84,0.84,0.69,0.70,-0.20,48
103/07/01,2160000,1527390,0.70,0.75,0.68,0.74,+0.04,37
103/07/02,2405000,1927540,0.71,0.93,0.69,0.89,+0.15,63
103/07/03,1622000,1308460,0.87,0.87,0.71,0.75,-0.14,36
103/07/04,549000,426450,0.65,0.84,0.65,0.84,+0.09,15
103/07/07,870000,655530,0.84,0.84,0.71,0.74,-0.10,22
103/07/08,560000,426790,0.74,0.78,0.72,0.78,+0.04,16
103/07/09,1322000,969090,0.76,0.77,0.70,0.77,-0.01,29
103/07/10,1152000,843810,0.73,0.76,0.69,0.73,-0.04,20
103/07/11,2004000,1646380,0.74,0.92,0.71,0.89,+0.16,46
103/07/14,2062000,1718400,0.88,0.88,0.81,0.84,-0.05,45
103/07/15,600000,464030,0.76,0.80,0.76,0.79,-0.05,26
103/07/16,2098000,1873330,0.79,1.04,0.79,1.03,+0.24,50
103/07/17,1773000,1667720,0.94,0.96,0.90,0.91,-0.12,34
103/07/18,818000,767560,0.96,0.98,0.89,0.95,+0.04,24
103/07/21,389000,333320,0.87,0.91,0.82,0.91,-0.04,17
103/07/22,455000,415740,0.91,0.95,0.89,0.89,-0.02,16
103/07/24,1084000,841640,0.84,0.84,0.72,0.72,-0.17,30
103/07/25,2002000,1469800,0.69,0.76,0.68,0.76,+0.04,34
103/07/28,1072000,872310,0.79,0.85,0.79,0.85,+0.09,17
103/07/29,809000,691010,0.79,0.91,0.78,0.90,+0.05,22
103/07/30,638000,544570,0.86,0.88,0.83,0.83,-0.07,12
103/07/31,1231000,964490,0.83,0.85,0.70,0.70,-0.13,30
103/08/01,2640000,1711460,0.75,0.75,0.61,0.63,-0.07,56
103/08/04,631000,372610,0.59,0.61,0.57,0.57,-0.06,12
103/08/05,823000,491790,0.58,0.61,0.57,0.59,+0.02,23
103/08/06,3351000,2398060,0.58,0.78,0.58,0.74,+0.15,59
103/08/07,789000,585070,0.71,0.77,0.71,0.76,+0.02,29
103/08/08,2887000,2114660,0.78,0.81,0.66,0.66,-0.10,72
103/08/11,2530000,1445320,0.58,0.62,0.53,0.53,-0.13,65
103/08/12,2270000,1249830,0.54,0.62,0.52,0.60,+0.07,49
103/08/13,346000,198060,0.58,0.58,0.55,0.58,-0.02,16
103/08/14,340000,180210,0.54,0.56,0.51,0.51,-0.07,13
103/08/15,229000,119400,0.52,0.53,0.52,0.52,+0.01,10
103/08/18,680000,367060,0.58,0.59,0.47,0.50,-0.02,35
103/08/19,383000,182390,0.50,0.50,0.47,0.47,-0.03,14
103/08/20,1284000,697850,0.45,0.62,0.45,0.59,+0.12,47
103/08/21,1974000,1395520,0.65,0.80,0.64,0.73,+0.14,71
103/08/22,520000,337270,0.70,0.70,0.62,0.69,-0.04,38
103/08/25,112000,67900,0.57,0.64,0.57,0.64,-0.05,9
103/08/26,345000,174360,0.53,0.53,0.50,0.52,-0.12,21
103/08/27,513000,237090,0.49,0.49,0.45,0.45,-0.07,33
103/08/28,201000,94340,0.49,0.51,0.43,0.44,-0.01,16
103/08/29,97000,41670,0.44,0.44,0.42,0.42,-0.02,12
103/09/01,1109000,348950,0.34,0.34,0.30,0.34,-0.08,98
103/09/02,181000,61220,0.34,0.36,0.32,0.35,+0.01,25
103/09/03,1012000,275260,0.33,0.33,0.25,0.25,-0.10,108
103/09/04,424000,101250,0.21,0.34,0.21,0.34,+0.09,39
103/09/05,116000,34830,0.28,0.34,0.27,0.28,-0.06,11
103/09/09,0,0,---,---,---,---,---,0
103/09/10,127000,31800,0.26,0.32,0.23,0.32,+0.04,9
103/09/11,5000,1550,0.31,0.31,0.31,0.31,-0.01,2
