104/02/06,20000,31000,1.55,1.55,1.55,1.55,+0.06,1
104/02/09,20000,32600,1.63,1.63,1.63,1.63,+0.08,1
104/02/10,0,0,---,---,---,---,---,0
104/02/11,0,0,---,---,---,---,---,0
104/02/12,0,0,---,---,---,---,---,0
104/02/13,0,0,---,---,---,---,---,0
104/02/24,0,0,---,---,---,---,---,0
104/02/25,16000,25420,1.61,1.61,1.54,1.54,-0.07,3
104/02/26,26000,38900,1.49,1.50,1.49,1.50,-0.04,3
104/03/02,36000,51190,1.49,1.49,1.37,1.39,-0.11,6
104/03/03,26000,36670,1.43,1.43,1.40,1.40,+0.01,2
104/03/04,7000,10240,1.45,1.48,1.45,1.48,+0.08,2
104/03/05,938000,1467570,1.54,1.89,1.52,1.86,+0.38,14
104/03/06,972000,1758430,1.85,1.88,1.75,1.77,-0.09,17
104/03/09,665000,1151020,1.78,1.78,1.66,1.74,-0.03,10
104/03/10,876000,1604130,1.76,1.97,1.76,1.90,+0.16,14
104/03/11,162000,297920,1.79,1.86,1.79,1.83,-0.07,6
104/03/12,139000,258800,1.87,1.89,1.86,1.86,+0.03,16
104/03/13,39000,72390,1.87,1.87,1.83,1.87,+0.01,9
104/03/16,74000,153310,1.97,2.12,1.97,2.05,+0.18,9
104/03/17,65000,132240,2.07,2.07,2.01,2.01,-0.04,6
104/03/18,50000,109670,2.17,2.20,2.12,2.20,+0.19,4
104/03/19,57000,126260,2.21,2.24,2.21,2.23,+0.03,3
104/03/20,30000,75500,2.48,2.55,2.48,2.55,+0.32,3
104/03/23,22000,56980,2.61,2.61,2.39,2.39,-0.16,6
104/03/24,19000,36980,1.95,2.10,1.79,1.89,-0.50,7
104/03/25,25000,42450,1.74,1.74,1.63,1.68,-0.21,5
104/03/26,21000,35190,1.71,1.71,1.62,1.62,-0.06,5
104/03/27,17000,27750,1.69,1.69,1.56,1.60,-0.02,3
104/03/30,10000,17050,1.66,1.75,1.66,1.75,+0.15,2
104/03/31,104000,207670,1.90,2.00,1.90,2.00,+0.25,3
104/04/01,103000,201970,1.96,1.99,1.96,1.99,-0.01,2
104/04/02,3000,4980,1.66,1.66,1.66,1.66,-0.33,1
104/04/07,0,0,---,---,---,---,---,0
104/04/08,0,0,---,---,---,---,---,0
104/04/09,0,0,---,---,---,---,---,0
104/04/10,0,0,---,---,---,---,---,0
104/04/13,102000,171790,1.61,1.75,1.61,1.75,+0.25,3
104/04/14,102000,198820,1.85,1.96,1.85,1.96,+0.21,2
104/04/15,97000,182360,1.88,1.88,1.88,1.88,-0.08,2
104/04/16,193000,391820,1.98,2.28,1.97,2.25,+0.37,11
104/04/17,125000,267270,2.22,2.22,2.08,2.18,-0.07,8
104/04/20,35000,74750,1.96,2.19,1.96,2.16,-0.02,4
104/04/21,5000,10200,2.04,2.04,2.04,2.04,-0.12,1
104/04/22,0,0,---,---,---,---,---,0
104/04/23,68000,155920,2.24,2.36,2.24,2.36,+0.32,4
104/04/24,307000,806430,2.38,2.71,2.38,2.71,+0.35,13
104/04/27,238000,720910,3.08,3.42,2.99,3.42,+0.71,18
104/04/28,20000,72400,3.62,3.62,3.62,3.62,+0.20,1
104/04/29,4000,13400,3.35,3.35,3.35,3.35,-0.27,1
104/04/30,0,0,---,---,---,---,---,0
104/05/04,0,0,---,---,---,---,---,0
104/05/05,0,0,---,---,---,---,---,0
104/05/06,2000,6480,3.24,3.24,3.24,3.24,-0.85,1
104/05/07,3000,8730,2.91,2.91,2.91,2.91,-0.33,1
104/05/08,0,0,---,---,---,---,---,0
104/05/11,18000,53530,3.02,3.02,2.81,2.81,+0.06,3
104/05/12,15000,46300,3.10,3.10,3.08,3.08,+0.27,2
104/05/13,0,0,---,---,---,---,---,0
104/05/14,0,0,---,---,---,---,---,0
104/05/15,1000,3000,3.00,3.00,3.00,3.00,-0.27,1
104/05/18,3000,8280,2.76,2.76,2.76,2.76,-0.24,1
104/05/19,10000,27400,2.74,2.74,2.74,2.74,-0.02,1
104/05/20,44000,120840,2.76,2.76,2.73,2.75,+0.01,4
104/05/21,30000,73120,2.43,2.46,2.43,2.44,-0.31,3
104/05/22,20000,47700,2.38,2.39,2.38,2.39,-0.05,2
104/05/25,20000,47180,2.36,2.36,2.35,2.35,-0.04,2
104/05/26,0,0,---,---,---,---,---,0
104/05/27,20000,45300,2.26,2.27,2.26,2.27,+0.10,2
104/05/28,20000,52200,2.61,2.61,2.61,2.61,+0.34,1
104/05/29,0,0,---,---,---,---,---,0
104/06/01,52000,138760,2.53,2.82,2.53,2.82,+0.43,6
104/06/02,52000,191760,3.93,3.93,3.18,3.18,+0.36,6
104/06/03,0,0,---,---,---,---,---,0
104/06/04,0,0,---,---,---,---,---,0
104/06/05,0,0,---,---,---,---,---,0
104/06/08,40000,110500,2.75,2.78,2.75,2.78,+0.14,4
104/06/09,40000,123800,3.08,3.11,3.08,3.11,+0.33,2
104/06/10,0,0,---,---,---,---,---,0
104/06/11,0,0,---,---,---,---,---,0
104/06/12,0,0,---,---,---,---,---,0
104/06/15,0,0,---,---,---,---,---,0
104/06/16,0,0,---,---,---,---,---,0
104/06/17,0,0,---,---,---,---,---,0
104/06/18,0,0,---,---,---,---,---,0
104/06/22,0,0,---,---,---,---,---,0
104/06/23,0,0,---,---,---,---,---,0
104/06/24,0,0,---,---,---,---,---,0
104/06/25,0,0,---,---,---,---,---,0
104/06/26,0,0,---,---,---,---,---,0
104/06/29,0,0,---,---,---,---,---,0
104/06/30,0,0,---,---,---,---,---,0
104/07/01,0,0,---,---,---,---,---,0
104/07/02,0,0,---,---,---,---,---,0
104/07/03,0,0,---,---,---,---,---,0
104/07/06,0,0,---,---,---,---,---,0
104/07/07,0,0,---,---,---,---,---,0
104/07/08,0,0,---,---,---,---,---,0
104/07/09,0,0,---,---,---,---,---,0
104/07/13,6000,16380,2.73,2.73,2.73,2.73,+0.30,1
104/07/14,0,0,---,---,---,---,---,0
104/07/15,6000,18000,3.00,3.00,3.00,3.00,+0.13,1
104/07/16,0,0,---,---,---,---,---,0
104/07/17,0,0,---,---,---,---,---,0
104/07/20,0,0,---,---,---,---,---,0
104/07/21,20000,45800,2.28,2.30,2.28,2.30,-0.52,2
104/07/22,0,0,---,---,---,---,---,0
104/07/23,20000,54800,2.74,2.74,2.74,2.74,-0.03,1
104/07/24,0,0,---,---,---,---,---,0
104/07/27,0,0,---,---,---,---,---,0
104/07/28,10000,16300,1.63,1.63,1.63,1.63,+0.17,1
104/07/29,10000,19800,1.98,1.98,1.98,1.98,+0.35,1
104/07/30,0,0,---,---,---,---,---,0
104/07/31,0,0,---,---,---,---,---,0
104/08/03,0,0,---,---,---,---,---,0
