106/01/04,0,0,---,---,---,---,---,0
106/01/05,0,0,---,---,---,---,---,0
106/01/06,11000,9790,0.89,0.89,0.89,0.89,-0.01,1
106/01/09,296000,278950,0.91,0.96,0.91,0.96,+0.07,5
106/01/10,285000,265650,0.93,0.95,0.92,0.95,-0.01,5
106/01/11,10000,8700,0.87,0.87,0.87,0.87,-0.08,1
106/01/12,0,0,---,---,---,---,---,0
106/01/13,494000,439040,0.87,0.91,0.87,0.89,+0.04,10
106/01/16,521000,475900,0.87,0.95,0.86,0.95,+0.06,10
106/01/17,131000,117690,0.90,0.90,0.89,0.89,-0.06,4
106/01/18,130000,119600,0.92,0.92,0.92,0.92,+0.03,2
106/01/19,3000,2580,0.86,0.86,0.86,0.86,-0.06,1
106/01/20,16000,13340,0.83,0.85,0.83,0.85,-0.01,2
106/01/23,113000,89270,0.79,0.79,0.79,0.79,-0.06,3
106/01/24,250000,194000,0.76,0.80,0.76,0.80,+0.01,2
106/02/02,50000,39000,0.78,0.78,0.78,0.78,-0.02,1
106/02/03,0,0,---,---,---,---,---,0
106/02/06,32000,23760,0.77,0.79,0.74,0.74,-0.04,3
106/02/07,32000,22080,0.69,0.69,0.69,0.69,-0.05,2
106/02/08,248000,172520,0.69,0.72,0.69,0.71,+0.02,4
106/02/09,50000,37000,0.74,0.74,0.74,0.74,+0.03,1
106/02/10,198000,136620,0.69,0.69,0.69,0.69,-0.05,1
106/02/13,80000,51350,0.66,0.66,0.61,0.61,-0.08,4
106/02/14,420000,230700,0.56,0.56,0.50,0.55,-0.06,7
106/02/15,350000,190340,0.54,0.55,0.53,0.55,0.00,4
106/02/16,0,0,---,---,---,---,---,0
106/02/17,171000,79890,0.45,0.49,0.43,0.49,-0.01,9
106/02/18,350000,150000,0.47,0.47,0.38,0.38,-0.11,13
106/02/20,861000,295090,0.35,0.39,0.28,0.34,-0.04,27
106/02/21,1007000,294050,0.30,0.35,0.28,0.28,-0.06,35
106/02/22,2444000,515800,0.25,0.25,0.19,0.23,-0.05,75
106/02/23,1062000,219850,0.20,0.24,0.17,0.22,-0.01,59
106/02/24,830000,162560,0.22,0.22,0.18,0.18,-0.04,26
106/03/01,1559000,265320,0.18,0.18,0.16,0.17,-0.01,29
106/03/02,1628000,338580,0.17,0.24,0.16,0.22,+0.05,52
106/03/03,1612000,328040,0.24,0.25,0.19,0.21,-0.01,29
106/03/06,553000,111690,0.22,0.22,0.19,0.19,-0.02,22
106/03/07,610000,106200,0.19,0.19,0.17,0.17,-0.02,22
106/03/08,590000,106200,0.18,0.18,0.18,0.18,+0.01,13
106/03/09,431000,70340,0.18,0.18,0.16,0.18,0.00,15
106/03/10,932000,181910,0.18,0.23,0.18,0.18,0.00,31
106/03/13,541000,85430,0.17,0.17,0.15,0.15,-0.03,23
106/03/14,449000,63750,0.13,0.15,0.13,0.15,0.00,11
106/03/15,175000,22450,0.12,0.15,0.12,0.15,0.00,8
106/03/16,177000,24050,0.13,0.15,0.13,0.15,0.00,12
106/03/17,92000,11500,0.14,0.14,0.12,0.13,-0.02,9
106/03/20,69000,7490,0.12,0.12,0.10,0.11,-0.02,9
106/03/21,47000,4800,0.10,0.11,0.10,0.10,-0.01,5
106/03/22,19000,1990,0.10,0.11,0.10,0.11,+0.01,2
106/03/23,173000,17270,0.09,0.11,0.09,0.10,-0.01,8
