107/03/05,0,0,---,---,---,---,---,0
107/03/07,812000,1060230,1.22,1.32,1.22,1.31,+0.08,16
107/03/09,80000,104530,1.29,1.39,1.29,1.36,+0.09,8
107/03/12,214000,320140,1.44,1.69,1.44,1.69,+0.33,11
107/03/13,266000,505370,1.81,1.98,1.80,1.90,+0.21,14
107/03/14,223000,407920,1.83,1.89,1.81,1.89,-0.01,9
107/03/15,205000,433860,2.13,2.19,2.10,2.16,+0.27,12
107/03/16,114000,239080,2.11,2.12,2.06,2.06,-0.10,5
107/03/19,5000,10400,2.08,2.08,2.08,2.08,+0.02,1
107/03/20,0,0,---,---,---,---,---,0
107/03/21,20000,37700,1.85,1.92,1.85,1.92,+0.14,2
107/03/22,20000,37200,1.86,1.86,1.86,1.86,-0.06,3
107/03/23,0,0,---,---,---,---,---,0
107/03/26,115000,229900,1.90,2.03,1.90,2.03,+0.41,3
107/03/27,180000,363730,1.95,2.23,1.87,1.87,-0.16,12
107/03/28,144000,257280,1.76,1.85,1.67,1.67,-0.20,7
107/03/29,421000,715810,1.73,1.73,1.67,1.71,+0.04,8
107/03/30,628000,1095360,1.75,1.82,1.63,1.63,-0.08,15
107/03/31,366000,591460,1.66,1.66,1.61,1.62,-0.01,7
107/04/02,447000,743530,1.66,1.71,1.63,1.63,+0.01,10
107/04/03,736000,1039580,1.47,1.48,1.39,1.41,-0.22,13
107/04/09,208000,288880,1.42,1.42,1.36,1.36,-0.05,2
107/04/10,458000,631000,1.33,1.40,1.33,1.35,-0.01,11
107/04/11,256000,344040,1.36,1.36,1.34,1.34,-0.01,3
107/04/12,125000,150600,1.15,1.21,1.14,1.21,-0.13,3
107/04/13,250000,326950,1.25,1.34,1.25,1.33,+0.12,6
107/04/16,241000,321590,1.33,1.34,1.32,1.34,+0.01,4
107/04/17,115000,144730,1.26,1.26,1.25,1.25,-0.09,4
107/04/18,118000,131070,1.11,1.14,1.11,1.14,-0.11,2
107/04/20,538000,618570,1.07,1.19,1.07,1.17,-0.01,12
107/04/23,623000,708490,1.12,1.15,1.12,1.15,-0.02,10
