104/11/04,0,0,---,---,---,---,---,0
104/11/05,0,0,---,---,---,---,---,0
104/11/06,0,0,---,---,---,---,---,0
104/11/09,0,0,---,---,---,---,---,0
104/11/10,0,0,---,---,---,---,---,0
104/11/11,2489000,3147070,1.17,1.36,1.17,1.26,+0.15,36
104/11/12,2777000,4093160,1.50,1.51,1.33,1.38,+0.12,66
104/11/13,467000,636070,1.29,1.42,1.29,1.33,-0.05,19
104/11/16,338000,485420,1.34,1.51,1.34,1.49,+0.16,11
104/11/17,435000,666200,1.52,1.58,1.47,1.48,-0.01,16
104/11/18,444000,678060,1.51,1.59,1.43,1.58,+0.10,12
104/11/19,366000,575180,1.58,1.60,1.50,1.55,-0.03,15
104/11/20,0,0,---,---,---,---,---,0
104/11/23,1000,1410,1.41,1.41,1.41,1.41,-0.14,1
104/11/24,25000,28800,1.23,1.23,1.10,1.10,-0.31,3
104/11/25,167000,205240,1.21,1.30,1.16,1.30,+0.20,7
104/11/26,158000,215620,1.37,1.38,1.32,1.32,+0.02,6
104/11/27,235000,317620,1.28,1.43,1.25,1.43,+0.11,10
104/11/30,224000,292670,1.33,1.33,1.23,1.26,-0.17,10
104/12/01,419000,585190,1.33,1.47,1.33,1.39,+0.13,17
104/12/02,521000,733670,1.41,1.49,1.37,1.37,-0.02,21
104/12/03,238000,332100,1.37,1.40,1.37,1.38,+0.01,13
104/12/04,587000,841260,1.39,1.60,1.39,1.60,+0.22,18
104/12/07,528000,932010,1.72,1.84,1.68,1.68,+0.08,25
104/12/08,78000,128540,1.72,1.72,1.59,1.59,-0.09,6
104/12/09,39000,59160,1.57,1.57,1.46,1.57,-0.02,8
104/12/10,46000,65810,1.46,1.49,1.36,1.49,-0.08,7
104/12/11,68000,92500,1.51,1.51,1.28,1.28,-0.21,7
104/12/14,268000,375220,1.31,1.42,1.31,1.42,+0.14,6
104/12/15,229000,349780,1.55,1.55,1.51,1.52,+0.10,9
104/12/16,166000,272820,1.62,1.67,1.53,1.62,+0.10,11
104/12/17,166000,269740,1.63,1.66,1.61,1.62,0.00,13
104/12/18,30000,48800,1.63,1.63,1.62,1.62,0.00,2
104/12/21,67000,101660,1.54,1.59,1.46,1.53,-0.09,14
104/12/22,69000,105230,1.54,1.54,1.47,1.47,-0.06,7
104/12/23,50000,74300,1.45,1.52,1.44,1.52,+0.05,5
104/12/24,40000,58800,1.47,1.47,1.47,1.47,-0.05,1
104/12/25,171000,225660,1.26,1.35,1.26,1.35,-0.12,9
104/12/28,226000,348480,1.48,1.61,1.47,1.51,+0.16,25
104/12/29,133000,194630,1.47,1.51,1.43,1.51,0.00,10
104/12/30,52000,81860,1.57,1.60,1.55,1.58,+0.07,4
104/12/31,130000,217980,1.52,1.74,1.52,1.70,+0.12,21
105/01/04,330000,595790,1.72,1.95,1.69,1.84,+0.14,26
105/01/05,90000,160420,1.83,1.83,1.74,1.75,-0.09,7
105/01/06,151000,250540,1.74,1.74,1.65,1.65,-0.10,6
105/01/07,39000,64870,1.66,1.68,1.63,1.68,+0.03,4
105/01/08,64000,122670,1.78,2.14,1.75,2.14,+0.46,7
105/01/11,28000,59320,2.04,2.28,1.98,2.05,-0.09,5
105/01/12,45000,88430,2.10,2.10,1.76,1.76,-0.29,7
105/01/13,83000,156370,1.94,1.94,1.86,1.94,+0.18,11
105/01/14,90000,155800,1.74,1.74,1.71,1.71,-0.23,4
105/01/15,20000,35100,1.75,1.76,1.75,1.76,+0.05,2
105/01/18,180000,294600,1.44,1.71,1.44,1.71,-0.05,18
105/01/19,208000,416200,1.72,2.28,1.72,2.10,+0.39,21
105/01/20,250000,511260,2.09,2.10,1.98,1.98,-0.12,12
105/01/21,196000,423050,2.04,2.34,2.00,2.30,+0.32,21
105/01/22,239000,576760,2.37,2.58,2.34,2.58,+0.28,16
105/01/25,120000,331100,2.64,2.94,2.61,2.94,+0.36,9
105/01/26,70000,198900,2.79,2.90,2.79,2.83,-0.11,9
105/01/27,122000,332730,3.10,3.11,2.28,2.45,-0.38,12
105/01/28,113000,279130,2.52,2.56,2.24,2.39,-0.06,12
105/01/29,50000,120500,2.48,2.49,2.35,2.36,-0.03,5
105/01/30,135000,336110,2.59,2.59,2.33,2.34,-0.02,12
105/02/01,59000,146700,2.40,2.56,2.40,2.51,+0.17,5
105/02/02,75000,174950,2.36,2.41,2.29,2.34,-0.17,8
105/02/03,8000,18720,2.34,2.34,2.34,2.34,0.00,1
105/02/15,295000,835940,2.66,2.94,2.66,2.84,+0.50,17
105/02/16,163000,511110,3.22,3.22,2.92,2.96,+0.12,16
105/02/17,157000,501820,2.95,3.44,2.95,3.44,+0.48,16
105/02/18,112000,380770,3.42,3.45,3.33,3.41,-0.03,7
105/02/19,80000,283500,3.50,3.62,3.48,3.51,+0.10,8
105/02/22,109000,375950,3.50,3.53,3.27,3.34,-0.17,13
105/02/23,86000,310570,3.49,3.77,3.38,3.77,+0.43,12
105/02/24,82000,303830,3.77,3.92,3.48,3.53,-0.24,12
105/02/25,43000,153870,3.68,3.68,3.37,3.37,-0.16,4
105/02/26,31000,103880,3.37,3.38,3.34,3.38,+0.01,4
105/03/01,57000,191650,3.38,3.46,3.33,3.39,+0.01,8
105/03/02,130000,435530,3.49,3.49,3.23,3.30,-0.09,14
105/03/03,377000,1250360,3.31,4.31,3.16,3.22,-0.08,39
105/03/04,370000,1158660,3.24,3.33,2.99,3.01,-0.21,39
105/03/07,239000,787030,3.07,3.54,3.06,3.54,+0.53,31
105/03/08,351000,1315960,3.75,3.86,3.70,3.75,+0.21,33
105/03/09,195000,738840,3.65,4.00,3.65,4.00,+0.25,21
105/03/10,289000,1260660,4.15,4.54,4.15,4.54,+0.54,35
105/03/11,356000,1567220,4.48,4.52,4.17,4.32,-0.22,37
105/03/14,258000,1100520,4.28,4.32,4.19,4.26,-0.06,30
105/03/15,238000,1083620,4.60,4.64,4.09,4.14,-0.12,28
105/03/16,108000,441250,4.07,4.26,3.93,4.26,+0.12,13
105/03/17,161000,671610,4.28,4.43,3.96,4.12,-0.14,21
105/03/18,276000,1329580,4.50,5.20,4.50,5.20,+1.08,36
105/03/21,640000,3705300,5.80,6.15,5.35,5.95,+0.75,38
