107/05/24,7000,8960,1.28,1.28,1.28,1.28,0.00,1
107/05/25,7000,8680,1.24,1.24,1.24,1.24,-0.04,1
107/05/29,0,0,---,---,---,---,---,0
107/05/30,284000,358840,1.26,1.28,1.26,1.28,+0.08,5
107/05/31,284000,355480,1.26,1.26,1.24,1.24,-0.04,9
107/06/04,1478000,2144080,1.36,1.55,1.36,1.52,+0.28,44
107/06/05,1769000,2720780,1.54,1.71,1.48,1.57,+0.05,89
107/06/06,528000,865240,1.64,1.68,1.55,1.59,+0.02,36
107/06/08,298000,534520,1.89,1.91,1.72,1.80,-0.01,32
107/06/12,200000,320980,1.71,1.71,1.54,1.54,-0.13,34
107/09/07,0,0,---,---,---,---,---,0
107/09/12,0,0,---,---,---,---,---,0
107/09/13,0,0,---,---,---,---,---,0
107/09/19,60000,2400,0.04,0.04,0.04,0.04,0.00,3
107/09/20,0,0,---,---,---,---,---,0
107/09/25,0,0,---,---,---,---,---,0
107/10/01,5000,50,0.01,0.01,0.01,0.01,0.00,1
107/10/02,0,0,---,---,---,---,---,0
107/10/03,4000,80,0.02,0.02,0.02,0.02,+0.01,1
107/10/04,0,0,---,---,---,---,---,0
107/10/05,0,0,---,---,---,---,---,0
107/10/08,0,0,---,---,---,---,---,0
107/10/09,0,0,---,---,---,---,---,0
107/10/12,0,0,---,---,---,---,---,0
107/10/15,0,0,---,---,---,---,---,0
107/10/17,0,0,---,---,---,---,---,0
107/10/19,0,0,---,---,---,---,---,0
107/10/25,0,0,---,---,---,---,---,0
