102/02/23,1000,1270,1.27,1.27,1.27,1.27,-0.23,1
102/02/25,145000,178350,1.23,1.23,1.23,1.23,-0.04,2
102/02/26,146000,185390,1.27,1.27,1.24,1.24,+0.01,3
102/02/27,214000,287380,1.30,1.36,1.30,1.36,+0.12,4
102/03/01,220000,281330,1.28,1.28,1.24,1.24,-0.12,6
102/03/04,0,0,---,---,---,---,---,0
102/03/05,19000,24600,1.30,1.32,1.24,1.24,0.00,5
102/03/06,12000,13410,1.12,1.13,1.08,1.13,-0.11,3
102/03/07,111000,131680,1.19,1.20,1.18,1.18,+0.05,3
102/03/08,291000,324160,1.12,1.12,1.09,1.12,-0.06,7
102/03/11,424000,442360,1.07,1.07,0.99,1.04,-0.08,9
102/03/12,378000,396190,1.02,1.10,1.02,1.10,+0.06,9
102/03/13,151000,167620,1.12,1.12,1.11,1.11,+0.01,3
102/03/14,0,0,---,---,---,---,---,0
102/03/15,33000,36900,1.12,1.12,1.11,1.11,-0.02,2
102/03/18,102000,104170,1.00,1.05,1.00,1.05,-0.06,6
102/03/19,177000,182310,1.03,1.03,1.03,1.03,-0.02,3
102/03/20,236000,233000,1.00,1.00,0.97,0.98,-0.05,4
102/03/21,120000,122400,1.02,1.02,1.02,1.02,+0.04,2
102/03/22,1000,1020,1.02,1.02,1.02,1.02,0.00,1
102/03/25,0,0,---,---,---,---,---,0
102/03/26,413000,378830,0.91,0.94,0.91,0.94,-0.06,8
102/03/27,471000,442140,0.93,0.94,0.93,0.94,0.00,8
102/03/28,258000,240930,0.93,0.94,0.93,0.94,0.00,3
102/03/29,342000,363240,1.03,1.13,1.03,1.09,+0.15,13
102/04/01,872000,1039080,1.10,1.28,1.10,1.21,+0.12,20
102/04/02,633000,749720,1.22,1.22,1.15,1.17,-0.04,12
102/04/03,75000,88700,1.20,1.20,1.18,1.18,+0.01,3
102/04/08,51000,59230,1.19,1.19,1.13,1.13,-0.05,4
102/04/09,1000,1150,1.15,1.15,1.15,1.15,+0.02,1
102/04/10,201000,211880,1.08,1.08,1.05,1.05,-0.10,7
102/04/11,109000,112270,1.03,1.03,1.03,1.03,-0.02,2
102/04/12,145000,159660,1.06,1.14,1.06,1.14,+0.11,9
102/04/15,84000,100500,1.13,1.25,1.13,1.16,+0.02,8
102/04/16,214000,251790,1.20,1.20,1.17,1.17,+0.01,4
102/04/17,194000,228920,1.18,1.18,1.18,1.18,+0.01,2
102/04/18,0,0,---,---,---,---,---,0
102/04/19,72000,78580,1.09,1.10,1.09,1.10,-0.09,4
102/04/22,354000,340760,0.99,0.99,0.95,0.97,-0.13,8
