103/12/09,0,0,---,---,---,---,---,0
103/12/10,0,0,---,---,---,---,---,0
103/12/11,100000,63000,0.63,0.63,0.63,0.63,-0.03,1
103/12/12,180000,125510,0.66,0.72,0.66,0.69,+0.06,7
103/12/15,85000,54550,0.64,0.65,0.64,0.64,-0.05,4
103/12/16,1119000,817100,0.67,0.75,0.67,0.74,+0.10,24
103/12/17,1035000,722620,0.71,0.71,0.67,0.67,-0.07,17
103/12/18,106000,72080,0.68,0.68,0.68,0.68,+0.01,2
103/12/19,30000,19500,0.65,0.65,0.65,0.65,-0.03,1
103/12/22,100000,64000,0.64,0.64,0.64,0.64,-0.01,1
103/12/23,150000,103500,0.68,0.70,0.68,0.69,+0.05,3
103/12/24,318000,232260,0.72,0.77,0.72,0.74,+0.05,5
103/12/25,491000,391290,0.77,0.81,0.77,0.78,+0.04,14
103/12/26,638000,491180,0.77,0.79,0.74,0.76,-0.02,17
103/12/27,100000,77000,0.77,0.77,0.77,0.77,+0.01,1
103/12/29,353000,271120,0.78,0.79,0.74,0.74,-0.03,7
103/12/30,341000,235920,0.72,0.72,0.67,0.68,-0.06,8
103/12/31,210000,144300,0.69,0.69,0.68,0.68,0.00,4
104/01/05,90000,64000,0.67,0.72,0.67,0.71,+0.03,3
104/01/06,55000,38450,0.70,0.70,0.69,0.69,-0.02,2
104/01/07,1835000,1344120,0.69,0.79,0.69,0.79,+0.10,23
104/01/08,907000,671700,0.78,0.78,0.72,0.72,-0.07,31
104/01/09,1248000,917080,0.74,0.75,0.71,0.71,-0.01,20
104/01/12,215000,148430,0.68,0.70,0.68,0.69,-0.02,7
104/01/13,310000,226610,0.69,0.75,0.69,0.71,+0.02,14
104/01/14,116000,77770,0.70,0.70,0.65,0.66,-0.05,9
104/01/15,1091000,838620,0.72,0.87,0.69,0.85,+0.19,38
104/01/16,1011000,745770,0.80,0.80,0.69,0.76,-0.09,23
104/01/19,193000,149190,0.77,0.82,0.76,0.77,+0.01,12
104/01/20,309000,245820,0.77,0.82,0.77,0.82,+0.05,16
104/01/21,360000,280650,0.81,0.82,0.76,0.79,-0.03,16
104/01/22,1340000,1178970,0.78,0.92,0.78,0.85,+0.06,50
104/01/23,1245000,1084590,0.88,0.93,0.80,0.83,-0.02,31
104/01/26,180000,140390,0.79,0.79,0.77,0.77,-0.06,6
104/01/27,51000,41130,0.81,0.82,0.75,0.75,-0.02,4
104/01/28,207000,154900,0.76,0.76,0.74,0.74,-0.01,9
104/01/29,274000,199790,0.72,0.75,0.72,0.73,-0.01,9
104/01/30,368000,264000,0.73,0.73,0.69,0.69,-0.04,8
104/02/02,335000,247350,0.69,0.76,0.68,0.74,+0.05,11
104/02/03,249000,178710,0.73,0.73,0.70,0.72,-0.02,6
104/02/04,70000,49600,0.71,0.71,0.70,0.70,-0.02,3
104/02/05,120000,85800,0.68,0.73,0.68,0.70,0.00,4
104/02/06,70000,49000,0.70,0.70,0.70,0.70,0.00,2
104/02/09,85000,59850,0.71,0.71,0.70,0.70,0.00,4
104/02/10,80000,53500,0.66,0.67,0.66,0.67,-0.03,2
104/02/11,50000,31800,0.61,0.65,0.61,0.65,-0.02,3
104/02/12,85000,56650,0.67,0.67,0.66,0.67,+0.02,3
104/02/13,51000,33970,0.67,0.67,0.66,0.66,-0.01,3
104/02/24,71000,49490,0.70,0.70,0.69,0.69,+0.03,3
104/02/25,1180000,910150,0.74,0.80,0.74,0.76,+0.07,39
104/02/26,715000,514090,0.73,0.74,0.70,0.74,-0.02,16
104/03/02,260000,194500,0.75,0.75,0.74,0.75,+0.01,9
104/03/03,898000,701060,0.74,0.83,0.71,0.77,+0.02,31
104/03/04,777000,619600,0.78,0.85,0.75,0.76,-0.01,24
104/03/05,121000,89080,0.78,0.78,0.73,0.73,-0.03,4
104/03/06,207000,146150,0.70,0.72,0.70,0.72,-0.01,5
104/03/09,60000,42500,0.70,0.71,0.70,0.71,-0.01,2
104/03/10,240000,159300,0.70,0.70,0.63,0.63,-0.08,9
104/03/11,30000,18100,0.60,0.61,0.60,0.61,-0.02,2
104/03/12,296000,178390,0.60,0.62,0.59,0.59,-0.02,11
104/03/13,66000,40050,0.60,0.61,0.60,0.61,+0.02,4
104/03/16,1169000,775100,0.60,0.70,0.60,0.70,+0.09,34
104/03/17,987000,686020,0.73,0.73,0.67,0.67,-0.03,32
104/03/18,324000,213260,0.65,0.67,0.64,0.65,-0.02,17
104/03/19,119000,76720,0.65,0.65,0.64,0.64,-0.01,8
104/03/20,1755000,1271900,0.65,0.76,0.65,0.75,+0.11,49
104/03/23,1303000,974560,0.78,0.78,0.71,0.74,-0.01,39
104/03/24,158000,114810,0.73,0.75,0.71,0.72,-0.02,13
104/03/25,108000,75330,0.70,0.70,0.69,0.69,-0.03,7
104/03/26,440000,294220,0.66,0.69,0.65,0.67,-0.02,18
104/03/27,388000,264290,0.68,0.72,0.65,0.66,-0.01,20
104/03/30,587000,346070,0.67,0.67,0.53,0.54,-0.12,14
104/03/31,176000,95140,0.54,0.55,0.54,0.55,+0.01,2
104/04/01,270000,152000,0.54,0.59,0.54,0.57,+0.02,13
104/04/02,185000,103900,0.57,0.57,0.54,0.54,-0.03,8
104/04/07,61000,33750,0.55,0.57,0.55,0.57,+0.03,2
104/04/08,25000,14500,0.58,0.58,0.58,0.58,+0.01,2
104/04/09,413000,256080,0.62,0.66,0.59,0.59,+0.01,12
104/04/10,168000,100440,0.61,0.61,0.58,0.58,-0.01,3
104/04/13,141000,81000,0.58,0.60,0.56,0.58,0.00,7
104/04/14,39000,23370,0.60,0.61,0.59,0.59,+0.01,5
104/04/15,230000,126800,0.56,0.56,0.55,0.55,-0.04,5
104/04/16,500000,259300,0.52,0.52,0.48,0.48,-0.07,3
104/04/17,0,0,---,---,---,---,---,0
104/04/20,118000,50900,0.45,0.45,0.43,0.43,-0.07,2
104/04/21,35000,12500,0.44,0.44,0.34,0.34,-0.09,3
104/04/22,5000,1700,0.34,0.34,0.34,0.34,0.00,1
104/04/23,85000,27200,0.36,0.36,0.31,0.32,-0.02,4
104/04/24,50000,17000,0.34,0.34,0.34,0.34,+0.02,1
104/04/27,165000,46600,0.32,0.32,0.25,0.25,-0.09,4
104/04/28,54000,13110,0.27,0.27,0.24,0.24,-0.01,3
104/04/29,200000,50370,0.24,0.26,0.24,0.25,+0.01,9
104/04/30,251000,66020,0.27,0.27,0.24,0.26,+0.01,3
104/05/04,400000,100000,0.26,0.26,0.24,0.24,-0.02,2
104/05/05,34000,6800,0.20,0.20,0.20,0.20,-0.04,1
104/05/06,1018000,235360,0.20,0.26,0.20,0.25,+0.05,13
104/05/07,1359000,300990,0.25,0.25,0.20,0.22,-0.03,14
104/05/08,708000,151880,0.21,0.22,0.20,0.20,-0.02,22
104/05/11,182000,22750,0.15,0.15,0.08,0.10,-0.10,8
104/05/12,110000,11700,0.07,0.11,0.07,0.11,+0.01,2
104/05/13,215000,23690,0.11,0.13,0.11,0.13,+0.02,7
104/05/14,339000,47150,0.11,0.16,0.11,0.11,-0.02,11
104/05/15,152000,18870,0.11,0.14,0.11,0.14,+0.03,4
104/05/18,200000,15800,0.09,0.09,0.07,0.07,-0.07,6
104/05/19,146000,4750,0.06,0.06,0.02,0.02,-0.05,9
104/05/20,254000,7620,0.03,0.03,0.03,0.03,+0.01,5
104/05/21,381000,7620,0.02,0.02,0.02,0.02,-0.01,8
104/05/22,0,0,---,---,---,---,---,0
104/05/25,0,0,---,---,---,---,---,0
104/05/26,0,0,---,---,---,---,---,0
104/05/27,200000,2000,0.01,0.01,0.01,0.01,-0.01,2
104/05/28,0,0,---,---,---,---,---,0
104/05/29,200000,2000,0.01,0.01,0.01,0.01,0.00,2
104/06/01,0,0,---,---,---,---,---,0
104/06/02,0,0,---,---,---,---,---,0
104/06/03,200000,2000,0.01,0.01,0.01,0.01,0.00,2
104/06/04,0,0,---,---,---,---,---,0
