100/11/11,0,0,0.00,0.00,0.00,0.00,---,0
100/11/14,0,0,----,----,----,---,---,0
100/11/15,0,0,---,---,---,---,---,0
100/11/16,0,0,---,---,---,---,---,0
100/11/17,0,0,---,---,---,---,---,0
100/11/18,0,0,---,---,---,---,---,0
100/11/21,0,0,---,---,---,---,---,0
100/11/22,14000,7110,0.54,0.54,0.45,0.45,-0.18,2
100/11/23,0,0,---,---,---,---,---,0
100/11/24,402000,134460,0.34,0.34,0.33,0.33,-0.06,5
100/11/25,412000,148840,0.38,0.38,0.34,0.34,+0.01,18
100/11/28,373000,128060,0.35,0.36,0.34,0.34,0.00,6
100/11/29,79000,30030,0.35,0.41,0.35,0.41,+0.07,3
100/11/30,429000,142860,0.37,0.37,0.32,0.32,-0.09,10
100/12/01,113000,45200,0.40,0.40,0.40,0.40,+0.08,3
100/12/02,228000,91200,0.40,0.40,0.40,0.40,0.00,3
100/12/05,355000,122050,0.38,0.38,0.30,0.33,-0.07,7
100/12/06,214000,70020,0.33,0.33,0.30,0.30,-0.03,4
100/12/07,532000,122860,0.26,0.26,0.23,0.23,-0.07,8
100/12/08,169000,38870,0.23,0.23,0.23,0.23,0.00,2
100/12/09,553000,108580,0.19,0.21,0.19,0.20,-0.03,9
100/12/12,2000,430,0.22,0.22,0.21,0.21,+0.01,2
100/12/13,303000,54600,0.20,0.20,0.17,0.19,-0.02,5
100/12/14,298000,57630,0.20,0.21,0.19,0.21,+0.02,5
100/12/15,298000,52800,0.18,0.20,0.17,0.20,-0.01,6
100/12/16,595000,113140,0.20,0.20,0.18,0.20,0.00,8
100/12/19,248000,47120,0.19,0.19,0.19,0.19,-0.01,3
100/12/20,708000,124370,0.19,0.19,0.16,0.16,-0.03,10
100/12/21,735000,164890,0.21,0.24,0.21,0.24,+0.08,10
100/12/22,680000,147170,0.22,0.22,0.21,0.21,-0.03,10
100/12/23,905000,230810,0.22,0.28,0.22,0.28,+0.07,12
100/12/26,1335000,507650,0.29,0.63,0.29,0.63,+0.35,39
100/12/27,3443000,1497040,0.53,0.53,0.37,0.37,-0.26,83
100/12/28,963000,321810,0.34,0.37,0.32,0.32,-0.05,24
100/12/29,853000,238250,0.28,0.32,0.26,0.30,-0.02,24
100/12/30,1327000,390230,0.31,0.31,0.28,0.29,-0.01,19
101/01/02,927000,244590,0.28,0.28,0.23,0.24,-0.05,19
101/01/03,726000,182730,0.25,0.26,0.24,0.25,+0.01,20
101/01/04,1142000,316360,0.28,0.29,0.26,0.27,+0.02,23
101/01/05,751000,213030,0.29,0.30,0.28,0.29,+0.02,13
101/01/06,968000,257050,0.28,0.28,0.25,0.27,-0.02,15
101/01/09,829000,199800,0.26,0.26,0.23,0.23,-0.04,22
101/01/10,388000,94910,0.25,0.26,0.24,0.25,+0.02,8
101/01/11,1587000,440800,0.27,0.29,0.26,0.26,+0.01,31
101/01/12,1201000,284930,0.26,0.26,0.22,0.22,-0.04,27
101/01/13,864000,173690,0.22,0.22,0.19,0.20,-0.02,20
101/01/16,543000,108610,0.20,0.21,0.20,0.20,0.00,11
101/01/17,731000,168290,0.23,0.25,0.22,0.24,+0.04,15
101/01/18,1526000,381540,0.25,0.26,0.24,0.25,+0.01,25
101/01/30,1164000,285610,0.26,0.26,0.24,0.24,-0.01,20
101/01/31,2568000,731550,0.24,0.33,0.24,0.30,+0.06,68
101/02/01,4012000,1502520,0.31,0.42,0.31,0.39,+0.09,90
101/02/02,3800000,1738900,0.41,0.50,0.41,0.48,+0.09,95
101/02/03,2180000,956820,0.50,0.52,0.40,0.45,-0.03,78
101/02/04,1325000,584420,0.46,0.50,0.38,0.38,-0.07,55
