102/04/15,10000,12380,1.22,1.24,1.22,1.24,+0.05,2
102/04/16,15000,18300,1.22,1.22,1.22,1.22,-0.02,1
102/04/17,23000,26580,1.15,1.16,1.15,1.16,-0.06,2
102/04/18,21000,23500,1.12,1.12,1.10,1.10,-0.06,3
102/04/19,426000,405250,1.00,1.00,0.95,0.95,-0.15,8
102/04/22,690000,584810,0.89,0.89,0.72,0.75,-0.20,24
102/04/23,1207000,857420,0.70,0.75,0.66,0.75,0.00,37
102/04/24,757000,532380,0.70,0.77,0.66,0.76,+0.01,25
102/04/25,1258000,861530,0.77,0.79,0.63,0.63,-0.13,41
102/04/26,154000,101620,0.66,0.68,0.64,0.68,+0.05,5
102/04/29,909000,641140,0.70,0.72,0.69,0.71,+0.03,20
102/04/30,375000,254000,0.67,0.70,0.64,0.64,-0.07,9
102/05/02,109000,70750,0.65,0.65,0.64,0.64,0.00,2
102/05/03,297000,190080,0.64,0.64,0.64,0.64,0.00,3
102/05/06,3000,1970,0.65,0.66,0.65,0.66,+0.02,2
102/05/07,795000,489850,0.62,0.64,0.59,0.64,-0.02,19
102/05/08,464000,295060,0.61,0.67,0.61,0.65,+0.01,12
102/05/09,2445000,1783830,0.67,0.75,0.67,0.73,+0.08,39
102/05/10,1767000,1217940,0.69,0.73,0.68,0.73,0.00,28
102/05/13,1082000,708610,0.62,0.68,0.62,0.66,-0.07,19
102/05/14,1643000,1075560,0.61,0.71,0.58,0.70,+0.04,36
102/05/15,1108000,732470,0.68,0.71,0.61,0.64,-0.06,44
102/05/16,1464000,776780,0.59,0.61,0.49,0.53,-0.11,40
102/05/17,1299000,640110,0.52,0.54,0.47,0.53,0.00,23
102/05/20,172000,86630,0.51,0.52,0.49,0.51,-0.02,12
102/05/21,626000,356200,0.52,0.61,0.50,0.57,+0.06,20
102/05/22,337000,192140,0.55,0.58,0.55,0.58,+0.01,9
102/05/23,374000,210990,0.58,0.58,0.54,0.57,-0.01,15
102/05/24,492000,269810,0.52,0.61,0.52,0.60,+0.03,10
102/05/27,87000,50210,0.59,0.59,0.57,0.58,-0.02,4
102/05/28,128000,75080,0.58,0.60,0.58,0.60,+0.02,5
102/05/29,459000,230600,0.53,0.53,0.49,0.49,-0.11,9
102/05/30,199000,102980,0.52,0.52,0.51,0.52,+0.03,3
102/05/31,593000,239980,0.47,0.47,0.38,0.38,-0.14,13
102/06/03,342000,97700,0.35,0.35,0.28,0.28,-0.10,8
102/06/04,67000,18580,0.26,0.30,0.26,0.29,+0.01,6
102/06/05,112000,28920,0.27,0.27,0.24,0.25,-0.04,5
102/06/06,355000,83370,0.26,0.27,0.20,0.24,-0.01,15
102/06/07,401000,108580,0.23,0.28,0.23,0.28,+0.04,11
102/06/10,427000,103580,0.26,0.26,0.23,0.23,-0.05,8
102/06/11,428000,96770,0.23,0.24,0.22,0.23,0.00,8
102/06/13,582000,163800,0.25,0.31,0.24,0.30,+0.07,16
102/06/14,535000,156110,0.27,0.32,0.27,0.29,-0.01,11
102/06/17,1184000,209860,0.21,0.21,0.15,0.17,-0.12,18
102/06/18,1282000,230350,0.17,0.19,0.17,0.18,+0.01,16
102/06/19,1744000,294310,0.17,0.19,0.14,0.18,0.00,29
102/06/20,463000,82450,0.19,0.19,0.17,0.18,0.00,10
102/06/21,501000,100770,0.22,0.22,0.17,0.19,+0.01,11
102/06/24,106000,17940,0.15,0.19,0.15,0.19,0.00,4
102/06/25,1785000,395790,0.21,0.26,0.21,0.23,+0.04,26
102/06/26,1055000,232860,0.20,0.26,0.20,0.25,+0.02,18
102/06/27,1414000,269090,0.22,0.22,0.17,0.18,-0.07,25
102/06/28,225000,41300,0.17,0.19,0.17,0.18,0.00,6
102/07/01,864000,135040,0.16,0.17,0.14,0.16,-0.02,15
102/07/02,25000,3750,0.15,0.15,0.15,0.15,-0.01,1
102/07/03,40000,6300,0.15,0.16,0.15,0.16,+0.01,2
102/07/04,2185000,447270,0.15,0.22,0.15,0.22,+0.06,42
102/07/05,1788000,360690,0.22,0.22,0.19,0.20,-0.02,39
102/07/08,2689000,577170,0.19,0.24,0.19,0.22,+0.02,50
102/07/09,3738000,817920,0.20,0.26,0.19,0.26,+0.04,81
102/07/10,4639000,1310190,0.25,0.32,0.25,0.30,+0.04,101
102/07/11,4434000,1161170,0.35,0.35,0.23,0.23,-0.07,90
102/07/12,3826000,697520,0.21,0.21,0.16,0.19,-0.04,74
102/07/15,1371000,226650,0.17,0.18,0.16,0.17,-0.02,26
102/07/16,1647000,233870,0.16,0.17,0.13,0.13,-0.04,38
102/07/17,938000,126480,0.12,0.14,0.12,0.14,+0.01,23
102/07/18,1261000,199170,0.14,0.16,0.14,0.16,+0.02,34
102/07/19,1142000,177250,0.16,0.17,0.15,0.15,-0.01,26
102/07/22,322000,44150,0.15,0.15,0.13,0.15,0.00,14
102/07/23,963000,149760,0.16,0.17,0.15,0.17,+0.02,22
102/07/24,670000,85730,0.16,0.17,0.10,0.10,-0.07,13
102/07/25,2720000,394860,0.10,0.16,0.10,0.15,+0.05,52
102/07/26,3139000,448440,0.14,0.16,0.13,0.15,0.00,61
102/07/29,3377000,639770,0.15,0.26,0.15,0.22,+0.07,66
102/07/30,3318000,717930,0.21,0.24,0.20,0.21,-0.01,58
102/07/31,3711000,999150,0.21,0.32,0.21,0.28,+0.07,88
102/08/01,1854000,415400,0.23,0.24,0.21,0.21,-0.07,42
102/08/02,1367000,261550,0.19,0.20,0.18,0.19,-0.02,36
102/08/05,942000,138870,0.18,0.18,0.10,0.12,-0.07,26
102/08/06,357000,15980,0.09,0.09,0.04,0.06,-0.06,11
102/08/07,327000,9020,0.02,0.05,0.02,0.05,-0.01,14
102/08/08,347000,17600,0.05,0.06,0.05,0.06,+0.01,9
102/08/09,399000,14950,0.03,0.06,0.03,0.06,0.00,11
102/08/12,0,0,---,---,---,---,---,0
102/08/13,180000,5420,0.03,0.05,0.03,0.05,0.00,5
102/08/14,100000,2020,0.02,0.04,0.02,0.04,-0.01,3
102/08/15,113000,3880,0.02,0.05,0.02,0.05,+0.01,6
102/08/16,99000,4950,0.05,0.05,0.05,0.05,0.00,1
102/08/19,0,0,---,---,---,---,---,0
102/08/20,101000,2050,0.02,0.05,0.02,0.05,+0.01,4
102/08/22,31000,640,0.02,0.04,0.02,0.04,-0.01,2
102/08/23,0,0,---,---,---,---,---,0
102/08/26,0,0,---,---,---,---,---,0
102/08/27,11000,240,0.02,0.04,0.02,0.04,0.00,2
102/08/28,300000,6000,0.02,0.02,0.02,0.02,-0.02,6
102/08/29,1000,40,0.04,0.04,0.04,0.04,+0.02,1
102/08/30,41000,430,0.01,0.03,0.01,0.03,-0.01,2
102/09/02,0,0,---,---,---,---,---,0
102/09/03,0,0,---,---,---,---,---,0
102/09/04,0,0,---,---,---,---,---,0
