107/09/07,80000,49600,0.62,0.62,0.62,0.62,-0.05,3
107/09/12,51000,18520,0.38,0.38,0.36,0.37,-0.05,4
107/09/13,216000,79920,0.37,0.37,0.37,0.37,0.00,2
107/09/19,5000,1500,0.30,0.30,0.30,0.30,-0.04,1
107/09/20,0,0,---,---,---,---,---,0
107/09/25,0,0,---,---,---,---,---,0
107/10/01,0,0,---,---,---,---,---,0
107/10/02,0,0,---,---,---,---,---,0
107/10/03,0,0,---,---,---,---,---,0
107/10/04,0,0,---,---,---,---,---,0
107/10/05,0,0,---,---,---,---,---,0
107/10/08,0,0,---,---,---,---,---,0
107/10/09,0,0,---,---,---,---,---,0
107/10/12,0,0,---,---,---,---,---,0
107/10/15,0,0,---,---,---,---,---,0
107/10/17,0,0,---,---,---,---,---,0
107/10/19,0,0,---,---,---,---,---,0
