103/04/15,0,0,---,---,---,---,---,0
103/04/16,0,0,---,---,---,---,---,0
103/04/17,10000,17400,1.74,1.74,1.74,1.74,+0.09,1
103/04/18,5000,8300,1.66,1.66,1.66,1.66,-0.08,1
103/04/21,0,0,---,---,---,---,---,0
103/04/22,10000,14400,1.44,1.44,1.44,1.44,-0.06,1
103/04/23,0,0,---,---,---,---,---,0
103/04/24,0,0,---,---,---,---,---,0
103/04/25,104000,129140,1.24,1.33,1.24,1.33,+0.04,2
103/04/28,112000,143160,1.28,1.28,1.26,1.26,-0.07,2
103/04/29,27000,34760,1.19,1.35,1.19,1.33,+0.07,4
103/04/30,56000,93920,1.58,1.75,1.58,1.73,+0.40,5
103/05/02,491000,906210,1.78,1.94,1.74,1.74,+0.01,12
103/05/05,462000,817940,1.79,1.80,1.62,1.64,-0.10,8
103/05/06,421000,641100,1.62,1.63,1.48,1.50,-0.14,9
103/05/07,422000,682270,1.60,1.66,1.59,1.63,+0.13,7
103/05/08,177000,285940,1.65,1.65,1.58,1.61,-0.02,4
103/05/09,190000,306100,1.62,1.62,1.61,1.61,0.00,2
103/05/12,252000,444320,1.62,1.80,1.62,1.80,+0.19,12
103/05/13,144000,247930,1.72,1.85,1.58,1.85,+0.05,11
103/05/14,271000,503510,1.83,1.93,1.83,1.91,+0.06,13
103/05/15,78000,144290,1.85,1.86,1.84,1.84,-0.07,4
103/05/16,170000,292500,1.70,1.74,1.70,1.71,-0.13,5
103/05/19,215000,341100,1.58,1.60,1.56,1.59,-0.12,7
103/05/20,7000,10750,1.51,1.60,1.51,1.60,+0.01,2
103/05/21,195000,329100,1.64,1.72,1.64,1.70,+0.10,7
103/05/22,187000,293760,1.62,1.62,1.56,1.58,-0.12,7
103/05/23,50000,75800,1.48,1.54,1.48,1.54,-0.04,2
103/05/26,202000,309060,1.53,1.53,1.53,1.53,-0.01,3
103/05/27,310000,492220,1.54,1.65,1.53,1.65,+0.12,7
