102/08/14,0,0,---,---,---,---,---,0
102/08/15,0,0,---,---,---,---,---,0
102/08/16,0,0,---,---,---,---,---,0
102/08/19,60000,104350,1.75,1.75,1.72,1.72,-0.06,6
102/08/20,85000,140000,1.70,1.70,1.52,1.52,-0.20,4
102/08/22,95000,149500,1.58,1.59,1.55,1.59,+0.07,4
102/08/23,70000,116800,1.64,1.69,1.64,1.69,+0.10,2
102/08/26,645000,1098550,1.70,1.72,1.68,1.72,+0.03,14
102/08/27,615000,1102250,1.81,1.83,1.73,1.79,+0.07,20
102/08/28,0,0,---,---,---,---,---,0
102/08/29,60000,108600,1.83,1.83,1.79,1.79,0.00,2
102/08/30,40000,71600,1.79,1.79,1.79,1.79,0.00,3
102/09/02,715000,1375660,1.89,2.05,1.89,2.05,+0.26,13
102/09/03,824000,1853310,2.10,2.34,2.05,2.18,+0.13,35
102/09/04,114000,236890,2.16,2.16,1.99,1.99,-0.19,5
102/09/05,10000,20700,2.07,2.07,2.07,2.07,+0.08,1
102/09/06,284000,627990,2.13,2.24,2.13,2.24,+0.17,8
102/09/09,251000,535320,2.19,2.19,2.02,2.06,-0.18,10
102/09/10,157000,313460,2.04,2.04,1.96,1.96,-0.10,3
102/09/11,6000,12280,2.03,2.05,2.03,2.05,+0.09,2
102/09/12,475000,1076400,2.11,2.31,2.05,2.19,+0.14,14
102/09/13,1000,2040,2.04,2.04,2.04,2.04,-0.15,1
102/09/14,357000,734950,2.11,2.11,2.05,2.05,+0.01,5
102/09/16,10000,20500,2.05,2.05,2.05,2.05,0.00,1
102/09/17,0,0,---,---,---,---,---,0
102/09/18,10000,20000,2.00,2.00,2.00,2.00,+0.02,1
102/09/23,70000,147000,2.11,2.12,2.07,2.12,+0.12,3
102/09/24,139000,300540,2.04,2.21,2.04,2.17,+0.05,8
102/09/25,29000,64550,2.15,2.30,2.15,2.25,+0.08,4
102/09/26,30000,63800,2.15,2.15,2.11,2.11,-0.14,3
102/09/27,45000,106600,2.28,2.42,2.28,2.38,+0.27,4
102/09/30,4000,8800,2.20,2.20,2.20,2.20,-0.18,1
102/10/01,133000,285700,2.24,2.25,2.10,2.13,-0.07,9
102/10/02,31000,65050,2.14,2.14,2.05,2.05,-0.08,4
102/10/03,30000,61300,2.05,2.05,2.04,2.04,-0.01,2
102/10/04,30000,62700,2.09,2.09,2.09,2.09,+0.05,1
102/10/07,160000,373650,2.26,2.37,2.26,2.31,+0.22,9
102/10/08,120000,262100,2.21,2.21,2.17,2.17,-0.14,4
102/10/09,145000,303050,2.13,2.13,2.01,2.01,-0.16,6
102/10/11,30000,62400,2.10,2.10,2.06,2.06,+0.05,3
102/10/14,269000,487240,1.98,1.98,1.80,1.82,-0.24,8
102/10/15,262000,477060,1.87,1.87,1.81,1.82,0.00,6
102/10/16,5000,9150,1.83,1.83,1.83,1.83,+0.01,1
102/10/17,160000,286300,1.83,1.83,1.74,1.75,-0.08,8
102/10/18,1000,1810,1.81,1.81,1.81,1.81,+0.06,1
102/10/21,10000,18500,1.85,1.85,1.85,1.85,+0.04,1
102/10/22,17000,30900,1.85,1.85,1.78,1.78,-0.07,3
102/10/23,37000,70100,1.85,1.96,1.82,1.82,+0.04,4
102/10/24,85000,162750,1.90,1.93,1.90,1.90,+0.08,6
102/10/25,378000,826920,1.96,2.29,1.96,2.18,+0.28,16
102/10/28,310000,699840,2.31,2.40,2.19,2.23,+0.05,16
102/10/29,8000,17360,2.17,2.17,2.17,2.17,-0.06,2
102/10/30,170000,383250,2.15,2.30,2.14,2.29,+0.12,11
102/10/31,285000,697490,2.38,2.60,2.29,2.29,0.00,29
102/11/01,280000,611010,2.38,2.38,2.09,2.09,-0.20,13
102/11/04,544000,1032800,1.95,1.95,1.86,1.89,-0.20,15
102/11/05,53000,98350,1.80,1.88,1.80,1.85,-0.04,6
102/11/06,12000,20850,1.85,1.85,1.69,1.69,-0.16,3
102/11/07,28000,49240,1.78,1.78,1.75,1.75,+0.06,3
102/11/08,5000,8500,1.70,1.70,1.70,1.70,-0.05,1
102/11/11,4000,6880,1.72,1.72,1.72,1.72,+0.02,1
102/11/12,284000,447220,1.75,1.75,1.55,1.62,-0.10,7
102/11/13,244000,375210,1.57,1.57,1.49,1.49,-0.13,13
102/11/14,100000,150250,1.49,1.51,1.49,1.50,+0.01,3
102/11/15,12000,18740,1.58,1.58,1.54,1.55,+0.05,4
102/11/18,13000,18800,1.44,1.47,1.43,1.43,-0.12,5
102/11/19,110000,161900,1.48,1.48,1.45,1.45,+0.02,3
102/11/20,5000,7100,1.42,1.42,1.42,1.42,-0.03,1
