103/11/05,78000,137480,1.82,1.82,1.59,1.59,+0.14,12
103/11/06,323000,509600,1.58,1.58,1.42,1.42,-0.17,9
103/11/07,437000,672570,1.48,1.72,1.48,1.61,+0.19,12
103/11/10,74000,108870,1.40,1.48,1.40,1.47,-0.14,4
103/11/11,6000,9570,1.65,1.65,1.54,1.54,+0.07,2
103/11/12,9000,14340,1.70,1.70,1.48,1.48,-0.06,3
103/11/13,28000,41440,1.59,1.59,1.46,1.46,-0.02,6
103/11/14,8000,11880,1.46,1.52,1.46,1.47,+0.01,3
103/11/17,3000,4440,1.48,1.48,1.48,1.48,+0.01,1
103/11/18,10000,15600,1.56,1.56,1.56,1.56,+0.08,1
103/11/19,0,0,---,---,---,---,---,0
103/11/20,129000,246940,1.91,1.93,1.90,1.93,+0.33,3
103/11/21,120000,215500,1.80,1.80,1.75,1.75,-0.18,3
103/11/24,0,0,---,---,---,---,---,0
103/11/25,305000,488000,1.60,1.60,1.60,1.60,-0.15,2
103/11/26,640000,1056800,1.73,1.73,1.57,1.71,+0.11,6
103/11/27,451000,753510,1.60,1.70,1.30,1.30,-0.41,10
103/11/28,108000,149730,1.42,1.45,1.35,1.37,+0.07,6
103/12/01,488000,623730,1.27,1.47,1.25,1.47,+0.10,8
103/12/02,545000,712020,1.36,1.36,1.25,1.27,-0.20,12
103/12/03,488000,681260,1.37,1.59,1.37,1.59,+0.32,7
103/12/04,530000,918310,1.80,1.80,1.68,1.73,+0.14,12
103/12/05,34000,56800,1.69,1.70,1.65,1.70,-0.03,3
103/12/08,0,0,---,---,---,---,---,0
103/12/09,0,0,---,---,---,---,---,0
103/12/10,0,0,---,---,---,---,---,0
103/12/11,15000,25050,1.65,1.68,1.65,1.68,+0.09,3
103/12/12,20000,35000,1.79,1.79,1.71,1.71,+0.03,2
103/12/15,10000,15200,1.52,1.52,1.52,1.52,-0.19,1
103/12/16,25000,32500,1.32,1.32,1.22,1.22,-0.30,2
103/12/17,20000,25200,1.26,1.26,1.26,1.26,+0.04,1
103/12/18,20000,25600,1.28,1.28,1.28,1.28,+0.02,1
103/12/19,0,0,---,---,---,---,---,0
103/12/22,20000,24000,1.20,1.20,1.20,1.20,+0.02,1
103/12/23,43000,53390,1.31,1.31,1.13,1.13,-0.07,3
103/12/24,40000,48200,1.22,1.22,1.19,1.19,+0.06,2
103/12/25,291000,326000,1.12,1.20,1.12,1.20,+0.01,2
103/12/26,401000,459180,1.12,1.18,1.08,1.18,-0.02,7
103/12/27,280000,340900,1.21,1.24,1.21,1.21,+0.03,4
103/12/29,225000,293590,1.29,1.37,1.28,1.37,+0.16,8
103/12/30,78000,108420,1.39,1.39,1.39,1.39,+0.02,2
103/12/31,0,0,---,---,---,---,---,0
104/01/05,0,0,---,---,---,---,---,0
104/01/06,8000,8730,1.11,1.11,1.06,1.06,-0.43,2
104/01/07,428000,436160,1.00,1.02,1.00,1.02,-0.04,4
104/01/08,10000,11100,1.11,1.11,1.11,1.11,+0.09,1
104/01/09,450000,449580,1.00,1.00,0.99,0.99,-0.12,7
104/01/12,55000,46650,0.89,0.90,0.79,0.79,-0.20,5
104/01/13,0,0,---,---,---,---,---,0
104/01/14,70000,58100,0.83,0.83,0.83,0.83,+0.04,1
104/01/15,80000,67300,0.82,0.99,0.82,0.99,+0.16,3
104/01/16,247000,273870,1.13,1.17,1.04,1.04,+0.05,6
104/01/19,99000,98040,1.02,1.02,0.99,0.99,-0.05,2
104/01/20,100000,100000,1.00,1.00,1.00,1.00,+0.01,2
104/01/21,0,0,---,---,---,---,---,0
104/01/22,0,0,---,---,---,---,---,0
104/01/23,0,0,---,---,---,---,---,0
104/01/26,0,0,---,---,---,---,---,0
104/01/27,25000,23550,0.93,0.96,0.93,0.96,+0.11,3
104/01/28,10000,9650,0.95,0.98,0.95,0.98,+0.02,2
104/01/29,5000,4650,0.93,0.93,0.93,0.93,-0.05,1
104/01/30,0,0,---,---,---,---,---,0
104/02/02,10000,9700,0.97,0.97,0.97,0.97,+0.02,1
104/02/03,0,0,---,---,---,---,---,0
104/02/04,0,0,---,---,---,---,---,0
104/02/05,0,0,---,---,---,---,---,0
104/02/06,0,0,---,---,---,---,---,0
104/02/09,35000,30700,0.86,0.90,0.86,0.90,+0.01,3
104/02/10,0,0,---,---,---,---,---,0
104/02/11,42000,38600,0.85,1.01,0.85,1.00,+0.15,4
104/02/12,10000,8900,0.89,0.89,0.89,0.89,-0.11,1
104/02/13,50000,42500,0.85,0.85,0.85,0.85,-0.04,1
104/02/24,0,0,---,---,---,---,---,0
104/02/25,30000,23600,0.82,0.82,0.73,0.81,-0.13,3
104/02/26,10000,9000,0.90,0.90,0.90,0.90,+0.09,1
104/03/02,0,0,---,---,---,---,---,0
104/03/03,173000,201570,1.05,1.34,1.05,1.34,+0.43,11
104/03/04,36000,46680,1.31,1.33,1.23,1.28,-0.06,5
104/03/05,314000,484960,1.28,1.92,1.28,1.92,+0.64,7
104/03/06,213000,462200,2.13,2.20,2.13,2.20,+0.28,5
104/03/09,2000,3980,1.99,1.99,1.99,1.99,-0.21,1
104/03/10,4000,8320,2.08,2.08,2.08,2.08,+0.09,1
104/03/11,2000,4140,2.07,2.07,2.07,2.07,-0.01,1
104/03/12,22000,50380,2.29,2.29,2.29,2.29,+0.22,3
104/03/13,22000,46060,2.11,2.11,1.93,1.93,-0.36,3
104/03/16,105000,159950,1.56,1.56,1.49,1.49,-0.44,3
104/03/17,117000,199230,1.61,1.76,1.61,1.76,+0.27,7
104/03/18,18000,37280,2.11,2.11,2.04,2.11,+0.35,8
104/03/19,1000,2200,2.20,2.20,2.20,2.20,+0.09,1
104/03/20,270000,589350,2.33,2.33,2.18,2.18,-0.02,2
104/03/23,82000,168070,2.15,2.15,1.88,1.91,-0.27,12
104/03/24,60000,107110,1.96,1.96,1.76,1.79,-0.12,9
104/03/25,33000,58950,1.78,1.84,1.68,1.68,-0.11,6
104/03/26,58000,99280,1.66,1.73,1.66,1.70,+0.02,15
104/03/27,32000,55560,1.85,1.85,1.71,1.71,+0.01,6
104/03/30,0,0,---,---,---,---,---,0
104/03/31,32000,50560,1.58,1.58,1.58,1.58,+0.17,1
104/04/01,32000,54400,1.70,1.70,1.70,1.70,+0.12,1
104/04/02,0,0,---,---,---,---,---,0
104/04/07,0,0,---,---,---,---,---,0
104/04/08,0,0,---,---,---,---,---,0
104/04/09,0,0,---,---,---,---,---,0
104/04/10,0,0,---,---,---,---,---,0
104/04/13,0,0,---,---,---,---,---,0
104/04/14,0,0,---,---,---,---,---,0
104/04/15,0,0,---,---,---,---,---,0
104/04/16,0,0,---,---,---,---,---,0
104/04/17,5000,6650,1.33,1.33,1.33,1.33,-0.47,1
104/04/20,0,0,---,---,---,---,---,0
104/04/21,29000,57910,2.04,2.04,1.79,1.79,+0.18,2
104/04/22,30000,74360,2.39,2.90,2.34,2.90,+1.11,4
104/04/23,10000,41100,3.92,4.30,3.92,4.30,+1.40,2
104/04/24,13000,65000,5.00,5.00,5.00,5.00,+0.70,2
104/04/27,23000,113110,4.65,5.05,4.65,4.97,-0.03,4
104/04/28,10000,56000,5.60,5.60,5.60,5.60,+0.63,1
104/04/29,0,0,---,---,---,---,---,0
