103/09/12,111000,96950,0.85,0.89,0.85,0.85,0.00,4
103/09/15,1360000,1096600,0.84,0.84,0.80,0.80,-0.05,20
103/09/16,4948000,3550740,0.80,0.80,0.65,0.70,-0.10,73
103/09/17,3953000,3142380,0.76,0.87,0.72,0.83,+0.13,65
103/09/18,517000,423450,0.83,0.86,0.80,0.83,0.00,13
103/09/19,304000,265180,0.84,0.89,0.84,0.89,+0.06,8
103/09/22,160000,149800,0.89,0.98,0.89,0.94,+0.05,4
103/09/23,190000,169400,0.91,0.91,0.84,0.84,-0.10,4
103/09/24,0,0,---,---,---,---,---,0
103/09/25,23000,11300,0.50,0.50,0.49,0.49,-0.24,2
103/09/26,117000,62380,0.50,0.54,0.50,0.54,+0.05,3
103/09/29,94000,55460,0.59,0.59,0.59,0.59,+0.05,1
103/09/30,3000,1680,0.56,0.56,0.56,0.56,-0.03,1
103/10/01,220000,132500,0.60,0.62,0.60,0.62,+0.06,4
103/10/02,180000,109800,0.61,0.61,0.61,0.61,-0.01,1
103/10/03,131000,93570,0.65,0.72,0.65,0.72,+0.11,4
103/10/06,222000,171540,0.80,0.80,0.77,0.77,+0.05,3
103/10/07,100000,67000,0.67,0.67,0.67,0.67,-0.10,1
103/10/08,431000,232340,0.52,0.54,0.52,0.54,-0.13,2
103/10/09,275000,144050,0.57,0.57,0.47,0.47,-0.07,5
103/10/13,20000,8200,0.41,0.41,0.41,0.41,-0.06,1
103/10/14,140000,64800,0.43,0.47,0.43,0.47,+0.06,3
103/10/15,60000,25200,0.44,0.44,0.41,0.41,-0.06,3
103/10/16,100000,20460,0.22,0.22,0.20,0.20,-0.21,2
103/10/17,202000,50510,0.27,0.27,0.21,0.24,+0.04,6
103/10/20,556000,84480,0.20,0.20,0.14,0.14,-0.10,21
103/10/21,2354000,286940,0.13,0.16,0.10,0.14,0.00,31
103/10/22,1461000,217150,0.16,0.16,0.14,0.15,+0.01,11
103/10/23,339000,38140,0.12,0.12,0.10,0.11,-0.04,6
103/10/24,193000,11010,0.06,0.07,0.04,0.04,-0.07,9
103/10/27,113000,4050,0.03,0.05,0.03,0.05,+0.01,9
103/10/28,3215000,144130,0.05,0.07,0.04,0.07,+0.02,27
103/10/29,375000,28320,0.04,0.15,0.04,0.15,+0.08,13
103/10/30,188000,19260,0.10,0.15,0.10,0.15,0.00,10
103/10/31,628000,63920,0.10,0.13,0.10,0.11,-0.04,9
103/11/03,300000,29250,0.09,0.10,0.08,0.08,-0.03,11
103/11/04,699000,74620,0.09,0.12,0.09,0.12,+0.04,26
103/11/05,547000,69760,0.13,0.14,0.11,0.13,+0.01,26
103/11/06,647000,60930,0.10,0.10,0.07,0.09,-0.04,14
103/11/07,31000,2190,0.07,0.09,0.07,0.09,0.00,2
103/11/10,310000,27600,0.08,0.09,0.08,0.09,0.00,7
103/11/11,36000,3240,0.10,0.10,0.07,0.09,0.00,5
103/11/12,349000,27540,0.06,0.09,0.06,0.08,-0.01,12
103/11/13,180000,12800,0.07,0.08,0.07,0.07,-0.01,7
103/11/14,1700000,169030,0.09,0.14,0.09,0.13,+0.06,32
103/11/17,180000,18420,0.10,0.12,0.10,0.10,-0.03,12
103/11/18,400000,29800,0.07,0.08,0.07,0.08,-0.02,6
103/11/19,256000,26560,0.11,0.11,0.10,0.10,+0.02,12
103/11/20,788000,100470,0.12,0.16,0.12,0.12,+0.02,22
103/11/21,413000,42270,0.10,0.11,0.09,0.11,-0.01,8
103/11/24,329000,30950,0.11,0.11,0.08,0.10,-0.01,6
103/11/25,215000,22350,0.09,0.11,0.09,0.11,+0.01,5
103/11/26,225000,21700,0.10,0.11,0.09,0.09,-0.02,5
103/11/27,840000,97380,0.12,0.13,0.11,0.11,+0.02,12
103/11/28,1045000,120550,0.13,0.13,0.08,0.08,-0.03,15
103/12/01,176000,14580,0.08,0.09,0.08,0.08,0.00,8
103/12/02,155000,11250,0.08,0.08,0.07,0.07,-0.01,4
103/12/03,100000,9000,0.09,0.09,0.09,0.09,+0.02,1
103/12/04,145000,13200,0.09,0.10,0.09,0.09,0.00,4
103/12/05,25000,2500,0.10,0.10,0.10,0.10,+0.01,3
103/12/08,340000,34000,0.10,0.10,0.10,0.10,0.00,3
103/12/09,10000,1000,0.10,0.10,0.10,0.10,0.00,1
103/12/10,5000,500,0.10,0.10,0.10,0.10,0.00,1
103/12/11,135000,13150,0.09,0.10,0.09,0.10,0.00,3
103/12/12,109000,13080,0.12,0.12,0.12,0.12,+0.02,5
103/12/15,60000,5400,0.09,0.09,0.09,0.09,-0.03,2
103/12/16,0,0,---,---,---,---,---,0
103/12/17,50000,3600,0.06,0.09,0.06,0.09,0.00,5
103/12/18,122000,6720,0.05,0.06,0.05,0.05,-0.04,17
103/12/19,282000,9590,0.03,0.04,0.03,0.03,-0.02,24
103/12/22,80000,2000,0.03,0.03,0.02,0.02,-0.01,3
103/12/23,40000,800,0.02,0.02,0.02,0.02,0.00,1
103/12/24,35000,900,0.02,0.03,0.02,0.03,+0.01,2
103/12/25,0,0,---,---,---,---,---,0
103/12/26,0,0,---,---,---,---,---,0
103/12/27,0,0,---,---,---,---,---,0
103/12/29,182000,6880,0.04,0.04,0.03,0.03,0.00,15
103/12/30,410000,12300,0.03,0.03,0.03,0.03,0.00,18
103/12/31,177000,3640,0.02,0.03,0.02,0.02,-0.01,4
104/01/05,0,0,---,---,---,---,---,0
104/01/06,51000,1030,0.02,0.03,0.02,0.03,+0.01,2
104/01/07,0,0,---,---,---,---,---,0
