105/02/26,100000,103000,1.03,1.03,1.03,1.03,-0.07,1
105/03/01,0,0,---,---,---,---,---,0
105/03/02,1076000,1167680,1.03,1.15,1.03,1.05,+0.03,12
105/03/03,1036000,1082140,1.01,1.08,1.01,1.05,0.00,18
105/03/04,200000,218000,1.08,1.10,1.08,1.10,+0.05,3
105/03/07,924000,1129030,1.21,1.26,1.15,1.15,+0.05,18
105/03/08,719000,799210,1.14,1.14,1.04,1.04,-0.11,21
105/03/09,232000,262200,1.10,1.14,1.10,1.14,+0.10,3
105/03/10,482000,533660,1.10,1.14,1.09,1.10,-0.04,9
105/03/11,200000,216210,1.08,1.10,1.06,1.06,-0.04,7
105/03/14,802000,932350,1.08,1.24,1.08,1.24,+0.18,20
105/03/15,741000,895790,1.24,1.25,1.13,1.13,-0.11,22
105/03/16,15000,16170,1.12,1.12,1.04,1.06,-0.07,5
105/03/17,6000,5660,0.96,0.96,0.86,0.86,-0.20,2
105/03/18,145000,137050,0.93,0.95,0.93,0.95,+0.09,5
105/03/21,111000,100910,0.91,0.92,0.88,0.92,-0.03,4
105/03/22,68000,64300,0.95,0.95,0.93,0.93,+0.01,2
105/03/23,53000,49290,0.93,0.93,0.93,0.93,0.00,1
105/03/24,12000,8840,0.75,0.75,0.72,0.73,-0.20,3
105/03/25,125000,92750,0.76,0.76,0.73,0.74,+0.01,4
105/03/28,434000,322600,0.72,0.76,0.70,0.75,+0.01,8
105/03/29,678000,544460,0.80,0.82,0.77,0.77,+0.02,8
105/03/30,430000,342820,0.79,0.88,0.77,0.86,+0.09,9
105/03/31,57000,45650,0.82,0.82,0.75,0.75,-0.11,3
105/04/01,5000,4150,0.83,0.83,0.83,0.83,+0.08,1
105/04/06,105000,88100,0.82,0.84,0.82,0.84,+0.01,2
105/04/07,135000,107700,0.81,0.81,0.75,0.75,-0.09,5
105/04/08,176000,139040,0.79,0.79,0.79,0.79,+0.04,2
105/04/11,176000,132760,0.75,0.76,0.75,0.76,-0.03,2
105/04/12,310000,225300,0.72,0.73,0.72,0.73,-0.03,4
105/04/13,399000,262840,0.65,0.66,0.65,0.66,-0.07,4
105/04/14,1024000,784950,0.70,0.83,0.70,0.81,+0.15,18
105/04/15,1115000,888830,0.76,0.84,0.76,0.78,-0.03,20
105/04/18,210000,155100,0.73,0.75,0.71,0.71,-0.07,4
105/04/19,200000,145000,0.72,0.73,0.72,0.73,+0.02,2
105/04/20,170000,117800,0.70,0.72,0.68,0.72,-0.01,7
105/04/21,96000,63260,0.65,0.66,0.65,0.66,-0.06,3
105/04/22,10000,6100,0.61,0.61,0.61,0.61,-0.05,1
105/04/25,100000,62000,0.62,0.62,0.62,0.62,+0.01,1
105/04/26,410000,211000,0.60,0.60,0.50,0.50,-0.12,3
105/04/27,0,0,---,---,---,---,---,0
105/04/28,20000,9800,0.49,0.49,0.49,0.49,-0.03,1
105/04/29,10000,5000,0.50,0.50,0.50,0.50,+0.01,1
105/05/03,0,0,---,---,---,---,---,0
105/05/04,100000,52000,0.52,0.52,0.52,0.52,0.00,1
105/05/05,120000,58000,0.48,0.50,0.48,0.50,-0.02,2
105/05/06,30000,14800,0.50,0.50,0.48,0.48,-0.02,2
105/05/09,0,0,---,---,---,---,---,0
105/05/10,0,0,---,---,---,---,---,0
105/05/11,0,0,---,---,---,---,---,0
105/05/12,0,0,---,---,---,---,---,0
105/05/13,0,0,---,---,---,---,---,0
105/05/16,0,0,---,---,---,---,---,0
105/05/17,0,0,---,---,---,---,---,0
105/05/18,10000,5100,0.51,0.51,0.51,0.51,+0.11,1
