105/03/04,0,0,---,---,---,---,---,0
105/03/07,0,0,---,---,---,---,---,0
105/03/08,30000,39600,1.32,1.32,1.32,1.32,+0.01,1
105/03/09,97000,123910,1.27,1.29,1.27,1.29,-0.03,3
105/03/10,886000,1258220,1.38,1.48,1.34,1.43,+0.14,19
105/03/11,819000,1032790,1.28,1.28,1.24,1.24,-0.19,21
105/03/14,90000,125550,1.36,1.42,1.36,1.38,+0.14,4
105/03/15,689000,980040,1.40,1.49,1.38,1.39,+0.01,15
105/03/16,977000,1487070,1.46,1.55,1.42,1.46,+0.07,26
105/03/17,329000,481990,1.49,1.49,1.45,1.49,+0.03,11
105/03/18,409000,631190,1.43,1.60,1.43,1.60,+0.11,12
105/03/21,401000,737610,1.91,1.94,1.75,1.75,+0.15,24
105/03/22,29000,50290,1.84,1.84,1.70,1.75,0.00,5
105/03/23,146000,225660,1.67,1.67,1.48,1.48,-0.27,9
105/03/24,16000,24290,1.52,1.52,1.49,1.49,+0.01,3
105/03/25,16000,23930,1.52,1.52,1.38,1.38,-0.11,3
105/03/28,34000,43470,1.38,1.43,1.25,1.25,-0.13,6
105/03/29,10000,11700,1.17,1.17,1.17,1.17,-0.08,1
105/03/30,45000,56200,1.25,1.28,1.24,1.24,+0.07,3
105/03/31,15000,19050,1.31,1.31,1.25,1.25,+0.01,2
105/04/01,133000,168910,1.27,1.27,1.27,1.27,+0.02,3
105/04/06,149000,185460,1.24,1.29,1.24,1.29,+0.02,4
105/04/07,92000,124580,1.33,1.39,1.33,1.38,+0.09,8
105/04/08,77000,98520,1.31,1.31,1.26,1.26,-0.12,7
105/04/11,73000,90810,1.25,1.25,1.21,1.21,-0.05,3
105/04/12,50000,57560,1.20,1.20,1.05,1.05,-0.16,5
105/04/13,40000,42750,1.09,1.10,1.06,1.06,+0.01,3
105/04/14,121000,136720,1.12,1.13,1.12,1.13,+0.07,3
105/04/15,102000,105060,1.03,1.03,1.03,1.03,-0.10,2
105/04/18,151000,157090,1.05,1.05,0.97,0.97,-0.06,3
105/04/19,178000,178430,1.00,1.01,0.99,1.00,+0.03,4
105/04/20,21000,20550,0.98,0.98,0.95,0.95,-0.05,3
105/04/21,0,0,---,---,---,---,---,0
105/04/22,10000,8700,0.89,0.89,0.85,0.85,-0.03,2
105/04/25,32000,27940,0.87,0.89,0.87,0.89,+0.04,2
105/04/26,10000,9400,0.94,0.94,0.94,0.94,+0.05,1
105/04/27,10000,9400,0.94,0.94,0.94,0.94,0.00,1
105/04/28,1249000,1207270,0.94,0.99,0.94,0.98,+0.04,19
105/04/29,326000,297010,0.92,0.93,0.91,0.92,-0.06,14
105/05/03,1004000,903480,0.90,0.90,0.88,0.88,-0.04,4
105/05/04,48000,41280,0.86,0.86,0.86,0.86,-0.02,2
105/05/05,0,0,---,---,---,---,---,0
105/05/06,0,0,---,---,---,---,---,0
105/05/09,272000,224500,0.84,0.84,0.78,0.78,-0.06,6
