106/12/28,0,0,---,---,---,---,---,0
106/12/29,271000,460880,1.68,1.75,1.66,1.75,+0.02,6
107/01/02,677000,1165900,1.69,1.78,1.63,1.74,-0.01,11
107/01/03,1083000,2138240,2.01,2.08,1.92,2.00,+0.26,26
107/01/04,595000,1066740,1.83,1.83,1.66,1.73,-0.27,15
107/01/05,182000,306510,1.66,1.71,1.66,1.66,-0.07,7
107/01/08,219000,379640,1.68,1.76,1.68,1.75,+0.09,7
107/01/09,873000,1419550,1.68,1.74,1.38,1.38,-0.37,15
107/01/10,974000,1342270,1.45,1.45,1.34,1.36,-0.02,11
107/01/11,955000,1288750,1.37,1.46,1.29,1.46,+0.10,19
107/01/12,1024000,1571470,1.41,1.71,1.41,1.53,+0.07,26
107/01/15,1334000,1982290,1.49,1.54,1.42,1.45,-0.08,27
107/01/16,1283000,1828420,1.37,1.46,1.36,1.41,-0.04,18
107/01/17,1627000,2365170,1.37,1.55,1.34,1.48,+0.07,21
107/01/18,1447000,2338530,1.67,1.67,1.40,1.40,-0.08,24
107/01/19,615000,856350,1.42,1.42,1.37,1.37,-0.03,7
107/01/22,965000,1285230,1.27,1.39,1.27,1.39,+0.02,16
107/01/23,914000,1239310,1.37,1.37,1.32,1.32,-0.07,14
107/01/24,281000,329760,1.18,1.19,1.14,1.18,-0.14,7
107/01/26,1009000,1132070,1.08,1.17,1.07,1.17,-0.03,20
107/01/31,1468000,2071470,1.24,1.65,1.22,1.58,+0.25,40
107/02/01,1486000,2418980,1.64,1.65,1.49,1.50,-0.08,32
107/02/02,512000,777750,1.48,1.60,1.41,1.51,+0.01,13
107/02/05,561000,686430,1.18,1.35,1.18,1.31,-0.20,18
107/02/06,182000,185490,1.06,1.06,0.88,0.88,-0.43,13
107/02/12,10000,8500,0.85,0.85,0.85,0.85,+0.08,1
107/02/21,0,0,---,---,---,---,---,0
107/02/23,449000,700510,1.51,1.80,1.48,1.80,+0.64,17
107/02/26,524000,902110,1.70,1.76,1.60,1.60,-0.20,13
107/02/27,91000,146030,1.74,1.74,1.40,1.40,-0.20,7
107/03/01,1060000,1737480,1.46,2.00,1.42,2.00,+0.60,43
107/03/02,1663000,2888950,1.80,1.85,1.66,1.74,-0.26,51
107/03/05,809000,1559200,2.00,2.11,1.64,1.64,-0.10,37
107/03/07,383000,616220,1.60,1.71,1.57,1.59,-0.22,17
107/03/09,1762000,3052370,1.64,1.91,1.64,1.71,+0.09,36
107/03/12,1746000,3144540,1.80,1.93,1.71,1.72,+0.01,38
107/03/13,592000,1022030,1.71,1.78,1.61,1.61,-0.11,19
107/03/14,1176000,1887790,1.63,1.71,1.49,1.57,-0.04,26
107/03/15,688000,977110,1.48,1.48,1.38,1.46,-0.11,14
107/03/16,828000,1325600,1.54,1.68,1.54,1.54,+0.08,21
107/03/19,1183000,1817680,1.47,1.57,1.47,1.50,-0.04,26
107/03/20,781000,1117890,1.44,1.47,1.40,1.41,-0.09,14
107/03/21,859000,1313030,1.50,1.56,1.42,1.42,+0.01,22
107/03/22,1162000,1611200,1.42,1.42,1.29,1.30,-0.12,27
107/03/23,343000,350890,1.02,1.10,0.99,1.02,-0.28,13
107/03/26,180000,199500,1.08,1.14,1.08,1.10,+0.08,6
107/03/27,285000,342910,1.21,1.21,1.19,1.21,+0.11,8
107/03/28,268000,266620,1.03,1.03,0.92,0.95,-0.26,11
107/03/29,473000,379710,0.90,0.90,0.71,0.76,-0.19,15
107/03/30,250000,196900,0.81,0.82,0.70,0.71,-0.05,4
107/03/31,303000,226270,0.74,0.77,0.74,0.75,+0.04,5
107/04/02,304000,200640,0.65,0.69,0.65,0.69,-0.06,6
107/04/03,135000,94130,0.63,0.70,0.63,0.70,+0.01,3
107/04/09,952000,794910,0.80,0.94,0.78,0.94,+0.24,11
107/04/10,899000,774700,0.86,0.88,0.84,0.84,-0.10,6
107/04/11,50000,45700,0.95,0.95,0.86,0.86,+0.02,2
107/04/12,372000,297340,0.79,0.81,0.79,0.81,-0.05,2
107/04/13,742000,602710,0.79,0.83,0.79,0.83,+0.02,5
107/04/16,976000,898200,0.86,0.96,0.86,0.89,+0.06,17
107/04/17,746000,584920,0.81,0.81,0.76,0.76,-0.13,6
107/04/18,368000,275580,0.76,0.77,0.74,0.74,-0.02,6
107/04/20,1587000,1205170,0.69,0.80,0.69,0.74,-0.04,15
107/04/23,1388000,998740,0.77,0.79,0.64,0.65,-0.09,16
107/04/24,742000,383220,0.55,0.55,0.47,0.50,-0.15,12
107/04/25,205000,100540,0.47,0.51,0.47,0.50,0.00,3
