107/05/17,60000,39600,0.67,0.67,0.65,0.65,-0.11,2
107/05/18,30000,18300,0.61,0.61,0.61,0.61,-0.04,1
107/05/21,30000,19800,0.66,0.66,0.66,0.66,+0.05,1
107/05/22,71000,44080,0.65,0.66,0.53,0.53,-0.13,6
107/05/24,108000,57140,0.53,0.53,0.51,0.51,-0.02,2
107/05/25,734000,452680,0.56,0.66,0.56,0.65,+0.14,10
107/05/29,1351000,1016760,0.74,0.98,0.70,0.98,+0.28,24
107/05/30,1617000,1307630,0.75,1.56,0.73,1.56,+0.58,30
107/05/31,2218000,2109860,0.94,1.00,0.73,0.73,-0.83,42
107/06/04,676000,408550,0.62,0.63,0.58,0.63,-0.04,30
107/06/05,523000,281470,0.61,0.61,0.44,0.60,-0.03,29
107/06/06,985000,589320,0.60,0.74,0.57,0.74,+0.14,25
107/06/08,529000,245820,0.48,0.48,0.44,0.47,-0.06,14
107/06/12,1185000,624140,0.52,0.56,0.48,0.48,-0.02,15
107/09/07,0,0,---,---,---,---,---,0
107/09/12,0,0,---,---,---,---,---,0
107/09/13,0,0,---,---,---,---,---,0
107/09/19,0,0,---,---,---,---,---,0
107/09/20,0,0,---,---,---,---,---,0
107/09/25,1000,100,0.10,0.10,0.10,0.10,0.00,1
107/10/01,0,0,---,---,---,---,---,0
107/10/02,0,0,---,---,---,---,---,0
107/10/03,0,0,---,---,---,---,---,0
107/10/04,0,0,---,---,---,---,---,0
107/10/05,0,0,---,---,---,---,---,0
107/10/08,0,0,---,---,---,---,---,0
107/10/09,0,0,---,---,---,---,---,0
107/10/12,0,0,---,---,---,---,---,0
107/10/15,0,0,---,---,---,---,---,0
107/10/17,0,0,---,---,---,---,---,0
107/10/19,0,0,---,---,---,---,---,0
107/10/25,0,0,---,---,---,---,---,0
107/10/26,0,0,---,---,---,---,---,0
