107/05/17,156000,137000,0.89,0.89,0.79,0.79,0.00,13
107/05/18,142000,110660,0.81,0.82,0.76,0.77,-0.02,12
107/05/21,247000,202090,0.79,0.85,0.79,0.81,+0.04,16
107/05/22,146000,112460,0.79,0.79,0.76,0.76,-0.05,9
107/05/24,929000,762230,0.87,0.87,0.80,0.82,-0.06,27
107/05/25,382000,308710,0.85,0.85,0.79,0.81,-0.01,16
107/05/29,1263000,1058030,0.85,0.85,0.83,0.84,-0.05,19
107/05/30,1986000,1443080,0.78,0.78,0.67,0.72,-0.12,35
107/05/31,1823000,1357220,0.79,0.79,0.72,0.73,+0.01,19
107/06/04,672000,529460,0.78,0.80,0.77,0.79,+0.05,14
107/06/05,1337000,1119010,0.81,0.87,0.81,0.83,+0.04,25
107/06/06,908000,734360,0.81,0.81,0.78,0.78,-0.05,8
107/06/08,580000,424600,0.76,0.76,0.71,0.72,-0.09,7
107/06/12,325000,244000,0.74,0.76,0.74,0.74,-0.03,7
107/09/07,21000,8610,0.40,0.42,0.40,0.41,+0.01,3
107/09/12,0,0,---,---,---,---,---,0
107/09/13,0,0,---,---,---,---,---,0
107/09/19,215000,25800,0.12,0.12,0.12,0.12,+0.03,2
107/09/20,0,0,---,---,---,---,---,0
107/09/25,110000,12100,0.11,0.11,0.11,0.11,-0.01,2
107/10/01,0,0,---,---,---,---,---,0
107/10/02,0,0,---,---,---,---,---,0
107/10/03,10000,600,0.06,0.06,0.06,0.06,-0.01,1
107/10/04,0,0,---,---,---,---,---,0
107/10/05,0,0,---,---,---,---,---,0
107/10/08,0,0,---,---,---,---,---,0
107/10/09,0,0,---,---,---,---,---,0
107/10/12,0,0,---,---,---,---,---,0
107/10/15,0,0,---,---,---,---,---,0
