105/01/13,0,0,---,---,---,---,---,0
105/01/14,373000,524680,1.39,1.45,1.38,1.41,+0.12,12
105/01/15,18000,22260,1.24,1.24,1.22,1.24,-0.17,5
105/01/18,354000,421210,1.30,1.30,1.07,1.09,-0.15,18
105/01/19,816000,894510,1.04,1.11,1.04,1.10,+0.01,10
105/01/20,1425000,1685700,1.21,1.38,1.16,1.38,+0.28,52
105/01/21,1998000,2648670,1.38,1.40,1.27,1.34,-0.04,82
105/01/22,1671000,2303160,1.26,1.52,1.26,1.42,+0.08,68
105/01/25,1842000,2565710,1.38,1.46,1.35,1.45,+0.03,62
105/01/26,1149000,1570280,1.38,1.39,1.34,1.39,-0.06,38
105/01/27,590000,843170,1.33,1.53,1.32,1.47,+0.08,56
105/01/28,734000,993530,1.49,1.49,1.29,1.34,-0.13,68
105/01/29,670000,857050,1.28,1.33,1.23,1.32,-0.02,43
105/01/30,315000,377770,1.23,1.23,1.14,1.19,-0.13,38
105/02/01,501000,557480,1.16,1.17,1.08,1.17,-0.02,42
105/02/02,500000,595450,1.16,1.24,1.13,1.21,+0.04,33
105/02/03,317000,391850,1.20,1.27,1.20,1.27,+0.06,24
105/02/15,919000,1209420,1.32,1.33,1.29,1.31,+0.04,29
105/02/16,629000,796200,1.28,1.29,1.18,1.27,-0.04,22
105/02/17,759000,952410,1.22,1.32,1.21,1.28,+0.01,36
105/02/18,613000,723810,1.24,1.24,1.12,1.15,-0.13,45
105/02/19,158000,180210,1.12,1.16,1.12,1.15,0.00,15
105/02/22,208000,243070,1.13,1.24,1.10,1.24,+0.09,17
105/02/23,717000,866130,1.20,1.26,1.17,1.23,-0.01,41
105/02/24,954000,1092850,1.14,1.18,1.12,1.14,-0.09,38
105/02/25,648000,736770,1.11,1.18,1.10,1.18,+0.04,22
105/02/26,738000,850790,1.13,1.18,1.13,1.18,0.00,23
105/03/01,554000,603630,1.12,1.13,1.06,1.07,-0.11,22
105/03/02,500000,527220,1.05,1.08,1.04,1.06,-0.01,16
105/03/03,530000,533760,1.08,1.08,0.98,1.01,-0.05,24
105/03/04,499000,506420,0.98,1.05,0.98,1.05,+0.04,21
105/03/07,322000,332930,1.06,1.06,1.01,1.05,0.00,20
105/03/08,594000,597570,1.00,1.04,0.99,1.04,-0.01,20
105/03/09,925000,932030,0.99,1.02,0.99,1.01,-0.03,22
105/03/10,362000,351850,0.98,1.00,0.94,0.98,-0.03,11
105/03/11,1018000,897730,0.95,0.95,0.86,0.91,-0.07,29
105/03/14,1221000,1007530,0.83,0.87,0.80,0.86,-0.05,26
105/03/15,352000,308860,0.88,0.89,0.86,0.86,0.00,19
105/03/16,611000,475070,0.80,0.82,0.74,0.78,-0.08,25
105/03/17,721000,565620,0.75,0.80,0.75,0.79,+0.01,26
105/03/18,564000,430700,0.78,0.78,0.74,0.77,-0.02,16
105/03/21,141000,103860,0.75,0.76,0.73,0.74,-0.03,9
105/03/22,571000,445430,0.76,0.81,0.75,0.81,+0.07,27
105/03/23,1054000,906110,0.81,0.95,0.81,0.90,+0.09,38
105/03/24,588000,536210,0.93,1.00,0.86,0.90,0.00,21
105/03/25,249000,215840,0.84,0.90,0.84,0.90,0.00,11
105/03/28,19000,16630,0.90,0.90,0.83,0.90,0.00,4
105/03/29,760000,755450,0.90,1.02,0.90,0.96,+0.06,72
105/03/30,553000,549280,1.05,1.05,0.90,0.91,-0.05,29
105/03/31,348000,286260,0.82,0.91,0.82,0.91,0.00,9
105/04/01,197000,163710,0.83,0.92,0.82,0.90,-0.01,6
105/04/06,606000,589060,1.01,1.05,0.94,1.00,+0.10,37
105/04/07,1120000,1123130,1.02,1.02,0.98,1.00,0.00,47
105/04/08,714000,744670,1.03,1.08,1.01,1.07,+0.07,49
105/04/11,1498000,1475690,1.00,1.02,0.95,0.95,-0.12,61
105/04/12,1102000,1016150,0.91,0.95,0.88,0.93,-0.02,48
105/04/13,945000,877590,0.93,0.96,0.88,0.96,+0.03,33
105/04/14,1478000,1423430,0.92,0.99,0.92,0.98,+0.02,49
105/04/15,1607000,1622740,0.98,1.04,0.98,1.00,+0.02,63
105/04/18,606000,606780,1.00,1.05,0.97,1.00,0.00,28
105/04/19,1755000,1687100,0.97,1.00,0.90,0.91,-0.09,49
105/04/20,2513000,2177870,0.94,0.94,0.85,0.90,-0.01,69
105/04/21,598000,485560,0.87,0.87,0.79,0.84,-0.06,59
105/04/22,247000,201010,0.84,0.85,0.80,0.84,0.00,21
105/04/25,728000,492950,0.75,0.77,0.60,0.72,-0.12,63
105/04/26,158000,109750,0.72,0.72,0.66,0.72,0.00,20
105/04/27,30000,21000,0.73,0.73,0.65,0.72,0.00,4
105/04/28,212000,137340,0.70,0.70,0.62,0.64,-0.08,31
105/04/29,74000,46810,0.70,0.70,0.58,0.62,-0.02,15
105/05/03,142000,90830,0.56,0.70,0.56,0.68,+0.06,18
105/05/04,624000,395760,0.70,0.70,0.58,0.65,-0.03,39
105/05/05,490000,287000,0.64,0.65,0.57,0.58,-0.07,18
105/05/06,631000,378730,0.61,0.61,0.59,0.61,+0.03,28
105/05/09,883000,470260,0.56,0.58,0.50,0.55,-0.06,53
105/05/10,1807000,1039260,0.54,0.63,0.54,0.59,+0.04,50
105/05/11,862000,472130,0.56,0.57,0.52,0.53,-0.06,39
105/05/12,858000,481080,0.52,0.60,0.52,0.57,+0.04,21
105/05/13,1563000,889780,0.53,0.62,0.53,0.55,-0.02,41
105/05/16,1640000,779450,0.56,0.56,0.43,0.47,-0.08,50
105/05/17,2556000,1017530,0.45,0.45,0.32,0.32,-0.15,52
105/05/18,989000,305350,0.32,0.32,0.29,0.32,0.00,28
105/05/19,1409000,501470,0.34,0.37,0.34,0.37,+0.05,34
105/05/20,2041000,637900,0.34,0.38,0.27,0.27,-0.10,54
105/05/23,1499000,419650,0.27,0.31,0.27,0.27,0.00,36
105/05/24,2557000,605710,0.26,0.28,0.21,0.28,+0.01,49
105/05/25,1952000,498390,0.25,0.27,0.24,0.25,-0.03,37
105/05/26,1665000,384800,0.22,0.25,0.22,0.25,0.00,25
105/05/27,2260000,482180,0.23,0.23,0.20,0.22,-0.03,37
105/05/30,1733000,331070,0.20,0.21,0.18,0.18,-0.04,33
105/05/31,1124000,192250,0.17,0.18,0.17,0.17,-0.01,15
105/06/01,1389000,199230,0.16,0.16,0.13,0.14,-0.03,18
