107/09/07,287000,245940,0.86,0.89,0.81,0.89,+0.02,12
107/09/12,100000,58500,0.59,0.59,0.58,0.58,-0.06,2
107/09/13,50000,27000,0.54,0.54,0.54,0.54,-0.04,1
107/09/19,174000,98320,0.56,0.57,0.56,0.57,-0.01,3
107/09/20,88000,47520,0.54,0.54,0.54,0.54,-0.03,1
107/09/25,32000,18240,0.57,0.57,0.57,0.57,+0.03,2
107/10/01,200000,108000,0.54,0.54,0.54,0.54,-0.02,1
107/10/02,0,0,---,---,---,---,---,0
107/10/03,0,0,---,---,---,---,---,0
107/10/04,0,0,---,---,---,---,---,0
107/10/05,16000,6400,0.40,0.40,0.40,0.40,-0.09,1
107/10/08,0,0,---,---,---,---,---,0
107/10/09,0,0,---,---,---,---,---,0
107/10/12,0,0,---,---,---,---,---,0
107/10/15,0,0,---,---,---,---,---,0
107/10/17,0,0,---,---,---,---,---,0
107/10/19,0,0,---,---,---,---,---,0
107/10/25,0,0,---,---,---,---,---,0
