106/05/09,0,0,---,---,---,---,---,0
106/05/10,20000,14800,0.74,0.74,0.74,0.74,+0.05,1
106/05/11,576000,489790,0.81,0.93,0.81,0.88,+0.14,11
106/05/12,800000,779710,0.91,1.14,0.91,1.14,+0.26,27
106/05/15,628000,868630,1.31,1.46,1.30,1.36,+0.22,34
106/05/16,525000,747000,1.30,1.55,1.29,1.53,+0.17,25
106/05/17,386000,561960,1.45,1.56,1.35,1.49,-0.04,12
106/05/18,71000,95970,1.35,1.42,1.32,1.38,-0.11,9
106/05/19,200000,343080,1.63,1.82,1.61,1.82,+0.44,13
106/05/22,89000,166270,1.86,1.92,1.82,1.87,+0.05,8
106/05/23,142000,256180,1.87,1.87,1.77,1.80,-0.07,7
106/05/24,107000,190190,1.70,1.82,1.67,1.72,-0.08,7
106/05/25,133000,241200,1.85,1.85,1.68,1.68,-0.04,8
106/05/26,31000,52000,1.68,1.68,1.67,1.67,-0.01,3
106/05/31,253000,462220,1.81,1.87,1.81,1.81,+0.14,7
106/06/01,175000,345920,2.02,2.02,1.79,1.79,-0.02,14
106/06/02,1000,1700,1.70,1.70,1.70,1.70,-0.09,1
106/06/03,1000,1680,1.68,1.68,1.68,1.68,-0.02,1
106/06/05,4000,6850,1.69,1.72,1.69,1.72,+0.04,2
106/06/06,180000,317650,1.72,1.80,1.69,1.69,-0.03,9
106/06/07,362000,626050,1.67,1.82,1.67,1.80,+0.11,15
