104/12/09,0,0,---,---,---,---,---,0
104/12/10,2000,1600,0.80,0.80,0.80,0.80,-0.03,1
104/12/11,0,0,---,---,---,---,---,0
104/12/14,0,0,---,---,---,---,---,0
104/12/15,15000,12000,0.80,0.80,0.80,0.80,-0.03,1
104/12/16,22000,16920,0.77,0.77,0.76,0.76,-0.04,2
104/12/17,10000,6900,0.69,0.69,0.69,0.69,-0.07,1
104/12/18,10000,6800,0.68,0.68,0.68,0.68,-0.01,1
104/12/21,20000,12500,0.61,0.64,0.61,0.64,-0.04,2
104/12/22,10000,6200,0.62,0.62,0.62,0.62,-0.02,1
104/12/23,0,0,---,---,---,---,---,0
104/12/24,0,0,---,---,---,---,---,0
104/12/25,50000,36500,0.73,0.73,0.73,0.73,+0.03,1
104/12/28,105000,68900,0.68,0.68,0.65,0.66,-0.07,3
104/12/29,110000,74800,0.68,0.68,0.68,0.68,+0.02,3
104/12/30,41000,27290,0.66,0.68,0.66,0.68,0.00,5
104/12/31,102000,69370,0.68,0.69,0.68,0.69,+0.01,2
105/01/04,188000,129750,0.69,0.71,0.69,0.71,+0.02,5
105/01/05,361000,254780,0.69,0.76,0.68,0.75,+0.04,8
105/01/06,190000,153470,0.77,0.81,0.77,0.80,+0.05,5
105/01/07,716000,607580,0.79,0.91,0.78,0.89,+0.09,11
105/01/08,589000,501700,0.87,0.87,0.78,0.80,-0.09,17
105/01/11,89000,73850,0.81,0.86,0.81,0.86,+0.06,7
105/01/12,437000,404070,0.88,1.06,0.88,1.06,+0.20,14
105/01/13,404000,389990,0.99,0.99,0.94,0.95,-0.11,15
105/01/14,783000,765220,1.03,1.03,0.95,0.96,+0.01,14
105/01/15,286000,244560,0.84,0.87,0.83,0.87,-0.09,12
105/01/18,371000,303040,0.89,0.89,0.76,0.76,-0.11,12
105/01/19,385000,296630,0.77,0.78,0.77,0.78,+0.02,3
105/01/20,0,0,---,---,---,---,---,0
105/01/21,492000,411240,0.82,0.84,0.82,0.83,+0.02,7
105/01/22,348000,284600,0.81,0.87,0.81,0.87,+0.04,7
