103/12/05,0.0,0.0,--,--,--,--,0.0,0.0
103/12/08,0.0,0.0,--,--,--,--,0.0,0.0
103/12/09,0.0,0.0,--,--,--,--,0.0,0.0
103/12/10,0.0,0.0,--,--,--,--,0.0,0.0
103/12/11,0.0,0.0,--,--,--,--,0.0,0.0
103/12/12,0.0,0.0,--,--,--,--,0.0,0.0
103/12/15,0.0,0.0,--,--,--,--,0.0,0.0
103/12/16,218000.0,161320.0,0.74,0.74,0.74,0.74,X0.00,1.0
103/12/17,418000.0,298960.0,0.71,0.73,0.7,0.7,-0.04,4.0
103/12/18,200000.0,134140.0,0.71,0.71,0.62,0.62,-0.08,3.0
103/12/19,0.0,0.0,--,--,--,--,0.0,0.0
103/12/22,0.0,0.0,--,--,--,--,0.0,0.0
103/12/23,0.0,0.0,--,--,--,--,0.0,0.0
103/12/24,0.0,0.0,--,--,--,--,0.0,0.0
103/12/25,0.0,0.0,--,--,--,--,0.0,0.0
103/12/26,0.0,0.0,--,--,--,--,0.0,0.0
103/12/27,109000.0,80670.0,0.75,0.75,0.73,0.74,X0.00,3.0
103/12/29,109000.0,86020.0,0.79,0.79,0.78,0.78,0.04,2.0
103/12/30,0.0,0.0,--,--,--,--,0.0,0.0
103/12/31,0.0,0.0,--,--,--,--,0.0,0.0
104/01/05,0.0,0.0,--,--,--,--,0.0,0.0
104/01/06,672000.0,515360.0,0.7,0.79,0.7,0.79,X0.00,11.0
104/01/07,872000.0,716430.0,0.83,0.85,0.79,0.79,0.0,24.0
104/01/08,200000.0,158000.0,0.8,0.8,0.78,0.78,-0.01,2.0
104/01/09,0.0,0.0,--,--,--,--,0.0,0.0
104/01/12,23000.0,17700.0,0.78,0.78,0.7,0.7,X0.00,2.0
104/01/13,23000.0,18320.0,0.8,0.8,0.79,0.79,0.09,2.0
104/01/14,30000.0,23200.0,0.79,0.79,0.76,0.77,-0.02,3.0
104/01/15,1130000.0,1021310.0,0.81,0.96,0.81,0.95,0.18,29.0
104/01/16,1247000.0,1150650.0,0.95,0.95,0.83,0.83,-0.12,36.0
104/01/19,115000.0,100450.0,0.89,0.89,0.81,0.81,-0.02,4.0
104/01/20,748000.0,654070.0,0.79,0.91,0.79,0.89,0.08,15.0
104/01/21,695000.0,619450.0,0.9,0.93,0.86,0.93,0.04,9.0
104/01/22,39000.0,34460.0,0.89,0.89,0.88,0.88,-0.05,3.0
104/01/23,862000.0,785360.0,0.87,0.94,0.86,0.86,-0.02,17.0
104/01/26,491000.0,436630.0,0.88,0.91,0.87,0.9,0.04,10.0
104/01/27,89000.0,75310.0,0.89,0.89,0.83,0.83,-0.07,2.0
104/01/28,307000.0,242550.0,0.79,0.8,0.79,0.8,-0.03,6.0
104/01/29,50000.0,39500.0,0.79,0.79,0.79,0.79,-0.01,1.0
104/01/30,81000.0,58820.0,0.73,0.73,0.72,0.72,-0.07,3.0
104/02/02,0.0,0.0,--,--,--,--,0.0,0.0
104/02/03,253000.0,172470.0,0.64,0.69,0.64,0.69,X0.00,4.0
104/02/04,1016000.0,712110.0,0.67,0.77,0.67,0.72,0.03,40.0
104/02/05,765000.0,526020.0,0.71,0.72,0.66,0.66,-0.06,26.0
104/02/06,42000.0,28980.0,0.69,0.69,0.69,0.69,0.03,1.0
104/02/09,0.0,0.0,--,--,--,--,0.0,0.0
104/02/10,500000.0,340050.0,0.68,0.7,0.64,0.69,X0.00,11.0
104/02/11,496000.0,333260.0,0.69,0.69,0.65,0.65,-0.04,10.0
104/02/12,0.0,0.0,--,--,--,--,0.0,0.0
104/02/13,0.0,0.0,--,--,--,--,0.0,0.0
104/02/24,121000.0,87300.0,0.7,0.73,0.7,0.73,X0.00,4.0
104/02/25,257000.0,186850.0,0.74,0.75,0.71,0.72,-0.01,13.0
104/02/26,140000.0,103340.0,0.73,0.74,0.73,0.73,0.01,4.0
104/03/02,519000.0,464920.0,0.84,0.94,0.84,0.94,0.21,17.0
104/03/03,427000.0,390210.0,0.95,0.97,0.86,0.89,-0.05,14.0
104/03/04,583000.0,505010.0,0.82,0.94,0.8,0.94,0.05,21.0
104/03/05,482000.0,405310.0,0.85,0.85,0.82,0.83,-0.11,13.0
104/03/06,618000.0,544720.0,0.8,0.91,0.8,0.91,0.08,15.0
104/03/09,458000.0,417320.0,0.92,0.92,0.87,0.92,0.01,17.0
104/03/10,437000.0,393160.0,0.93,0.93,0.82,0.82,-0.1,19.0
104/03/11,21000.0,15640.0,0.74,0.77,0.74,0.77,-0.05,4.0
104/03/12,687000.0,413510.0,0.55,0.64,0.55,0.59,-0.18,19.0
