104/12/23,0,0,---,---,---,---,---,0
104/12/24,49000,70070,1.43,1.43,1.43,1.43,+0.03,1
104/12/25,49000,69580,1.42,1.42,1.42,1.42,-0.01,1
104/12/28,0,0,---,---,---,---,---,0
104/12/29,48000,69600,1.45,1.45,1.45,1.45,+0.02,2
104/12/30,48000,67680,1.41,1.41,1.41,1.41,-0.04,2
104/12/31,0,0,---,---,---,---,---,0
105/01/04,0,0,---,---,---,---,---,0
105/01/05,0,0,---,---,---,---,---,0
105/01/06,92000,120010,1.28,1.33,1.28,1.33,+0.05,2
105/01/07,285000,395660,1.37,1.46,1.37,1.46,+0.13,5
105/01/08,220000,321870,1.51,1.51,1.46,1.47,+0.01,4
105/01/11,582000,921670,1.51,1.63,1.51,1.61,+0.14,19
105/01/12,1511000,2641740,1.61,2.10,1.57,1.98,+0.37,28
105/01/13,2045000,3910330,1.93,1.94,1.87,1.87,-0.11,40
105/01/14,1102000,2207210,1.99,2.02,1.95,1.98,+0.11,17
105/01/15,258000,472400,1.87,1.89,1.81,1.89,-0.09,7
105/01/18,515000,945450,1.83,1.85,1.83,1.83,-0.06,4
105/01/19,10000,16400,1.64,1.64,1.64,1.64,-0.19,1
105/01/20,715000,1238050,1.70,1.80,1.70,1.80,+0.16,15
105/01/21,939000,1665090,1.72,1.83,1.72,1.83,+0.03,18
105/01/22,122000,216410,1.79,1.79,1.74,1.76,-0.07,10
105/01/25,198000,307660,1.57,1.58,1.46,1.46,-0.30,7
105/01/26,40000,61900,1.55,1.58,1.51,1.51,+0.05,3
105/01/27,210000,300300,1.43,1.43,1.43,1.43,-0.08,1
105/01/28,265000,378500,1.46,1.46,1.42,1.42,-0.01,2
105/01/29,65000,93660,1.44,1.46,1.43,1.46,+0.04,3
105/01/30,42000,60060,1.43,1.43,1.43,1.43,-0.03,1
105/02/01,62000,87800,1.40,1.45,1.40,1.45,+0.02,2
105/02/02,0,0,---,---,---,---,---,0
105/02/03,20000,30600,1.53,1.53,1.53,1.53,+0.10,1
105/02/15,2000,3140,1.57,1.57,1.57,1.57,+0.04,1
105/02/16,136000,219100,1.61,1.63,1.61,1.62,+0.05,4
105/02/17,174000,265590,1.51,1.54,1.51,1.53,-0.09,3
105/02/18,35000,50320,1.48,1.48,1.39,1.42,-0.11,4
105/02/19,387000,577960,1.49,1.51,1.48,1.51,+0.09,5
105/02/22,397000,616090,1.57,1.57,1.54,1.55,+0.04,6
105/02/23,3218000,5212690,1.57,1.69,1.57,1.68,+0.13,30
105/02/24,3070000,5272040,1.63,2.01,1.61,2.01,+0.33,72
105/02/25,1699000,3278880,2.00,2.00,1.84,1.98,-0.03,45
105/02/26,2151000,3978170,1.78,1.94,1.78,1.83,-0.15,32
105/03/01,126000,222240,1.77,1.77,1.69,1.71,-0.12,4
105/03/02,134000,227040,1.62,1.73,1.62,1.70,-0.01,9
105/03/03,248000,436580,1.72,1.83,1.72,1.82,+0.12,10
105/03/04,95000,167600,1.76,1.79,1.76,1.79,-0.03,5
105/03/07,493000,870360,1.72,1.78,1.72,1.77,-0.02,9
105/03/08,531000,918610,1.72,1.75,1.71,1.73,-0.04,9
105/03/09,117000,202980,1.72,1.74,1.72,1.74,+0.01,4
105/03/10,396000,687260,1.68,1.74,1.68,1.74,0.00,4
105/03/11,329000,549430,1.67,1.67,1.67,1.67,-0.07,4
105/03/14,36000,58260,1.62,1.62,1.61,1.61,-0.06,2
105/03/15,134000,228180,1.65,1.72,1.65,1.72,+0.11,6
105/03/16,413000,715260,1.68,1.75,1.68,1.75,+0.03,7
105/03/17,262000,447770,1.68,1.72,1.68,1.72,-0.03,7
105/03/18,453000,762230,1.68,1.69,1.67,1.67,-0.05,6
105/03/21,410000,647480,1.56,1.61,1.54,1.54,-0.13,7
105/03/22,126000,198060,1.52,1.58,1.52,1.58,+0.04,3
105/03/23,108000,166320,1.54,1.54,1.54,1.54,-0.04,2
105/03/24,30000,44400,1.49,1.49,1.47,1.48,-0.06,3
105/03/25,40000,64660,1.62,1.62,1.61,1.62,+0.14,3
105/03/28,532000,902400,1.60,1.81,1.59,1.76,+0.14,20
105/03/29,876000,1541110,1.71,1.83,1.71,1.81,+0.05,26
105/03/30,337000,581030,1.75,1.82,1.71,1.82,+0.01,10
105/03/31,13000,22620,1.74,1.74,1.74,1.74,-0.08,3
105/04/01,4000,6840,1.71,1.71,1.71,1.71,-0.03,1
