102/05/08,249000,235580,0.92,0.97,0.92,0.97,+0.03,6
102/05/09,391000,399680,0.98,1.06,0.98,1.05,+0.08,11
102/05/10,523000,535690,1.01,1.05,1.00,1.03,-0.02,12
102/05/13,256000,245620,0.93,0.97,0.93,0.97,-0.06,8
102/05/14,595000,588720,0.90,1.01,0.90,1.01,+0.04,17
102/05/15,436000,418530,0.99,1.00,0.91,0.93,-0.08,20
102/05/16,363000,315810,0.90,0.90,0.78,0.82,-0.11,11
102/05/17,85000,68850,0.81,0.83,0.79,0.83,+0.01,4
102/05/20,0,0,---,---,---,---,---,0
102/05/21,456000,384730,0.82,0.86,0.82,0.85,+0.05,6
102/05/22,273000,228580,0.85,0.85,0.82,0.83,-0.02,4
102/05/23,20000,17000,0.85,0.85,0.85,0.85,+0.02,1
102/05/24,159000,137340,0.84,0.90,0.84,0.90,+0.05,3
102/05/27,124000,107630,0.87,0.87,0.86,0.86,-0.04,3
102/05/28,40000,34800,0.87,0.87,0.87,0.87,+0.01,1
102/05/29,0,0,---,---,---,---,---,0
102/05/30,0,0,---,---,---,---,---,0
102/05/31,25000,17400,0.71,0.71,0.67,0.67,-0.12,4
102/06/03,80000,42700,0.59,0.59,0.50,0.51,-0.16,8
102/06/04,69000,33580,0.51,0.53,0.46,0.53,+0.02,9
102/06/05,12000,5810,0.48,0.49,0.48,0.48,-0.05,3
102/06/06,167000,74640,0.48,0.48,0.41,0.42,-0.06,8
102/06/07,459000,223880,0.42,0.53,0.42,0.50,+0.08,22
102/06/10,505000,244000,0.49,0.50,0.44,0.44,-0.06,16
102/06/11,340000,144700,0.42,0.46,0.42,0.46,+0.02,8
102/06/13,224000,111560,0.47,0.54,0.47,0.54,+0.08,13
102/06/14,250000,128100,0.51,0.56,0.50,0.50,-0.04,10
102/06/17,151000,62180,0.44,0.44,0.39,0.39,-0.11,8
102/06/18,50000,18700,0.36,0.38,0.36,0.38,-0.01,3
102/06/19,191000,65080,0.35,0.38,0.32,0.38,0.00,11
102/06/20,286000,108780,0.39,0.39,0.37,0.37,-0.01,9
102/06/21,738000,286420,0.41,0.41,0.37,0.37,0.00,17
102/06/24,513000,183680,0.35,0.37,0.34,0.37,0.00,10
102/06/25,1166000,522100,0.42,0.48,0.42,0.46,+0.09,31
102/06/26,1003000,458570,0.43,0.51,0.40,0.48,+0.02,24
102/06/27,895000,370530,0.48,0.48,0.38,0.38,-0.10,19
102/06/28,742000,281260,0.38,0.39,0.37,0.39,+0.01,18
102/07/01,1053000,366390,0.36,0.36,0.32,0.35,-0.04,21
102/07/02,689000,238560,0.34,0.35,0.34,0.35,0.00,12
102/07/03,414000,143700,0.34,0.35,0.34,0.35,0.00,8
102/07/04,1000000,424200,0.35,0.46,0.35,0.45,+0.10,23
102/07/05,1157000,488060,0.42,0.45,0.41,0.43,-0.02,28
102/07/08,1167000,517070,0.40,0.47,0.40,0.47,+0.04,44
102/07/09,1045000,442150,0.42,0.50,0.40,0.50,+0.03,34
102/07/10,1451000,785660,0.50,0.58,0.50,0.55,+0.05,39
102/07/11,1003000,502320,0.52,0.55,0.48,0.49,-0.06,31
102/07/12,622000,243700,0.43,0.43,0.36,0.39,-0.10,16
102/07/15,309000,116220,0.37,0.38,0.37,0.37,-0.02,7
102/07/16,301000,102850,0.35,0.35,0.32,0.32,-0.05,8
102/07/17,431000,138640,0.30,0.34,0.30,0.34,+0.02,15
102/07/18,1018000,365920,0.35,0.37,0.35,0.36,+0.02,18
102/07/19,722000,253560,0.37,0.39,0.33,0.36,0.00,20
102/07/22,225000,74940,0.33,0.34,0.32,0.34,-0.02,8
102/07/23,378000,136400,0.32,0.39,0.32,0.39,+0.05,11
102/07/24,742000,256220,0.37,0.39,0.28,0.29,-0.10,16
102/07/25,1067000,381960,0.34,0.37,0.32,0.36,+0.07,20
102/07/26,959000,328630,0.35,0.36,0.32,0.35,-0.01,23
102/07/29,3346000,1409970,0.36,0.47,0.36,0.47,+0.12,94
102/07/30,3219000,1413500,0.46,0.46,0.42,0.44,-0.03,78
102/07/31,2390000,1150780,0.44,0.58,0.44,0.49,+0.05,72
102/08/01,2196000,1006950,0.47,0.49,0.43,0.45,-0.04,48
102/08/02,1990000,816770,0.43,0.43,0.39,0.41,-0.04,36
102/08/05,1663000,560100,0.39,0.39,0.23,0.23,-0.18,37
102/08/06,615000,85650,0.14,0.15,0.13,0.14,-0.09,16
102/08/07,338000,43380,0.15,0.15,0.11,0.13,-0.01,10
102/08/08,1081000,158470,0.15,0.16,0.13,0.16,+0.03,53
102/08/09,1336000,176610,0.13,0.15,0.12,0.15,-0.01,25
102/08/12,705000,94240,0.12,0.14,0.12,0.13,-0.02,13
102/08/13,2360000,272800,0.12,0.13,0.11,0.12,-0.01,34
102/08/14,509000,46300,0.09,0.11,0.07,0.11,-0.01,17
102/08/15,560000,57260,0.11,0.11,0.10,0.11,0.00,11
102/08/16,239000,23910,0.10,0.11,0.10,0.10,-0.01,6
102/08/19,31000,2510,0.08,0.11,0.08,0.11,+0.01,3
102/08/20,358000,39390,0.11,0.12,0.11,0.12,+0.01,5
102/08/22,86000,9880,0.13,0.13,0.11,0.12,0.00,6
102/08/23,10000,1110,0.11,0.12,0.11,0.12,0.00,2
102/08/26,38000,3450,0.08,0.11,0.08,0.11,-0.01,3
102/08/27,130000,15600,0.12,0.12,0.12,0.12,+0.01,4
102/08/28,997000,126010,0.12,0.14,0.12,0.13,+0.01,15
102/08/29,300000,27080,0.12,0.12,0.09,0.12,-0.01,8
102/08/30,234000,23420,0.10,0.12,0.10,0.12,0.00,4
