100/11/14,0,0,----,----,----,---,---,0
100/11/15,0,0,---,---,---,---,---,0
100/11/16,0,0,---,---,---,---,---,0
100/11/17,0,0,---,---,---,---,---,0
100/11/18,0,0,---,---,---,---,---,0
100/11/21,0,0,---,---,---,---,---,0
100/11/22,0,0,---,---,---,---,---,0
100/11/23,0,0,---,---,---,---,---,0
100/11/24,0,0,---,---,---,---,---,0
100/11/25,0,0,---,---,---,---,---,0
100/11/28,0,0,---,---,---,---,---,0
100/11/29,0,0,---,---,---,---,---,0
100/11/30,0,0,---,---,---,---,---,0
100/12/01,0,0,---,---,---,---,---,0
100/12/02,0,0,---,---,---,---,---,0
100/12/05,0,0,---,---,---,---,---,0
100/12/06,0,0,---,---,---,---,---,0
100/12/07,0,0,---,---,---,---,---,0
100/12/08,0,0,---,---,---,---,---,0
100/12/09,0,0,---,---,---,---,---,0
100/12/12,155000,83700,0.54,0.54,0.54,0.54,+0.02,2
100/12/13,155000,89900,0.58,0.58,0.58,0.58,+0.04,155
100/12/14,158000,104270,0.66,0.66,0.65,0.65,+0.07,3
100/12/15,0,0,---,---,---,---,---,0
100/12/16,0,0,---,---,---,---,---,0
100/12/19,158000,84140,0.54,0.54,0.52,0.52,-0.07,2
100/12/20,0,0,---,---,---,---,---,0
100/12/21,0,0,---,---,---,---,---,0
100/12/22,0,0,---,---,---,---,---,0
100/12/23,0,0,---,---,---,---,---,0
100/12/26,0,0,---,---,---,---,---,0
100/12/27,0,0,---,---,---,---,---,0
100/12/28,0,0,---,---,---,---,---,0
100/12/29,0,0,---,---,---,---,---,0
100/12/30,0,0,---,---,---,---,---,0
101/01/02,0,0,---,---,---,---,---,0
101/01/03,0,0,---,---,---,---,---,0
101/01/04,140000,56700,0.39,0.44,0.39,0.44,+0.08,3
101/01/05,70000,32000,0.47,0.47,0.43,0.43,-0.01,3
101/01/06,100000,42000,0.40,0.44,0.40,0.44,+0.01,2
101/01/09,0,0,---,---,---,---,---,0
101/01/10,0,0,---,---,---,---,---,0
101/01/11,80000,34400,0.43,0.43,0.43,0.43,+0.02,1
101/01/12,20000,8200,0.41,0.41,0.41,0.41,-0.02,2
101/01/13,99000,40590,0.41,0.41,0.41,0.41,0.00,1
101/01/16,20000,7600,0.38,0.38,0.38,0.38,-0.03,1
101/01/17,249000,111570,0.43,0.47,0.43,0.47,+0.09,5
101/01/18,120000,61800,0.52,0.52,0.51,0.51,+0.04,4
101/01/30,0,0,---,---,---,---,---,0
101/01/31,10000,5300,0.56,0.56,0.50,0.50,-0.05,2
101/02/01,20000,11800,0.59,0.60,0.57,0.57,+0.07,4
101/02/02,20000,10150,0.51,0.51,0.50,0.51,-0.06,3
101/02/03,30000,18740,0.58,0.68,0.58,0.62,+0.11,7
101/02/04,35000,23770,0.63,0.78,0.63,0.78,+0.16,5
101/02/06,216000,183180,0.85,0.88,0.80,0.88,+0.10,7
101/02/07,266000,234820,0.90,0.90,0.81,0.81,-0.07,11
101/02/08,520000,445400,0.84,0.98,0.82,0.91,+0.10,14
101/02/09,15000,14200,0.93,0.98,0.93,0.98,+0.07,2
101/02/10,90000,74800,0.83,0.85,0.83,0.85,-0.13,2
101/02/13,141000,133630,0.89,0.97,0.89,0.94,+0.09,10
101/02/14,101000,91840,0.94,0.94,0.88,0.88,-0.06,6
101/02/15,455000,423650,0.91,0.97,0.88,0.93,+0.05,21
101/02/16,898000,924810,0.94,1.11,0.90,0.90,-0.03,30
101/02/17,403000,429740,1.08,1.08,0.95,0.95,+0.05,12
101/02/20,70000,74500,1.02,1.27,1.01,1.27,+0.32,8
101/02/21,109000,117610,1.10,1.10,1.07,1.08,-0.19,8
101/02/22,0,0,---,---,---,---,---,0
101/02/23,4000,3940,0.99,0.99,0.97,0.97,-0.08,2
101/02/24,2000,1880,0.94,0.94,0.94,0.94,-0.03,1
101/02/29,13000,11840,0.92,0.92,0.88,0.88,-0.06,2
101/03/01,30000,29200,0.97,0.98,0.97,0.97,+0.09,3
101/03/02,20000,20300,1.01,1.02,1.01,1.02,+0.05,2
101/03/03,0,0,---,---,---,---,---,0
101/03/05,20000,19000,0.95,0.95,0.95,0.95,+0.03,1
101/03/06,121000,78640,0.65,0.65,0.64,0.64,-0.31,3
101/03/07,161000,92020,0.55,0.60,0.55,0.60,-0.04,5
101/03/08,596000,369310,0.62,0.62,0.60,0.60,0.00,10
101/03/09,705000,453340,0.62,0.69,0.62,0.67,+0.07,12
101/03/12,180000,102000,0.59,0.60,0.53,0.54,-0.13,8
101/03/13,10000,4900,0.49,0.49,0.49,0.49,-0.05,1
101/03/14,102000,55820,0.46,0.55,0.46,0.54,+0.05,5
101/03/15,52000,26520,0.51,0.51,0.51,0.51,-0.03,3
101/03/16,20000,11600,0.58,0.58,0.58,0.58,+0.07,1
101/03/19,0,0,---,---,---,---,---,0
101/03/20,0,0,---,---,---,---,---,0
101/03/21,10000,4400,0.44,0.44,0.44,0.44,-0.02,1
101/03/22,20000,9500,0.48,0.48,0.47,0.47,+0.03,2
101/03/23,20000,10400,0.52,0.52,0.52,0.52,+0.05,1
101/03/26,0,0,---,---,---,---,---,0
101/03/27,50000,20500,0.41,0.41,0.41,0.41,-0.08,1
101/03/28,10000,3800,0.38,0.38,0.38,0.38,-0.03,1
101/03/29,5000,1400,0.28,0.28,0.28,0.28,-0.10,1
101/03/30,5000,1500,0.30,0.30,0.30,0.30,+0.02,1
101/04/02,0,0,---,---,---,---,---,0
101/04/03,0,0,---,---,---,---,---,0
101/04/05,0,0,---,---,---,---,---,0
101/04/06,10000,2200,0.22,0.22,0.22,0.22,+0.02,1
101/04/09,0,0,---,---,---,---,---,0
101/04/10,0,0,---,---,---,---,---,0
101/04/11,0,0,---,---,---,---,---,0
101/04/12,0,0,---,---,---,---,---,0
101/04/13,0,0,---,---,---,---,---,0
101/04/16,0,0,---,---,---,---,---,0
101/04/17,0,0,---,---,---,---,---,0
101/04/18,0,0,---,---,---,---,---,0
101/04/19,0,0,---,---,---,---,---,0
101/04/20,0,0,---,---,---,---,---,0
101/04/23,0,0,---,---,---,---,---,0
101/04/24,0,0,---,---,---,---,---,0
101/04/25,0,0,---,---,---,---,---,0
101/04/26,0,0,---,---,---,---,---,0
101/04/27,0,0,---,---,---,---,---,0
101/04/30,0,0,---,---,---,---,---,0
101/05/02,0,0,---,---,---,---,---,0
101/05/03,0,0,---,---,---,---,---,0
101/05/04,35000,1050,0.03,0.03,0.03,0.03,-0.07,1
101/05/07,0,0,---,---,---,---,---,0
101/05/08,0,0,---,---,---,---,---,0
101/05/09,0,0,---,---,---,---,---,0
101/05/10,0,0,---,---,---,---,---,0
