106/04/24,0,0,---,---,---,---,---,0
106/04/25,0,0,---,---,---,---,---,0
106/04/26,5000,9200,1.84,1.84,1.84,1.84,-0.08,1
106/04/27,55000,89080,1.68,1.68,1.59,1.60,-0.24,8
106/04/28,286000,453340,1.57,1.63,1.55,1.63,+0.03,6
106/05/02,1058000,1790400,1.60,1.71,1.60,1.68,+0.05,13
106/05/03,1347000,2132450,1.60,1.60,1.55,1.60,-0.08,11
106/05/04,198000,314040,1.58,1.60,1.58,1.59,-0.01,7
106/05/05,277000,450640,1.58,1.64,1.57,1.64,+0.05,6
106/05/08,236000,371920,1.26,1.59,1.26,1.59,-0.05,4
106/05/09,2835000,4815940,1.62,1.82,1.62,1.78,+0.19,33
106/05/10,4205000,7187420,1.71,1.72,1.68,1.69,-0.09,38
106/05/11,997000,1671240,1.69,1.70,1.65,1.67,-0.02,16
106/05/12,2799000,4694510,1.74,1.81,1.58,1.80,+0.13,42
106/05/15,955000,1688280,1.82,1.84,1.64,1.66,-0.14,27
106/05/16,761000,1323120,1.66,1.76,1.66,1.73,+0.07,37
106/05/17,410000,695000,1.69,1.74,1.66,1.68,-0.05,19
106/05/18,194000,327440,1.73,1.73,1.66,1.69,+0.01,13
106/05/19,136000,224110,1.64,1.67,1.64,1.67,-0.02,13
106/05/22,696000,1088350,1.62,1.64,1.51,1.58,-0.09,20
106/05/23,145000,223800,1.56,1.56,1.53,1.54,-0.04,8
106/05/24,214000,332300,1.55,1.56,1.55,1.56,+0.02,5
106/05/25,556000,825880,1.50,1.50,1.46,1.49,-0.07,9
106/05/26,373000,564770,1.49,1.53,1.49,1.53,+0.04,7
106/05/31,405000,615280,1.50,1.53,1.50,1.53,0.00,5
106/06/01,50000,72600,1.45,1.46,1.45,1.46,-0.07,3
106/06/02,183000,264530,1.49,1.49,1.40,1.40,-0.06,8
106/06/03,478000,587420,1.35,1.35,1.15,1.19,-0.21,30
106/06/05,245000,277550,1.17,1.17,1.07,1.16,-0.03,11
106/06/06,271000,324410,1.18,1.21,1.17,1.19,+0.03,10
106/06/07,288000,320800,1.19,1.19,1.09,1.10,-0.09,14
106/06/08,312000,344710,1.09,1.11,1.09,1.11,+0.01,6
106/06/09,1179000,1267270,1.07,1.09,1.05,1.09,-0.02,14
106/06/12,707000,778320,0.77,1.13,0.77,1.13,+0.04,7
106/06/21,0,0,---,---,---,---,---,0
