105/11/03,40000,38050,0.94,0.96,0.94,0.95,-0.14,3
105/11/04,15000,14100,0.94,0.94,0.94,0.94,-0.01,2
105/11/07,80000,68200,0.89,0.89,0.84,0.84,-0.10,4
105/11/08,182000,146920,0.79,0.82,0.79,0.82,-0.02,6
105/11/09,373000,301840,0.78,0.84,0.78,0.84,+0.02,6
105/11/10,192000,155530,0.81,0.82,0.81,0.82,-0.02,2
105/11/11,964000,763130,0.78,0.80,0.77,0.79,-0.03,10
105/11/14,1205000,878520,0.75,0.75,0.72,0.72,-0.07,14
105/11/15,955000,683000,0.73,0.73,0.70,0.72,0.00,9
105/11/16,1456000,1014130,0.69,0.73,0.68,0.73,+0.01,11
105/11/17,1118000,830280,0.73,0.75,0.72,0.72,-0.01,20
105/11/18,1247000,867140,0.72,0.72,0.68,0.70,-0.02,19
105/11/21,513000,354070,0.69,0.70,0.69,0.70,0.00,6
105/11/22,903000,613150,0.65,0.69,0.65,0.69,-0.01,7
105/11/23,934000,643500,0.68,0.70,0.68,0.70,+0.01,10
105/11/24,456000,315640,0.69,0.70,0.69,0.69,-0.01,6
105/11/25,302000,205500,0.68,0.69,0.68,0.68,-0.01,5
105/11/28,404000,255640,0.66,0.66,0.63,0.64,-0.04,13
105/11/29,99000,64330,0.65,0.65,0.64,0.64,0.00,2
105/11/30,203000,123830,0.61,0.61,0.61,0.61,-0.03,3
105/12/01,161000,107240,0.63,0.69,0.63,0.69,+0.08,5
105/12/02,443000,317620,0.70,0.73,0.69,0.73,+0.04,21
105/12/05,781000,577960,0.71,0.76,0.71,0.75,+0.02,13
105/12/06,1231000,833070,0.70,0.70,0.66,0.67,-0.08,21
105/12/07,50000,33300,0.68,0.68,0.66,0.67,0.00,3
105/12/08,397000,256230,0.64,0.67,0.64,0.67,0.00,9
105/12/09,583000,377400,0.64,0.66,0.64,0.64,-0.03,10
105/12/12,70000,44600,0.64,0.64,0.63,0.63,-0.01,3
105/12/13,0,0,---,---,---,---,---,0
105/12/14,155000,95100,0.61,0.62,0.61,0.62,-0.01,5
105/12/15,305000,186050,0.61,0.62,0.60,0.61,-0.01,6
105/12/16,453000,261570,0.59,0.59,0.57,0.57,-0.04,8
105/12/19,421000,238570,0.57,0.57,0.55,0.55,-0.02,8
105/12/20,979000,541610,0.51,0.60,0.51,0.58,+0.03,15
105/12/21,1079000,631030,0.58,0.60,0.57,0.58,0.00,16
105/12/22,491000,287310,0.58,0.60,0.58,0.59,+0.01,8
105/12/23,220000,125900,0.60,0.60,0.56,0.56,-0.03,12
105/12/26,269000,149250,0.56,0.56,0.55,0.55,-0.01,6
105/12/27,250000,135500,0.55,0.55,0.54,0.54,-0.01,3
105/12/28,300000,159000,0.53,0.53,0.53,0.53,-0.01,3
105/12/29,250000,140000,0.56,0.56,0.56,0.56,+0.03,1
105/12/30,100000,53300,0.53,0.54,0.53,0.53,-0.03,8
106/01/03,515000,251500,0.53,0.53,0.47,0.48,-0.05,15
106/01/04,150000,74320,0.48,0.51,0.48,0.51,+0.03,11
106/01/05,184000,92560,0.50,0.51,0.50,0.50,-0.01,4
106/01/06,204000,98050,0.49,0.49,0.47,0.48,-0.02,11
106/01/09,145000,68450,0.47,0.48,0.47,0.47,-0.01,4
106/01/10,105000,53550,0.51,0.51,0.51,0.51,+0.04,2
106/01/11,621000,317260,0.50,0.53,0.50,0.53,+0.02,12
106/01/12,928000,455940,0.51,0.51,0.47,0.49,-0.04,12
106/01/13,308000,154000,0.50,0.50,0.50,0.50,+0.01,3
106/01/16,590000,304780,0.51,0.53,0.51,0.51,+0.01,4
106/01/17,390000,195000,0.50,0.50,0.50,0.50,-0.01,2
106/01/18,420000,213600,0.48,0.51,0.48,0.51,+0.01,4
106/01/19,448000,232360,0.48,0.52,0.48,0.52,+0.01,5
106/01/20,930000,496340,0.51,0.54,0.51,0.53,+0.01,6
106/01/23,214000,119840,0.56,0.56,0.56,0.56,+0.03,2
106/01/24,214000,113420,0.53,0.53,0.53,0.53,-0.03,1
106/02/02,0,0,---,---,---,---,---,0
106/02/03,153000,72880,0.48,0.48,0.46,0.46,-0.05,3
106/02/06,485000,166400,0.38,0.38,0.32,0.32,-0.14,8
106/02/07,225000,68900,0.30,0.32,0.30,0.32,0.00,4
106/02/08,479000,133150,0.29,0.29,0.24,0.25,-0.07,9
106/02/09,0,0,---,---,---,---,---,0
106/02/10,365000,76250,0.21,0.23,0.20,0.23,-0.01,6
106/02/13,554000,118920,0.21,0.23,0.21,0.22,-0.01,6
106/02/14,505000,111650,0.22,0.23,0.22,0.23,+0.01,5
106/02/15,400000,80000,0.20,0.20,0.20,0.20,-0.03,1
106/02/16,308000,67390,0.21,0.23,0.21,0.23,+0.03,5
106/02/17,338000,80440,0.22,0.26,0.22,0.26,+0.03,4
106/02/18,600000,152000,0.26,0.26,0.25,0.25,-0.01,3
106/02/20,649000,144750,0.20,0.25,0.20,0.25,0.00,8
106/02/21,1209000,290160,0.24,0.24,0.24,0.24,-0.01,7
106/02/22,10000,2100,0.21,0.21,0.21,0.21,-0.03,2
106/02/23,0,0,---,---,---,---,---,0
106/02/24,10000,1900,0.19,0.19,0.19,0.19,-0.01,1
106/03/01,155000,28900,0.18,0.19,0.18,0.19,0.00,2
106/03/02,155000,29900,0.18,0.20,0.18,0.20,+0.01,2
106/03/03,0,0,---,---,---,---,---,0
106/03/06,0,0,---,---,---,---,---,0
106/03/07,120000,20400,0.17,0.17,0.17,0.17,-0.01,2
106/03/08,472000,84960,0.18,0.18,0.18,0.18,+0.01,5
106/03/09,0,0,---,---,---,---,---,0
106/03/10,0,0,---,---,---,---,---,0
106/03/13,0,0,---,---,---,---,---,0
106/03/14,20000,3000,0.15,0.15,0.15,0.15,0.00,2
106/03/15,0,0,---,---,---,---,---,0
106/03/16,0,0,---,---,---,---,---,0
106/03/17,0,0,---,---,---,---,---,0
106/03/20,0,0,---,---,---,---,---,0
106/03/21,0,0,---,---,---,---,---,0
106/03/22,0,0,---,---,---,---,---,0
106/03/23,0,0,---,---,---,---,---,0
106/03/24,0,0,---,---,---,---,---,0
106/03/27,0,0,---,---,---,---,---,0
106/03/28,0,0,---,---,---,---,---,0
106/03/29,0,0,---,---,---,---,---,0
