107/01/31,215000,209790,0.97,1.02,0.94,0.94,0.00,4
107/02/01,215000,208050,0.96,0.97,0.95,0.95,+0.01,4
107/02/02,0,0,---,---,---,---,---,0
107/02/05,0,0,---,---,---,---,---,0
107/02/06,0,0,---,---,---,---,---,0
107/02/12,0,0,---,---,---,---,---,0
107/02/21,355000,207250,0.55,0.61,0.55,0.61,+0.13,14
107/02/23,60000,44900,0.75,0.75,0.74,0.74,-0.01,4
107/02/26,0,0,---,---,---,---,---,0
107/02/27,181000,128640,0.70,0.72,0.70,0.72,+0.04,3
107/03/01,181000,112220,0.62,0.62,0.62,0.62,-0.10,3
107/03/02,0,0,---,---,---,---,---,0
107/03/05,0,0,---,---,---,---,---,0
107/03/07,146000,95480,0.63,0.66,0.63,0.66,+0.04,7
107/03/09,900000,503220,0.56,0.58,0.55,0.56,-0.09,16
107/03/12,913000,481210,0.54,0.55,0.51,0.55,-0.01,9
107/03/13,1604000,970950,0.54,0.68,0.54,0.62,+0.07,21
107/03/14,1573000,946950,0.60,0.62,0.58,0.58,-0.04,14
107/03/15,817000,443900,0.54,0.55,0.53,0.53,-0.05,10
107/03/16,381000,202600,0.54,0.54,0.52,0.52,-0.01,7
107/03/19,183000,98530,0.52,0.55,0.52,0.55,+0.03,5
107/03/20,217000,86900,0.40,0.41,0.40,0.40,-0.15,9
107/03/21,50000,18000,0.36,0.36,0.36,0.36,-0.04,2
107/03/22,0,0,---,---,---,---,---,0
107/03/23,0,0,---,---,---,---,---,0
107/03/26,0,0,---,---,---,---,---,0
107/03/27,0,0,---,---,---,---,---,0
107/03/28,0,0,---,---,---,---,---,0
107/03/29,0,0,---,---,---,---,---,0
107/03/30,520000,140400,0.27,0.27,0.27,0.27,+0.09,3
107/03/31,0,0,---,---,---,---,---,0
107/04/02,530000,132400,0.25,0.25,0.24,0.24,+0.01,3
107/04/03,10000,2100,0.21,0.21,0.21,0.21,-0.03,1
107/04/09,6000,1640,0.27,0.28,0.27,0.28,+0.07,4
107/04/10,14000,3920,0.28,0.28,0.28,0.28,0.00,2
107/04/11,1000,260,0.26,0.26,0.26,0.26,-0.02,1
107/04/12,0,0,---,---,---,---,---,0
107/04/13,0,0,---,---,---,---,---,0
107/04/16,0,0,---,---,---,---,---,0
107/04/17,0,0,---,---,---,---,---,0
107/04/18,0,0,---,---,---,---,---,0
107/04/20,0,0,---,---,---,---,---,0
107/04/23,0,0,---,---,---,---,---,0
107/04/24,0,0,---,---,---,---,---,0
107/04/25,0,0,---,---,---,---,---,0
107/04/27,0,0,---,---,---,---,---,0
107/04/30,0,0,---,---,---,---,---,0
107/05/04,0,0,---,---,---,---,---,0
107/05/07,0,0,---,---,---,---,---,0
107/05/08,0,0,---,---,---,---,---,0
107/05/09,0,0,---,---,---,---,---,0
107/05/10,0,0,---,---,---,---,---,0
107/05/11,0,0,---,---,---,---,---,0
107/05/15,10000,200,0.02,0.02,0.02,0.02,-0.03,1
107/05/16,10000,200,0.02,0.02,0.02,0.02,0.00,1
107/05/17,0,0,---,---,---,---,---,0
107/05/18,0,0,---,---,---,---,---,0
107/05/21,0,0,---,---,---,---,---,0
107/05/22,0,0,---,---,---,---,---,0
107/05/24,0,0,---,---,---,---,---,0
107/05/25,0,0,---,---,---,---,---,0
107/05/29,0,0,---,---,---,---,---,0
107/05/30,10000,200,0.02,0.02,0.02,0.02,-0.01,1
107/05/31,20000,500,0.03,0.03,0.02,0.02,0.00,2
107/06/04,10000,300,0.03,0.03,0.03,0.03,+0.01,1
107/06/05,10000,200,0.02,0.02,0.02,0.02,-0.01,1
107/06/06,10000,300,0.03,0.03,0.03,0.03,+0.01,1
