104/05/05,180000,239500,1.32,1.34,1.30,1.30,0.00,5
104/05/06,188000,244780,1.32,1.32,1.26,1.26,-0.04,7
104/05/07,8000,10540,1.32,1.32,1.31,1.31,+0.05,3
104/05/08,196000,235080,1.06,1.21,1.06,1.21,-0.10,5
104/05/11,221000,253570,1.28,1.28,1.10,1.11,-0.10,5
104/05/12,450000,548950,1.07,1.26,1.07,1.23,+0.12,19
104/05/13,1662000,2301140,1.26,1.51,1.22,1.42,+0.19,54
104/05/14,1852000,2804640,1.45,1.58,1.45,1.54,+0.12,70
104/05/15,1450000,2490050,1.64,1.78,1.62,1.62,+0.08,50
104/05/18,965000,1477210,1.65,1.65,1.48,1.50,-0.12,47
104/05/19,2321000,4182970,1.55,1.95,1.55,1.89,+0.39,95
104/05/20,2064000,4095560,1.80,2.13,1.80,1.98,+0.09,81
104/05/21,713000,1359920,1.87,2.02,1.80,1.86,-0.12,39
104/05/22,831000,1416810,1.86,1.89,1.61,1.69,-0.17,33
104/05/25,263000,449180,1.74,1.76,1.67,1.68,-0.01,32
104/05/26,797000,1288410,1.65,1.67,1.57,1.59,-0.09,60
104/05/27,2791000,4616130,1.54,1.83,1.44,1.74,+0.15,114
104/05/28,3224000,5410590,1.66,1.74,1.59,1.59,-0.15,120
104/05/29,1766000,2941020,1.66,1.73,1.61,1.68,+0.09,40
104/06/01,618000,1004450,1.65,1.66,1.52,1.57,-0.11,32
104/06/02,1116000,2016920,1.61,1.98,1.61,1.74,+0.17,56
104/06/03,1093000,1885580,1.80,1.84,1.54,1.56,-0.18,38
104/06/04,495000,705540,1.62,1.62,1.27,1.29,-0.27,36
104/06/05,269000,364320,1.31,1.45,1.23,1.41,+0.12,12
104/06/08,375000,431460,1.22,1.22,1.05,1.14,-0.27,28
104/06/09,635000,610660,1.04,1.04,0.90,0.91,-0.23,29
104/06/10,1075000,1017090,0.93,1.11,0.84,1.11,+0.20,47
104/06/11,926000,890520,1.09,1.09,0.84,0.88,-0.23,51
104/06/12,601000,549130,0.84,0.95,0.84,0.88,0.00,34
104/06/15,549000,538280,0.91,1.02,0.91,1.02,+0.14,27
104/06/16,325000,372150,1.15,1.35,1.10,1.22,+0.20,19
104/06/17,89000,103650,1.24,1.24,1.12,1.20,-0.02,12
104/06/18,55000,66150,1.20,1.23,1.20,1.23,+0.03,2
104/06/22,432000,672600,1.28,1.61,1.27,1.59,+0.36,20
104/06/23,187000,318690,1.76,1.76,1.46,1.46,-0.13,9
104/06/24,38000,52870,1.46,1.46,1.33,1.33,-0.13,7
104/06/25,19000,25620,1.38,1.38,1.34,1.34,+0.01,2
104/06/26,0,0,---,---,---,---,---,0
104/06/29,19000,22120,1.18,1.18,1.15,1.15,-0.16,3
104/06/30,34000,37280,1.12,1.12,1.05,1.10,-0.05,5
104/07/01,29000,34450,1.17,1.20,1.15,1.15,+0.05,4
104/07/02,1136000,1252700,1.18,1.18,0.84,0.84,-0.31,17
104/07/03,55000,43050,0.81,0.81,0.75,0.76,-0.08,6
104/07/06,0,0,---,---,---,---,---,0
104/07/07,15000,11000,0.75,0.75,0.70,0.70,-0.06,2
104/07/08,100000,52900,0.59,0.59,0.42,0.42,-0.28,5
104/07/09,0,0,---,---,---,---,---,0
104/07/13,0,0,---,---,---,---,---,0
104/07/14,0,0,---,---,---,---,---,0
104/07/15,0,0,---,---,---,---,---,0
104/07/16,100000,30000,0.30,0.30,0.30,0.30,-0.07,10
104/07/17,20000,5600,0.28,0.28,0.28,0.28,-0.02,2
104/07/20,0,0,---,---,---,---,---,0
104/07/21,0,0,---,---,---,---,---,0
104/07/22,0,0,---,---,---,---,---,0
104/07/23,50000,8300,0.19,0.19,0.13,0.13,-0.03,5
104/07/24,0,0,---,---,---,---,---,0
104/07/27,0,0,---,---,---,---,---,0
104/07/28,0,0,---,---,---,---,---,0
104/07/29,0,0,---,---,---,---,---,0
104/07/30,0,0,---,---,---,---,---,0
104/07/31,0,0,---,---,---,---,---,0
104/08/03,0,0,---,---,---,---,---,0
104/08/04,0,0,---,---,---,---,---,0
104/08/05,0,0,---,---,---,---,---,0
104/08/06,0,0,---,---,---,---,---,0
104/08/07,0,0,---,---,---,---,---,0
104/08/10,0,0,---,---,---,---,---,0
104/08/11,64000,9600,0.15,0.15,0.15,0.15,+0.01,1
104/08/12,0,0,---,---,---,---,---,0
104/08/13,1000,210,0.21,0.21,0.21,0.21,+0.06,1
104/08/14,0,0,---,---,---,---,---,0
104/08/17,50000,11000,0.22,0.22,0.22,0.22,+0.01,1
104/08/18,0,0,---,---,---,---,---,0
