104/05/13,23000,38840,1.69,1.71,1.66,1.66,0.00,6
104/05/14,24000,39330,1.65,1.65,1.59,1.60,-0.06,7
104/05/15,5000,8350,1.67,1.67,1.67,1.67,+0.07,1
104/05/18,731000,1287280,1.67,1.87,1.67,1.87,+0.20,21
104/05/19,459000,861950,1.89,1.89,1.85,1.86,-0.01,7
104/05/20,0,0,---,---,---,---,---,0
104/05/21,366000,706180,1.94,1.94,1.91,1.94,+0.06,6
104/05/22,698000,1425040,2.05,2.05,2.02,2.02,+0.08,5
104/05/25,1186000,2533780,2.05,2.29,2.05,2.29,+0.27,17
104/05/26,554000,1170290,2.09,2.15,2.08,2.15,-0.14,9
104/05/27,656000,1616510,2.36,2.69,2.35,2.69,+0.54,8
104/05/28,102000,262980,2.58,2.58,2.49,2.49,-0.20,2
104/05/29,0,0,---,---,---,---,---,0
104/06/01,0,0,---,---,---,---,---,0
104/06/02,50000,110500,2.21,2.21,2.21,2.21,-0.12,1
104/06/03,0,0,---,---,---,---,---,0
104/06/04,213000,366770,1.97,1.97,1.71,1.71,-0.34,6
104/06/05,4000,7500,1.77,1.95,1.77,1.91,+0.20,4
104/06/08,53000,87960,1.52,1.78,1.52,1.78,-0.13,4
104/06/09,10000,14400,1.44,1.44,1.44,1.44,-0.34,1
104/06/10,487000,787470,1.59,1.64,1.59,1.63,+0.19,8
104/06/11,1735000,3285420,1.72,1.97,1.72,1.79,+0.16,24
104/06/12,1122000,2124000,1.94,1.94,1.75,1.75,-0.04,20
104/06/15,164000,282320,1.75,1.75,1.71,1.73,-0.02,4
104/06/16,823000,1266890,1.58,1.58,1.48,1.49,-0.24,7
104/06/17,1872000,3027310,1.55,1.68,1.54,1.55,+0.06,14
104/06/18,364000,546240,1.58,1.60,1.47,1.60,+0.05,4
104/06/22,1079000,1812170,1.68,1.71,1.64,1.69,+0.09,8
104/06/23,478000,804710,1.72,1.75,1.60,1.60,-0.09,8
104/06/24,26000,42120,1.62,1.62,1.62,1.62,+0.02,3
104/06/25,274000,478880,1.75,1.75,1.63,1.63,+0.01,3
104/06/26,1177000,1578850,1.60,1.60,1.15,1.26,-0.37,21
104/06/29,286000,279220,1.07,1.07,0.88,0.99,-0.27,16
104/06/30,1560000,1808760,1.02,1.22,1.02,1.13,+0.14,24
104/07/01,2328000,2908030,1.25,1.30,1.19,1.30,+0.17,25
104/07/02,950000,1235250,1.31,1.35,1.26,1.32,+0.02,15
104/07/03,1071000,1301010,1.23,1.26,1.18,1.23,-0.09,13
104/07/06,343000,389960,1.17,1.17,1.00,1.02,-0.21,8
104/07/07,1034000,1121300,1.05,1.10,1.05,1.08,+0.06,9
104/07/08,2101000,2226070,1.17,1.18,0.94,1.00,-0.08,25
104/07/09,2395000,2161830,0.72,1.07,0.69,1.02,+0.02,29
104/07/13,1642000,1730080,1.03,1.11,1.02,1.05,+0.03,30
104/07/14,690000,697010,1.04,1.04,1.00,1.02,-0.03,14
104/07/15,354000,324260,1.00,1.00,0.88,0.88,-0.14,15
104/07/16,1347000,980830,0.88,0.88,0.65,0.65,-0.23,35
104/07/17,1201000,771590,0.69,0.70,0.54,0.56,-0.09,32
104/07/20,245000,156110,0.61,0.66,0.61,0.64,+0.08,14
104/07/21,244000,159590,0.63,0.70,0.58,0.69,+0.05,8
104/07/22,178000,109900,0.65,0.65,0.59,0.60,-0.09,6
104/07/23,5111000,1949330,0.54,0.54,0.35,0.35,-0.25,71
104/07/24,2516000,993170,0.37,0.43,0.37,0.40,+0.05,32
104/07/27,6321000,2346610,0.43,0.43,0.31,0.33,-0.07,56
104/07/28,1476000,549400,0.33,0.42,0.33,0.39,+0.06,17
104/07/29,647000,205830,0.39,0.39,0.26,0.26,-0.13,13
104/07/30,844000,252340,0.30,0.33,0.27,0.33,+0.07,18
104/07/31,717000,235120,0.37,0.37,0.29,0.30,-0.03,8
104/08/03,421000,73150,0.30,0.30,0.15,0.20,-0.10,18
104/08/04,938000,127320,0.13,0.15,0.12,0.14,-0.06,32
104/08/05,1453000,164650,0.14,0.14,0.09,0.13,-0.01,101
104/08/06,913000,106290,0.13,0.14,0.10,0.12,-0.01,47
104/08/07,559000,81180,0.10,0.20,0.10,0.16,+0.04,34
104/08/10,335000,57290,0.16,0.22,0.13,0.16,0.00,26
104/08/11,339000,46830,0.14,0.15,0.12,0.12,-0.04,23
104/08/12,109000,11580,0.10,0.14,0.10,0.12,0.00,9
104/08/13,41000,4090,0.12,0.12,0.09,0.09,-0.03,5
104/08/14,389000,54130,0.10,0.16,0.10,0.16,+0.07,27
104/08/17,448000,61880,0.16,0.20,0.11,0.11,-0.05,25
104/08/18,344000,51210,0.18,0.18,0.13,0.15,+0.04,20
104/08/19,218000,26040,0.15,0.15,0.10,0.10,-0.05,14
104/08/20,11000,1510,0.14,0.14,0.11,0.11,+0.01,2
104/08/21,181000,19250,0.11,0.11,0.10,0.10,-0.01,14
104/08/24,205000,12910,0.06,0.12,0.06,0.07,-0.03,5
104/08/25,101000,9210,0.11,0.11,0.06,0.06,-0.01,7
104/08/26,223000,17000,0.07,0.09,0.07,0.07,+0.01,14
104/08/27,60000,5790,0.09,0.10,0.09,0.09,+0.02,6
104/08/28,510000,72140,0.11,0.15,0.11,0.14,+0.05,26
104/08/31,312000,52740,0.18,0.19,0.15,0.15,+0.01,10
104/09/01,132000,16140,0.13,0.13,0.12,0.12,-0.03,5
104/09/02,517000,53270,0.11,0.11,0.10,0.11,-0.01,14
104/09/03,188000,19480,0.10,0.12,0.09,0.12,+0.01,9
104/09/04,147000,17470,0.12,0.13,0.11,0.11,-0.01,12
104/09/07,133000,14560,0.11,0.12,0.10,0.12,+0.01,5
104/09/08,20000,2700,0.15,0.15,0.12,0.12,0.00,2
104/09/09,351000,53480,0.15,0.16,0.14,0.16,+0.04,25
104/09/10,60000,3800,0.08,0.08,0.05,0.06,-0.10,3
104/09/11,120000,14200,0.11,0.12,0.11,0.12,+0.06,4
104/09/14,101000,13020,0.11,0.17,0.11,0.12,0.00,10
104/09/15,106000,11510,0.12,0.12,0.10,0.11,-0.01,10
104/09/16,168000,24320,0.14,0.20,0.14,0.14,+0.03,9
104/09/17,726000,111890,0.14,0.18,0.14,0.15,+0.01,13
104/09/18,110000,16200,0.15,0.15,0.12,0.12,-0.03,4
104/09/21,1000,110,0.11,0.11,0.11,0.11,-0.01,1
104/09/22,63000,7020,0.11,0.20,0.11,0.11,0.00,5
104/09/23,10000,1000,0.10,0.10,0.10,0.10,-0.01,1
104/09/24,41000,4310,0.10,0.12,0.10,0.11,+0.01,4
104/09/25,30000,3000,0.10,0.10,0.10,0.10,-0.01,4
104/09/30,166000,18750,0.12,0.13,0.07,0.07,-0.03,8
104/10/01,441000,57190,0.11,0.14,0.11,0.11,+0.04,14
104/10/02,78000,9200,0.11,0.12,0.11,0.11,0.00,7
104/10/05,79000,10790,0.14,0.15,0.13,0.13,+0.02,7
104/10/06,2000,270,0.15,0.15,0.12,0.12,-0.01,2
104/10/07,10000,1200,0.12,0.12,0.12,0.12,0.00,1
104/10/08,45000,5830,0.13,0.13,0.11,0.11,-0.01,3
104/10/12,1951000,214910,0.11,0.17,0.11,0.11,0.00,17
104/10/13,80000,9100,0.12,0.12,0.11,0.11,0.00,5
104/10/14,20000,1800,0.09,0.09,0.09,0.09,-0.02,1
104/10/15,0,0,---,---,---,---,---,0
104/10/16,48000,4290,0.11,0.11,0.08,0.08,-0.02,3
