104/11/05,77000,53130,0.69,0.69,0.69,0.69,-0.10,2
104/11/06,77000,53900,0.70,0.70,0.70,0.70,+0.01,1
104/11/09,0,0,---,---,---,---,---,0
104/11/10,0,0,---,---,---,---,---,0
104/11/11,305000,225900,0.72,0.76,0.72,0.76,+0.10,8
104/11/12,684000,485730,0.74,0.75,0.68,0.69,-0.07,20
104/11/13,595000,412550,0.68,0.71,0.67,0.71,+0.02,12
104/11/16,414000,291960,0.72,0.73,0.69,0.69,-0.02,19
104/11/17,730000,451300,0.62,0.63,0.59,0.60,-0.09,23
104/11/18,538000,332450,0.61,0.64,0.60,0.63,+0.03,17
104/11/19,439000,274570,0.43,0.65,0.43,0.65,+0.02,7
104/11/20,452000,270840,0.61,0.61,0.59,0.60,-0.05,14
104/11/23,270000,155600,0.58,0.58,0.57,0.58,-0.02,10
104/11/24,351000,205310,0.57,0.60,0.57,0.60,+0.02,12
104/11/25,566000,317160,0.59,0.59,0.51,0.52,-0.08,18
104/11/26,381000,192320,0.51,0.52,0.50,0.51,-0.01,8
104/11/27,371000,195610,0.51,0.54,0.51,0.54,+0.03,9
104/11/30,151000,83560,0.55,0.56,0.55,0.56,+0.02,3
104/12/01,507000,230800,0.50,0.51,0.43,0.45,-0.11,17
104/12/02,510000,242200,0.46,0.49,0.46,0.49,+0.04,11
104/12/03,427000,197470,0.48,0.48,0.44,0.48,-0.01,12
104/12/04,456000,213200,0.47,0.48,0.45,0.47,-0.01,9
104/12/07,325000,146250,0.46,0.46,0.43,0.44,-0.03,7
104/12/08,282000,132610,0.46,0.48,0.46,0.48,+0.04,5
104/12/09,240000,118280,0.49,0.50,0.49,0.50,+0.02,8
104/12/10,220000,114240,0.51,0.53,0.51,0.53,+0.03,10
104/12/11,299000,154380,0.51,0.56,0.51,0.56,+0.03,13
104/12/14,47000,28090,0.64,0.64,0.57,0.58,+0.02,4
104/12/15,286000,164840,0.60,0.62,0.55,0.57,-0.01,11
104/12/16,165000,89880,0.54,0.56,0.52,0.54,-0.03,5
104/12/17,43000,19770,0.48,0.48,0.45,0.47,-0.07,7
104/12/18,171000,80660,0.48,0.49,0.45,0.47,0.00,12
104/12/21,50000,23100,0.47,0.47,0.45,0.46,-0.01,5
104/12/22,466000,204440,0.43,0.47,0.42,0.47,+0.01,19
104/12/23,220000,99300,0.46,0.47,0.45,0.47,0.00,3
104/12/24,90000,42850,0.45,0.49,0.45,0.49,+0.02,5
104/12/25,174000,82420,0.51,0.51,0.47,0.47,-0.02,6
104/12/28,160000,72800,0.45,0.46,0.45,0.46,-0.01,5
104/12/29,10000,4600,0.46,0.46,0.46,0.46,0.00,1
104/12/30,320000,140600,0.44,0.45,0.43,0.43,-0.03,8
104/12/31,131000,60960,0.45,0.47,0.45,0.46,+0.03,6
105/01/04,430000,200000,0.46,0.48,0.46,0.46,0.00,8
105/01/05,792000,331860,0.43,0.45,0.37,0.39,-0.07,20
105/01/06,998000,341150,0.36,0.36,0.33,0.34,-0.05,20
105/01/07,379000,153310,0.37,0.44,0.36,0.42,+0.08,16
105/01/08,250000,106000,0.41,0.44,0.41,0.42,0.00,6
105/01/11,316000,153890,0.44,0.50,0.44,0.48,+0.06,8
105/01/12,1187000,532090,0.44,0.51,0.43,0.51,+0.03,17
105/01/13,591000,281680,0.45,0.51,0.45,0.50,-0.01,18
105/01/14,257000,143510,0.57,0.58,0.50,0.52,+0.02,11
105/01/15,435000,210150,0.49,0.49,0.48,0.49,-0.03,3
105/01/18,170000,85900,0.54,0.58,0.44,0.44,-0.05,4
105/01/19,50000,21000,0.42,0.42,0.42,0.42,-0.02,1
105/01/20,30000,13200,0.44,0.44,0.44,0.44,+0.02,1
105/01/21,0,0,---,---,---,---,---,0
105/01/22,112000,40760,0.36,0.38,0.36,0.38,-0.04,4
105/01/25,40000,12800,0.32,0.32,0.32,0.32,-0.06,1
105/01/26,220000,64800,0.29,0.30,0.29,0.29,-0.03,4
105/01/27,291000,76600,0.27,0.27,0.25,0.27,-0.02,11
105/01/28,710000,203880,0.28,0.30,0.27,0.27,0.00,19
105/01/29,1824000,518890,0.26,0.32,0.25,0.32,+0.05,27
105/01/30,724000,200790,0.32,0.32,0.27,0.27,-0.05,12
105/02/01,133000,34270,0.26,0.26,0.25,0.26,-0.01,5
105/02/02,272000,71020,0.26,0.27,0.26,0.26,0.00,6
105/02/03,357000,94020,0.27,0.27,0.25,0.26,0.00,8
105/02/15,100000,25000,0.27,0.27,0.23,0.23,-0.03,7
105/02/16,40000,7600,0.19,0.19,0.19,0.19,-0.04,2
105/02/17,105000,20950,0.19,0.20,0.19,0.20,+0.01,2
105/02/18,100000,20000,0.20,0.20,0.20,0.20,0.00,1
105/02/19,330000,62400,0.20,0.20,0.17,0.19,-0.01,6
105/02/22,220000,38500,0.18,0.18,0.17,0.17,-0.02,4
105/02/23,120000,20400,0.17,0.17,0.17,0.17,0.00,3
105/02/24,100000,19000,0.19,0.19,0.19,0.19,+0.02,1
105/02/25,300000,56000,0.19,0.19,0.18,0.18,-0.01,3
105/02/26,255000,43350,0.17,0.17,0.17,0.17,-0.01,4
105/03/01,618000,55920,0.09,0.11,0.09,0.11,-0.06,7
105/03/02,250000,18000,0.08,0.08,0.07,0.08,-0.03,5
105/03/03,175000,15750,0.09,0.09,0.09,0.09,+0.01,4
105/03/04,0,0,---,---,---,---,---,0
105/03/07,0,0,---,---,---,---,---,0
105/03/08,150000,10400,0.05,0.08,0.05,0.08,-0.01,5
105/03/09,100000,6000,0.06,0.06,0.06,0.06,-0.02,1
105/03/10,11000,770,0.07,0.07,0.07,0.07,+0.01,2
105/03/11,1000,80,0.08,0.08,0.08,0.08,+0.01,1
105/03/14,0,0,---,---,---,---,---,0
105/03/15,0,0,---,---,---,---,---,0
105/03/16,0,0,---,---,---,---,---,0
105/03/17,0,0,---,---,---,---,---,0
105/03/18,0,0,---,---,---,---,---,0
105/03/21,0,0,---,---,---,---,---,0
105/03/22,0,0,---,---,---,---,---,0
105/03/23,0,0,---,---,---,---,---,0
105/03/24,0,0,---,---,---,---,---,0
105/03/25,0,0,---,---,---,---,---,0
105/03/28,0,0,---,---,---,---,---,0
105/03/29,0,0,---,---,---,---,---,0
105/03/30,0,0,---,---,---,---,---,0
105/03/31,0,0,---,---,---,---,---,0
105/04/01,0,0,---,---,---,---,---,0
