105/02/02,0,0,---,---,---,---,---,0
105/02/03,0,0,---,---,---,---,---,0
105/02/15,320000,810160,2.44,2.77,2.41,2.77,+0.44,17
105/02/16,494000,1330710,2.58,2.81,2.58,2.69,-0.08,31
105/02/17,322000,891910,2.75,2.80,2.69,2.72,+0.03,31
105/02/18,211000,609220,2.83,3.01,2.80,2.98,+0.26,23
105/02/19,134000,375780,2.85,2.85,2.73,2.73,-0.25,7
105/02/22,97000,254310,2.61,2.65,2.53,2.61,-0.12,7
105/02/23,135000,379900,2.72,2.87,2.72,2.84,+0.23,9
105/02/24,213000,607380,2.92,2.92,2.83,2.86,+0.02,12
105/02/25,87000,258640,3.10,3.10,2.84,2.84,-0.02,7
105/02/26,28000,80000,2.89,2.95,2.80,2.95,+0.11,4
105/03/04,20000,64600,3.20,3.25,3.20,3.22,+0.02,4
105/03/18,126000,409450,3.26,3.38,3.16,3.16,+0.05,10
105/03/24,149000,480210,3.29,3.29,3.15,3.15,-0.09,8
