107/01/26,217000,167350,0.77,0.80,0.77,0.79,0.00,4
107/01/31,5000,3600,0.72,0.72,0.72,0.72,-0.04,1
107/02/01,8000,6040,0.76,0.77,0.74,0.74,+0.02,3
107/02/02,18000,13140,0.73,0.74,0.72,0.72,-0.02,4
107/02/05,236000,146520,0.61,0.63,0.61,0.63,-0.09,3
107/02/06,334000,196960,0.61,0.62,0.54,0.58,-0.05,4
107/02/12,0,0,---,---,---,---,---,0
107/02/21,0,0,---,---,---,---,---,0
107/02/23,0,0,---,---,---,---,---,0
107/02/26,0,0,---,---,---,---,---,0
107/02/27,0,0,---,---,---,---,---,0
107/03/01,0,0,---,---,---,---,---,0
107/03/02,0,0,---,---,---,---,---,0
107/03/05,550000,259900,0.48,0.48,0.47,0.47,-0.01,4
107/03/07,45000,22040,0.48,0.50,0.48,0.50,+0.04,4
107/03/09,40000,19200,0.48,0.48,0.48,0.48,+0.01,1
107/03/12,0,0,---,---,---,---,---,0
107/03/13,344000,175440,0.50,0.52,0.50,0.52,+0.04,6
107/03/14,771000,392120,0.50,0.52,0.49,0.52,0.00,12
107/03/15,208000,104000,0.49,0.51,0.49,0.50,-0.02,5
107/03/16,573000,275940,0.49,0.49,0.48,0.48,-0.02,7
107/03/19,30000,14900,0.49,0.50,0.49,0.50,+0.02,3
107/03/20,20000,9800,0.49,0.49,0.49,0.49,-0.01,1
107/03/21,0,0,---,---,---,---,---,0
107/03/22,10000,5100,0.51,0.51,0.51,0.51,+0.01,1
107/03/23,0,0,---,---,---,---,---,0
107/03/26,0,0,---,---,---,---,---,0
107/03/27,5000,2600,0.52,0.52,0.52,0.52,+0.03,1
107/03/28,0,0,---,---,---,---,---,0
107/03/29,1075000,595300,0.55,0.56,0.54,0.55,+0.04,11
107/03/30,978000,552980,0.57,0.58,0.55,0.55,0.00,32
107/03/31,10000,5300,0.53,0.53,0.53,0.53,-0.02,1
107/04/02,532000,306560,0.57,0.59,0.56,0.56,+0.03,5
107/04/03,657000,376230,0.57,0.60,0.54,0.59,+0.03,17
107/04/09,958000,567110,0.58,0.61,0.57,0.60,+0.01,19
107/04/10,648000,376770,0.59,0.59,0.56,0.58,-0.02,12
107/04/11,7000,4130,0.59,0.59,0.59,0.59,+0.01,4
107/04/12,356000,212660,0.58,0.63,0.58,0.63,+0.04,8
107/04/13,225000,132810,0.60,0.60,0.59,0.59,-0.04,4
107/04/16,136000,72870,0.54,0.54,0.50,0.50,-0.09,5
107/04/17,224000,122200,0.55,0.56,0.54,0.54,+0.04,3
107/04/18,332000,190240,0.57,0.58,0.56,0.56,+0.02,4
107/04/20,200000,111000,0.55,0.56,0.55,0.56,-0.02,3
107/04/23,0,0,---,---,---,---,---,0
107/04/24,11000,4990,0.44,0.47,0.44,0.47,-0.04,3
107/04/25,1000,480,0.48,0.48,0.48,0.48,+0.01,1
107/04/27,0,0,---,---,---,---,---,0
107/04/30,30000,13200,0.44,0.44,0.44,0.44,0.00,1
107/05/04,35000,14750,0.42,0.43,0.42,0.43,+0.01,2
107/05/07,0,0,---,---,---,---,---,0
107/05/08,412000,156630,0.38,0.42,0.38,0.42,+0.02,6
107/05/09,519000,227460,0.42,0.45,0.42,0.43,+0.01,6
107/05/10,108000,42120,0.39,0.39,0.39,0.39,-0.04,1
107/05/11,0,0,---,---,---,---,---,0
