102/02/01,0,0,---,---,---,---,---,0
102/02/04,0,0,---,---,---,---,---,0
102/02/05,0,0,---,---,---,---,---,0
102/02/06,0,0,---,---,---,---,---,0
102/02/18,50000,27000,0.54,0.54,0.54,0.54,-0.01,1
102/02/19,0,0,---,---,---,---,---,0
102/02/20,396000,198000,0.50,0.50,0.50,0.50,0.00,4
102/02/21,0,0,---,---,---,---,---,0
102/02/22,48000,19680,0.41,0.41,0.41,0.41,-0.02,1
102/02/23,88000,37840,0.42,0.44,0.42,0.44,+0.03,4
102/02/25,0,0,---,---,---,---,---,0
102/02/26,50000,22000,0.44,0.44,0.44,0.44,0.00,2
102/02/27,0,0,---,---,---,---,---,0
102/03/01,0,0,---,---,---,---,---,0
102/03/04,0,0,---,---,---,---,---,0
102/03/05,10000,5800,0.58,0.58,0.58,0.58,+0.15,1
102/03/06,540000,321670,0.60,0.60,0.58,0.59,+0.01,10
102/03/07,163000,86560,0.51,0.58,0.51,0.57,-0.02,5
102/03/08,30000,14800,0.51,0.51,0.48,0.48,-0.09,3
102/03/11,54000,24060,0.47,0.47,0.44,0.44,-0.04,2
102/03/12,0,0,---,---,---,---,---,0
102/03/13,0,0,---,---,---,---,---,0
102/03/14,20000,8200,0.41,0.41,0.41,0.41,0.00,1
102/03/15,10000,4000,0.40,0.40,0.40,0.40,-0.01,1
102/03/18,0,0,---,---,---,---,---,0
102/03/19,10000,4100,0.41,0.41,0.41,0.41,+0.04,1
102/03/20,0,0,---,---,---,---,---,0
102/03/21,0,0,---,---,---,---,---,0
102/03/22,20000,8200,0.41,0.41,0.41,0.41,-0.01,1
102/03/25,0,0,---,---,---,---,---,0
102/03/26,0,0,---,---,---,---,---,0
102/03/27,0,0,---,---,---,---,---,0
102/03/28,0,0,---,---,---,---,---,0
102/03/29,20000,8000,0.40,0.40,0.40,0.40,+0.03,1
102/04/01,10000,3700,0.37,0.37,0.37,0.37,-0.03,1
102/04/02,0,0,---,---,---,---,---,0
102/04/03,0,0,---,---,---,---,---,0
102/04/08,0,0,---,---,---,---,---,0
102/04/09,0,0,---,---,---,---,---,0
102/04/10,0,0,---,---,---,---,---,0
102/04/11,0,0,---,---,---,---,---,0
102/04/12,0,0,---,---,---,---,---,0
102/04/15,70000,21000,0.30,0.30,0.30,0.30,-0.02,2
102/04/16,0,0,---,---,---,---,---,0
102/04/17,0,0,---,---,---,---,---,0
102/04/18,0,0,---,---,---,---,---,0
102/04/19,0,0,---,---,---,---,---,0
102/04/22,0,0,---,---,---,---,---,0
102/04/23,0,0,---,---,---,---,---,0
102/04/24,0,0,---,---,---,---,---,0
102/04/25,0,0,---,---,---,---,---,0
102/04/26,0,0,---,---,---,---,---,0
102/04/29,0,0,---,---,---,---,---,0
102/04/30,0,0,---,---,---,---,---,0
102/05/02,0,0,---,---,---,---,---,0
102/05/03,0,0,---,---,---,---,---,0
102/05/06,0,0,---,---,---,---,---,0
102/05/07,0,0,---,---,---,---,---,0
102/05/08,0,0,---,---,---,---,---,0
102/05/09,0,0,---,---,---,---,---,0
102/05/10,0,0,---,---,---,---,---,0
102/05/13,0,0,---,---,---,---,---,0
102/05/14,0,0,---,---,---,---,---,0
102/05/15,0,0,---,---,---,---,---,0
102/05/16,0,0,---,---,---,---,---,0
102/05/17,0,0,---,---,---,---,---,0
102/05/20,0,0,---,---,---,---,---,0
102/05/21,0,0,---,---,---,---,---,0
102/05/22,0,0,---,---,---,---,---,0
102/05/23,0,0,---,---,---,---,---,0
102/05/24,0,0,---,---,---,---,---,0
102/05/27,0,0,---,---,---,---,---,0
102/05/28,0,0,---,---,---,---,---,0
