106/04/10,4934000,3910660,0.89,0.89,0.75,0.77,-0.04,38
106/04/11,718000,613640,0.80,0.89,0.79,0.89,+0.12,23
106/04/12,815000,734910,0.90,0.93,0.85,0.86,-0.03,28
106/04/13,905000,809390,0.83,0.97,0.83,0.97,+0.11,33
106/04/14,444000,429890,1.00,1.05,0.93,1.05,+0.08,20
106/04/17,698000,665080,1.02,1.05,0.90,0.99,-0.06,40
106/04/18,1006000,894560,0.96,0.99,0.83,0.84,-0.15,63
106/04/19,1062000,931480,0.88,0.91,0.85,0.91,+0.07,39
106/04/20,2326000,2282220,0.86,1.11,0.86,1.08,+0.17,76
106/04/21,1994000,2115450,1.08,1.10,1.01,1.09,+0.01,78
106/04/24,1558000,1836710,1.20,1.24,1.14,1.15,+0.06,75
106/04/25,889000,959720,1.08,1.10,1.05,1.06,-0.09,51
106/04/26,711000,729040,1.06,1.07,0.98,1.01,-0.05,27
106/04/27,285000,284780,1.01,1.03,0.97,1.01,0.00,17
106/04/28,798000,848850,1.00,1.10,1.00,1.10,+0.09,33
106/05/02,1012000,1123110,1.11,1.14,1.07,1.09,-0.01,30
106/05/03,947000,1071440,1.09,1.16,1.06,1.16,+0.07,33
106/05/04,873000,973590,1.12,1.16,1.07,1.09,-0.07,31
106/05/05,374000,408940,1.08,1.14,1.07,1.14,+0.05,19
106/05/08,675000,717600,1.09,1.09,1.03,1.03,-0.11,25
106/05/09,1372000,1488220,1.04,1.12,1.01,1.10,+0.07,28
106/05/10,1183000,1248360,1.05,1.07,1.03,1.07,-0.03,27
106/05/11,1137000,1137440,1.04,1.07,0.94,0.96,-0.11,41
106/05/12,1931000,1618740,0.91,0.91,0.77,0.78,-0.18,81
106/05/15,1485000,1137160,0.73,0.80,0.73,0.80,+0.02,45
106/05/16,1044000,879370,0.77,0.91,0.77,0.87,+0.07,36
106/05/17,759000,607480,0.81,0.83,0.78,0.80,-0.07,35
106/05/18,1506000,1186040,0.80,0.83,0.73,0.81,+0.01,64
106/05/19,997000,818830,0.81,0.84,0.80,0.84,+0.03,29
106/05/22,312000,238910,0.80,0.80,0.75,0.77,-0.07,14
106/05/23,283000,211260,0.73,0.77,0.72,0.77,0.00,18
106/05/24,272000,205060,0.75,0.77,0.74,0.77,0.00,16
106/05/25,291000,211650,0.74,0.74,0.70,0.72,-0.05,10
106/05/26,192000,140050,0.72,0.75,0.72,0.75,+0.03,8
106/05/31,287000,218220,0.74,0.77,0.74,0.76,+0.01,9
106/06/01,296000,209590,0.71,0.72,0.70,0.72,-0.04,8
106/06/02,373000,246070,0.67,0.67,0.65,0.67,-0.05,16
