103/12/03,0,0,---,---,---,---,---,0
103/12/04,523000,540680,0.98,1.08,0.98,1.08,+0.06,4
103/12/05,783000,845820,1.09,1.14,1.07,1.07,-0.01,7
103/12/08,260000,274900,0.99,1.06,0.99,1.06,-0.01,2
103/12/09,415000,414910,0.97,1.03,0.97,1.03,-0.03,3
103/12/10,219000,192110,0.87,0.89,0.82,0.87,-0.16,4
103/12/11,216000,207020,0.92,0.97,0.92,0.97,+0.10,3
103/12/12,0,0,---,---,---,---,---,0
103/12/15,0,0,---,---,---,---,---,0
103/12/16,150000,147000,0.98,0.98,0.98,0.98,-0.04,2
103/12/17,0,0,---,---,---,---,---,0
103/12/18,0,0,---,---,---,---,---,0
103/12/19,150000,151500,1.01,1.01,1.01,1.01,+0.06,2
103/12/22,160000,153600,0.96,0.96,0.96,0.96,-0.05,2
103/12/23,0,0,---,---,---,---,---,0
103/12/24,23000,24150,1.05,1.05,1.05,1.05,+0.08,1
103/12/25,330000,341740,1.07,1.07,1.01,1.01,-0.04,5
103/12/26,956000,1115080,1.07,1.22,1.07,1.21,+0.20,23
103/12/27,482000,510180,1.07,1.08,1.04,1.08,-0.13,12
103/12/29,311000,347800,1.14,1.16,1.10,1.10,+0.02,8
103/12/30,47000,52060,1.13,1.13,1.09,1.10,0.00,4
103/12/31,32000,34860,1.08,1.09,1.08,1.09,-0.01,2
104/01/05,0,0,---,---,---,---,---,0
104/01/06,10000,9200,0.92,0.92,0.92,0.92,-0.08,1
104/01/07,0,0,---,---,---,---,---,0
104/01/08,724000,904700,1.13,1.31,1.13,1.30,+0.29,14
104/01/09,1262000,1581950,1.32,1.32,1.20,1.26,-0.04,19
104/01/12,1371000,1691400,1.19,1.29,1.18,1.22,-0.04,18
104/01/13,641000,739480,1.18,1.18,1.10,1.13,-0.09,16
104/01/14,1424000,1299930,1.03,1.04,0.85,0.90,-0.23,22
104/01/15,265000,232700,0.88,0.88,0.83,0.88,-0.02,5
104/01/16,237000,176070,0.83,0.83,0.68,0.68,-0.20,12
104/01/19,477000,339400,0.73,0.73,0.67,0.70,+0.02,15
104/01/20,750000,575000,0.76,0.77,0.74,0.77,+0.07,14
104/01/21,369000,274030,0.73,0.78,0.73,0.75,-0.02,8
104/01/22,719000,672130,0.85,0.98,0.85,0.92,+0.17,15
104/01/23,838000,832010,1.01,1.07,0.94,1.04,+0.12,17
104/01/26,348000,352860,1.03,1.10,0.93,0.93,-0.11,13
104/01/27,97000,91230,1.01,1.01,0.88,0.90,-0.03,5
104/01/28,255000,213050,0.83,0.86,0.82,0.82,-0.08,7
104/01/29,440000,362400,0.77,0.91,0.77,0.90,+0.08,16
104/01/30,435000,392400,0.90,0.91,0.86,0.90,0.00,12
104/02/02,422000,364740,0.81,0.92,0.81,0.87,-0.03,9
104/02/03,597000,516320,0.85,0.89,0.80,0.80,-0.07,12
104/02/04,913000,733880,0.79,0.83,0.76,0.81,+0.01,13
104/02/05,1201000,889920,0.75,0.78,0.70,0.73,-0.08,26
104/02/06,1106000,832990,0.73,0.76,0.73,0.76,+0.03,15
104/02/09,240000,171600,0.70,0.73,0.70,0.72,-0.04,6
104/02/10,90000,60750,0.69,0.69,0.66,0.66,-0.06,2
104/02/11,250000,172500,0.69,0.69,0.69,0.69,+0.03,6
104/02/12,250000,170000,0.68,0.68,0.68,0.68,-0.01,3
104/02/13,0,0,---,---,---,---,---,0
104/02/24,14000,12260,0.87,0.89,0.87,0.89,+0.15,2
104/02/25,228000,207380,0.91,0.91,0.90,0.90,+0.01,4
104/02/26,30000,25500,0.85,0.85,0.85,0.85,-0.05,1
104/03/02,529000,551340,0.93,1.16,0.93,1.14,+0.29,9
104/03/03,324000,311490,0.95,1.02,0.93,0.99,-0.15,9
104/03/04,455000,472520,0.98,1.12,0.98,1.10,+0.11,9
104/03/05,264000,371880,1.28,1.54,1.28,1.51,+0.41,6
104/03/06,912000,1347750,1.78,1.78,1.36,1.61,+0.10,16
104/03/09,332000,499020,1.40,1.54,1.33,1.49,-0.12,8
104/03/10,322000,416510,1.53,1.53,1.18,1.31,-0.18,12
104/03/11,180000,208900,1.16,1.17,1.16,1.17,-0.14,3
