

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="0054  ","台商50","19000","13","442040","23.24","23.36","23.11","23.32","+","0.08","23.32","5","23.41","2","0.00"
="0055  ","寶金融","4334120","154","63853249","14.7","14.79","14.7","14.78","+","0.03","14.77","29","14.78","49","0.00"
="0056  ","高股息","489222","123","12061599","24.7","24.73","24.64","24.65","-","0.05","24.65","10","24.66","1","0.00"
="0057  ","FB摩台","60000","3","2524300","42.13","42.13","42.07","42.11","-","0.09","42.12","50","42.14","63","0.00"
="0058  ","FB發達","2000","2","77030","38.54","38.54","38.49","38.49","X","0","38.65","28","38.84","10","0.00"
="0059  ","FB金融","13000","2","432050","33.24","33.24","33.23","33.23","X","0","33.23","33","34","3","0.00"
="0060  ","新台灣","0","0","0","--","--","--","--"," ","0","31.71","2","32.8","1","0.00"
="0061  ","寶滬深","13941848","1902","237962076","17.11","17.15","16.98","17.11"," ","0","17.1","63","17.11","29","0.00"
="006203","寶摩臺","3000","3","98730","32.89","33","32.84","33","-","0.05","32.46","2","33.25","1","0.00"
="006204","豐臺灣","13000","10","615990","47.28","47.41","47.28","47.41","+","0.13","47.41","5","47.44","15","0.00"
="006205","FB上証","11105950","1360","340349800","30.64","30.75","30.5","30.68","+","0.05","30.67","7","30.68","145","0.00"
="006206","元上證","4974100","1141","143833437","28.9","29.05","28.68","28.98","+","0.15","28.98","31","28.99","2","0.00"
="006207","FH滬深","7637000","749","168714490","22.06","22.25","22","22.12","+","0.06","22.12","89","22.13","54","0.00"
="006208","FB台50","1000","1","39000","39","39","39","39","+","0.01","38.95","30","39","10","0.00"
="00631L","T50正2","736000","128","16531530","22.46","22.55","22.38","22.48","+","0.02","22.46","2","22.48","31","0.00"
="00632R","T50反1","2168200","213","40436230","18.63","18.69","18.62","18.66","+","0.03","18.65","12","18.66","87","0.00"
="00633L","上証2X","16629550","3986","606639310","36.68","36.83","35.96","36.48","+","0.05","36.48","995","36.5","35","0.00"
="00634R","上証反","4709000","513","63361120","13.45","13.54","13.37","13.4","-","0.02","13.4","53","13.41","6","0.00"
="0080  ","恒中國","1600","8","704620","436.05","442","436.05","440","+","3.95","435.1","1","438.5","1","0.00"
="0081  ","恒香港","0","0","0","--","--","--","--"," ","0","831.15","1","899.8","1","0.00"
="008201","上證50","51350","151","4529217","88.5","88.5","87.6","88.35","+","0.65","88.3","5","88.35","35","0.00"
="01001T","富邦R1","62000","9","1006840","16.19","16.3","16.18","16.2","+","0.02","16.2","32","16.25","5","0.00"
="01002T","國泰R1","475000","58","8545080","17.97","18","17.97","17.98","+","0.01","17.98","83","18","46","0.00"
="01003T","新光R1","8000","4","104450","13.04","13.06","13.04","13.06","+","0.02","13.05","5","13.07","2","0.00"
="01004T","富邦R2","182000","23","2375030","13.02","13.06","13.02","13.05"," ","0","13.04","12","13.05","8","0.00"
="01007T","國泰R2","253000","5","4027400","15.91","16","15.91","15.95"," ","0","15.93","1","15.95","87","0.00"
="01008T","駿馬R1","1651000","77","31025620","18.81","18.84","18.75","18.76","-","0.09","18.76","4","18.84","51","0.00"
="03001P","JR元富","516000","29","360800","0.7","0.71","0.66","0.66","-","0.07","0.65","25","0.66","25","0.00"
="03001X","元展01","0","0","0","--","--","--","--"," ","0","50","183","51","75","96.5"
="03002P","JS元富","20000","1","5400","0.27","0.27","0.27","0.27","X","0","0.27","25","0.28","25","0.00"
="03002X","元展02","4000","1","76000","19","19","19","19","+","0.2","19.1","36","19.2","1","42.25"
="03003P","B3元大","0","0","0","--","--","--","--"," ","0","--","0","0.02","20","0.00"
="03003X","元展03","2000","2","98700","49.6","49.6","49.1","49.1","+","0.2","49.1","123","49.4","31","148.5"
="03004P","國泰8U","1555000","19","194050","0.12","0.13","0.12","0.13","-","0.01","0.13","502","0.14","270","0.00"
