

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="081332","5P富邦","0","0","0","--","--","--","--"," ","0","0.02","10","0.03","10","288"
="081333","5Q富邦","0","0","0","--","--","--","--"," ","0","0.01","10","0.03","10","288"
="081334","日盛JE","95000","3","89100","0.98","0.98","0.88","0.88","+","0.14","0.84","499","0.85","30","41.9"
="081335","日盛JF","0","0","0","--","--","--","--"," ","0","0.07","495","0.08","300","17.3"
="081336","日盛JG","0","0","0","--","--","--","--"," ","0","0.14","25","0.15","25","45.1"
="081337","玉山6C","0","0","0","--","--","--","--"," ","0","0.02","10","0.04","10","0.00"
="081338","玉山6D","200000","1","16000","0.08","0.08","0.08","0.08","X","0","0.08","10","0.1","10","0.00"
="081339","中信J6","0","0","0","--","--","--","--"," ","0","2.82","30","2.85","10","17.11"
="081340","中信J7","2145000","50","318870","0.14","0.17","0.13","0.17","+","0.03","0.16","110","0.17","55","86.2"
="081341","中信J8","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","86.2"
="081342","中信J9","272000","9","454680","1.73","1.73","1.59","1.59","-","0.04","1.62","10","1.64","10","148.5"
="081343","中信K1","1407000","44","749380","0.58","0.59","0.51","0.53","+","0.01","0.51","30","0.53","9","148.5"
="081344","中信K2","141000","10","189300","1.33","1.36","1.31","1.35","-","0.07","1.34","30","1.35","29","16.6"
="081345","中信K3","0","0","0","--","--","--","--"," ","0","0.37","106","0.38","100","147.5"
="081346","中信K4","6000","1","7980","1.33","1.33","1.33","1.33","X","0","1.32","30","1.33","30","78.3"
="081347","中信K5","0","0","0","--","--","--","--"," ","0","0.01","30","0.02","10","14.55"
="081348","DA元富","0","0","0","--","--","--","--"," ","0","2.91","25","2.98","10","17.11"
="081349","DB元富","0","0","0","--","--","--","--"," ","0","0.08","25","0.09","25","14.55"
="081350","DC元富","70000","1","9100","0.13","0.13","0.13","0.13","X","0","0.13","25","0.14","10","288"
="081351","DD元富","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","47.6"
="081352","5T富邦","0","0","0","--","--","--","--"," ","0","--","0","0.03","10","86.2"
="081353","5U富邦","0","0","0","--","--","--","--"," ","0","0.21","12","0.23","14","18.15"
="081354","1W凱基","80000","5","8100","0.12","0.12","0.09","0.09","-","0.05","0.09","30","0.11","40","25.05"
="081355","元大NV","10000","1","1000","0.1","0.1","0.1","0.1","-","0.01","0.1","100","0.11","100","76.3"
="081356","元大NW","15000","2","27850","1.83","1.87","1.83","1.87","X","0","1.85","100","1.89","10","78.3"
="081357","元大NX","562000","10","168220","0.25","0.33","0.25","0.31","+","0.01","0.31","89","0.32","100","59.9"
="081358","大展Q6","140000","7","187100","1.27","1.38","1.27","1.35","-","0.18","1.34","10","1.36","10","16.6"
="081359","大展Q7","0","0","0","--","--","--","--"," ","0","0.31","13","0.32","10","16.6"
="08135P","統一HF","73000","2","29480","0.41","0.41","0.32","0.32","-","0.11","0.31","10","0.33","10","0.00"
="081360","國泰7K","0","0","0","--","--","--","--"," ","0","0.06","499","0.07","100","44.8"
="081361","永豐LQ","0","0","0","--","--","--","--"," ","0","0.03","499","0.04","10","26.25"
="081362","永豐LR","239000","7","133250","0.53","0.6","0.53","0.58","+","0.04","0.57","111","0.58","49","59.9"
="081363","永豐LS","951000","2","38040","0.04","0.04","0.04","0.04","+","0.01","0.04","447","0.05","10","59.7"
="081364","群益MZ","0","0","0","--","--","--","--"," ","0","7.7","25","8.15","10","30.68"
="081365","群益NA","0","0","0","--","--","--","--"," ","0","6.15","25","6.35","10","22.12"
="081366","群益NB","93000","4","21920","0.23","0.24","0.23","0.23","X","0","0.24","25","0.25","10","10.5"
="081367","群益NC","0","0","0","--","--","--","--"," ","0","--","0","--","0","458"
="081368","群益ND","0","0","0","--","--","--","--"," ","0","0.05","25","0.06","10","19.6"
="081369","群益NE","0","0","0","--","--","--","--"," ","0","0.08","25","0.09","10","8.85"
="08136P","統一HG","5000","1","4750","0.95","0.95","0.95","0.95","-","0.16","0.92","9","0.94","10","0.00"
="081370","群益NF","0","0","0","--","--","--","--"," ","0","--","0","--","0","26.25"
="081371","國票FC","0","0","0","--","--","--","--"," ","0","0.21","25","0.22","25","0.00"
="081372","國票FD","0","0","0","--","--","--","--"," ","0","0.08","998","0.09","10","0.00"
="081373","國票FE","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","0.00"
="081374","康和GS","224000","2","66560","0.29","0.31","0.29","0.31","-","0.05","0.29","10","0.39","10","0.00"
="081375","兆豐3K","0","0","0","--","--","--","--"," ","0","1.29","10","1.33","10","493"
="081376","兆豐3L","0","0","0","--","--","--","--"," ","0","0.4","10","0.41","10","341.5"
="081377","兆豐3M","540000","7","286400","0.52","0.58","0.52","0.57","+","0.02","0.55","10","0.56","30","58.5"
="081378","兆豐3N","0","0","0","--","--","--","--"," ","0","0.26","10","0.27","10","54.8"
="081379","兆豐3P","200000","4","84200","0.44","0.44","0.42","0.42","X","0","0.46","10","0.53","10","17.05"
="081380","兆豐3Q","184000","15","67980","0.49","0.49","0.35","0.38","-","0.07","0.35","45","0.38","17","17.05"
="081381","兆豐3R","3000","1","60","0.02","0.02","0.02","0.02","X","0","--","0","0.03","13","59.7"
="081382","兆豐3S","0","0","0","--","--","--","--"," ","0","--","0","0.01","1,055","288"
="081383","兆豐3T","0","0","0","--","--","--","--"," ","0","0.05","10","0.06","13","288"
="081384","兆豐3U","0","0","0","--","--","--","--"," ","0","0.15","10","0.16","10","50"
="081385","兆豐3V","103000","8","37340","0.33","0.39","0.33","0.37","+","0.01","0.34","10","0.35","10","173"
="081386","兆豐3W","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","21"
="081387","兆豐3X","0","0","0","--","--","--","--"," ","0","0.06","10","0.07","13","40.8"
="081388","兆豐3Y","0","0","0","--","--","--","--"," ","0","0.11","10","0.12","10","52.2"
="081389","兆豐3Z","0","0","0","--","--","--","--"," ","0","--","0","0.02","13","29.25"
="081390","兆豐4A","0","0","0","--","--","--","--"," ","0","0.85","10","0.88","30","16.6"
="081391","兆豐4B","149000","9","2990","0.02","0.03","0.02","0.03"," ","0","0.02","10","0.03","120","7.67"
="081392","兆豐4C","0","0","0","--","--","--","--"," ","0","--","0","0.02","13","36.75"
="081393","兆豐4D","0","0","0","--","--","--","--"," ","0","--","0","0.02","13","105"
="081394","兆豐4E","20000","1","7200","0.36","0.36","0.36","0.36","X","0","0.36","10","0.37","30","30.95"
="081395","兆豐4F","10000","2","3900","0.39","0.39","0.39","0.39","-","0.01","0.38","10","0.39","30","67.8"
="081396","兆豐4G","0","0","0","--","--","--","--"," ","0","0.33","10","0.34","10","52.8"
="081397","兆豐4H","0","0","0","--","--","--","--"," ","0","0.19","10","0.2","30","26.25"
="081398","兆豐4J","80000","3","4000","0.05","0.05","0.05","0.05"," ","0","0.05","10","0.06","15","32.05"
="081399","兆豐4K","0","0","0","--","--","--","--"," ","0","0.15","10","0.16","24","62.9"
="081400","兆豐4L","0","0","0","--","--","--","--"," ","0","--","0","0.02","13","254.5"
="081401","兆豐4M","0","0","0","--","--","--","--"," ","0","--","0","0.01","84","109"
="081402","兆豐4N","0","0","0","--","--","--","--"," ","0","2","10","2.43","30","17.11"
="081403","永昌A8","403000","1","4030","0.01","0.01","0.01","0.01","X","0","0.01","10","0.1","105","69"
="081404","玉山6E","0","0","0","--","--","--","--"," ","0","0.01","113","0.05","113","0.00"
="081405","玉山6F","3000","1","1260","0.42","0.42","0.42","0.42","-","0.05","0.42","93","0.46","93","0.00"
="081406","1Z凱基","0","0","0","--","--","--","--"," ","0","0.04","30","0.07","30","26.75"
="081407","2A凱基","0","0","0","--","--","--","--"," ","0","0.52","30","0.56","30","288"
="081408","2B凱基","0","0","0","--","--","--","--"," ","0","0.32","30","0.33","30","288"
="081409","2C凱基","0","0","0","--","--","--","--"," ","0","0.13","30","0.14","30","52.2"
="081410","2D凱基","13000","2","2390","0.19","0.19","0.18","0.18","-","0.04","0.18","30","0.19","30","26.25"
="081411","7H亞東","0","0","0","--","--","--","--"," ","0","--","0","--","0","20.2"
="081412","7J亞東","0","0","0","--","--","--","--"," ","0","0.98","10","--","0","16.6"
="081413","永豐LV","17000","1","170","0.01","0.01","0.01","0.01","X","0","--","0","0.01","10","21"
="081414","永豐LW","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","36.75"
="081415","永豐LX","0","0","0","--","--","--","--"," ","0","0.02","499","0.03","10","37.4"
="081416","永豐LY","200000","1","6000","0.03","0.03","0.03","0.03","X","0","0.03","499","0.04","10","43.1"
="081417","群益NI","0","0","0","--","--","--","--"," ","0","1.79","25","1.89","10","78.3"
="081418","群益NJ","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","10","26.25"
="081419","群益NK","0","0","0","--","--","--","--"," ","0","0.39","25","0.4","10","52.8"
="081420","群益NL","42000","5","126080","3.12","3.12","2.89","2.89","-","0.12","3.14","25","3.22","10","58.2"
="081421","國票FF","0","0","0","--","--","--","--"," ","0","0.09","99","--","0","0.00"
="081422","國票FG","0","0","0","--","--","--","--"," ","0","1.32","998","1.38","25","0.00"
="081423","國票FH","80000","4","88500","1.18","1.18","1.08","1.08","-","0.03","1.05","25","1.09","10","0.00"
="081424","康和GU","0","0","0","--","--","--","--"," ","0","--","0","0.1","10","0.00"
="081425","康和GV","30000","1","25500","0.85","0.85","0.85","0.85","-","0.01","0.79","10","0.89","10","0.00"
="081426","康和GW","0","0","0","--","--","--","--"," ","0","0.34","10","0.35","10","0.00"
="081427","5X富邦","0","0","0","--","--","--","--"," ","0","2.23","10","2.65","30","323.5"
="081428","5Y富邦","0","0","0","--","--","--","--"," ","0","0.06","30","0.07","10","254.5"
="081429","5Z富邦","0","0","0","--","--","--","--"," ","0","2.49","30","2.52","2","147.5"
="081430","DK元富","17000","9","41950","2.48","2.51","2.44","2.51","-","0.03","2.48","25","2.51","8","17.11"
="081431","DL元富","59000","4","40980","0.7","0.7","0.66","0.7","+","0.03","0.68","25","0.7","25","173"
="081432","DM元富","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","27.55"
="081433","DN元富","0","0","0","--","--","--","--"," ","0","--","0","0.01","9","112"
="081434","DP元富","0","0","0","--","--","--","--"," ","0","--","0","--","0","7.67"
="081435","DQ元富","0","0","0","--","--","--","--"," ","0","--","0","--","0","98.5"
="081436","兆豐4T","0","0","0","--","--","--","--"," ","0","0.02","10","0.03","10","27.55"
="081437","兆豐4U","0","0","0","--","--","--","--"," ","0","0.11","10","0.12","18","26.45"
="081438","兆豐4V","0","0","0","--","--","--","--"," ","0","0.06","10","0.07","10","21.15"
="081439","兆豐4W","0","0","0","--","--","--","--"," ","0","--","0","0.01","99","86.2"
="081440","兆豐4X","119000","3","60490","0.51","0.51","0.5","0.51","+","0.02","0.51","10","0.54","10","148.5"
="081441","兆豐4Y","10000","2","12400","1.24","1.24","1.24","1.24","+","0.03","1.24","10","1.28","12","148.5"
="081442","兆豐4Z","0","0","0","--","--","--","--"," ","0","1.58","10","1.61","10","148.5"
="081443","兆豐5A","0","0","0","--","--","--","--"," ","0","0.06","10","0.09","10","52.9"
="081444","兆豐5B","10000","1","400","0.04","0.04","0.04","0.04","X","0","0.03","10","0.04","13","47.6"
="081445","兆豐5C","0","0","0","--","--","--","--"," ","0","--","0","0.01","206","20.5"
="081446","兆豐5D","0","0","0","--","--","--","--"," ","0","0.05","10","0.06","10","43.1"
="081447","兆豐5E","40000","5","109300","2.66","2.81","2.66","2.69","X","0","2.78","10","2.79","10","45.5"
="081448","兆豐5F","81000","7","93410","1.13","1.22","1.11","1.22","+","0.08","1.2","10","1.21","10","59.9"
="081449","兆豐5G","788000","18","236430","0.31","0.31","0.28","0.3"," ","0","0.29","10","0.3","30","147.5"
="081450","國泰7M","0","0","0","--","--","--","--"," ","0","2.26","220","2.29","100","2680"
="081451","國泰7N","0","0","0","--","--","--","--"," ","0","--","0","0.1","100","36.75"
="081452","元大NY","0","0","0","--","--","--","--"," ","0","0.04","100","0.05","100","19.6"
="081453","元大NZ","0","0","0","--","--","--","--"," ","0","0.01","100","0.02","100","18.65"
="081454","中信K7","1216000","30","390290","0.39","0.39","0.28","0.29","-","0.09","0.29","40","0.3","40","323.5"
="081455","M9第一","0","0","0","--","--","--","--"," ","0","0.06","10","0.1","10","44.8"
="081456","6B富邦","0","0","0","--","--","--","--"," ","0","0.08","10","0.1","10","323.5"
="081457","6C富邦","0","0","0","--","--","--","--"," ","0","0.12","10","0.13","10","26.6"
="081458","6D富邦","75000","4","28650","0.37","0.39","0.37","0.39","+","0.09","0.36","10","0.37","10","92.4"
="081459","DU元富","5000","1","7850","1.57","1.57","1.57","1.57","X","0","1.54","25","1.56","10","78.3"
="081460","DV元富","368000","20","234920","0.6","0.67","0.6","0.66","+","0.06","0.65","25","0.66","25","218.5"
="081461","DW元富","745000","13","35300","0.04","0.07","0.04","0.07","+","0.02","0.05","25","0.07","20","86.2"
="081462","群益NN","0","0","0","--","--","--","--"," ","0","2.89","25","2.99","10","323.5"
="081463","群益NP","3563000","53","545290","0.14","0.2","0.12","0.2","+","0.05","0.2","15","0.21","60","86.2"
="081464","群益NQ","10000","2","450","0.04","0.05","0.04","0.05","+","0.01","0.04","95","0.05","43","86.2"
="081465","群益NR","0","0","0","--","--","--","--"," ","0","0.16","25","0.17","10","2680"
="081466","群益NS","5000","1","700","0.14","0.14","0.14","0.14","+","0.02","0.12","115","0.13","10","74"
="081467","群益NT","0","0","0","--","--","--","--"," ","0","0.04","25","0.05","10","26.25"
="081468","群益NU","0","0","0","--","--","--","--"," ","0","0.62","25","0.63","10","41.9"
="081469","群益NW","220000","3","268400","1.22","1.22","1.22","1.22"," ","0","1.18","25","1.23","30","148.5"
="08146P","中信69","0","0","0","--","--","--","--"," ","0","0.83","30","0.84","30","0.00"
="081470","群益NY","1610000","6","257650","0.16","0.17","0.16","0.17","+","0.03","0.16","25","0.17","10","59.7"
="081471","01群益","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","10","288"
="081472","02群益","309000","1","3090","0.01","0.01","0.01","0.01","X","0","0.01","25","0.02","10","288"
="081473","國票FK","1000","1","180","0.18","0.18","0.18","0.18","X","0","0.17","998","0.18","25","0.00"
="081474","日盛JH","0","0","0","--","--","--","--"," ","0","--","0","--","0","62.9"
="081475","日盛JJ","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","25","27.55"
="081476","元大XA","0","0","0","--","--","--","--"," ","0","--","0","0.01","6,093","86.2"
="081477","元大XB","0","0","0","--","--","--","--"," ","0","4.86","100","4.95","10","84.5"
="081478","元大XC","6000","3","25720","4.31","4.31","4.18","4.18","X","0","4.36","100","4.46","10","84.5"
="081479","國泰7P","0","0","0","--","--","--","--"," ","0","0.15","499","0.16","20","76.3"
="081480","2E凱基","0","0","0","--","--","--","--"," ","0","0.01","30","0.02","30","40.8"
="081481","2F凱基","1470000","9","352800","0.24","0.24","0.24","0.24","-","0.02","0.23","30","0.24","40","80.1"
="081482","2G凱基","0","0","0","--","--","--","--"," ","0","2.74","30","2.83","30","148.5"
="081483","2H凱基","0","0","0","--","--","--","--"," ","0","2.21","30","2.26","30","323.5"
="081484","工銀DZ","0","0","0","--","--","--","--"," ","0","3.01","50","3.09","50","17.11"
="081485","工銀EA","0","0","0","--","--","--","--"," ","0","0.2","100","0.28","50","92.4"
="081486","工銀EB","0","0","0","--","--","--","--"," ","0","0.1","100","0.18","50","48.4"
="081487","玉山6G","0","0","0","--","--","--","--"," ","0","0.01","53","0.03","53","0.00"
="081488","玉山6H","0","0","0","--","--","--","--"," ","0","0.11","73","0.13","73","0.00"
="081489","玉山6J","0","0","0","--","--","--","--"," ","0","--","0","0.01","153","0.00"
="081490","中信K8","32000","2","20460","0.63","0.64","0.63","0.64","-","0.03","0.63","100","0.65","100","147.5"
="081491","中信K9","0","0","0","--","--","--","--"," ","0","0.01","10","0.02","10","288"
="081492","日盛JK","0","0","0","--","--","--","--"," ","0","0.01","499","0.02","10","109"
="081493","日盛JL","0","0","0","--","--","--","--"," ","0","2.52","250","3","12","17.11"
="081494","日盛JM","0","0","0","--","--","--","--"," ","0","6.65","100","8","29","30.68"
="081495","兆豐5N","95000","4","223550","2.39","2.39","2.33","2.33","-","0.1","2.2","10","2.29","30","323.5"
="081496","兆豐5P","0","0","0","--","--","--","--"," ","0","--","0","0.02","13","254.5"
="081497","兆豐5Q","0","0","0","--","--","--","--"," ","0","1.89","10","1.9","30","2680"
="081498","兆豐5R","0","0","0","--","--","--","--"," ","0","5.6","10","--","0","84.5"
="081499","兆豐5S","20000","2","73800","3.67","3.71","3.67","3.71","+","0.48","3.8","10","3.85","10","84.5"
="081500","統一NB","10000","1","1800","0.18","0.18","0.18","0.18","-","0.02","0.18","20","0.19","20","44"
="081501","元大XD","0","0","0","--","--","--","--"," ","0","0.02","100","0.03","100","48.4"
="081502","元大XE","0","0","0","--","--","--","--"," ","0","--","0","0.02","144","26.25"
="081503","國泰7Q","4000","1","120","0.03","0.03","0.03","0.03","X","0","0.03","499","0.04","100","25.4"
="081504","國泰7R","0","0","0","--","--","--","--"," ","0","8.65","100","--","0","30.68"
="081505","國泰7S","0","0","0","--","--","--","--"," ","0","1.71","30","1.81","30","148.5"
="081506","永豐MB","1000","1","7000","7","7","7","7","X","0","6.85","50","7.05","10","28.98"
="081507","永豐MC","0","0","0","--","--","--","--"," ","0","0.01","499","0.02","10","27.55"
="081508","永豐MD","0","0","0","--","--","--","--"," ","0","0.01","100","0.02","10","9.69"
="081509","永豐ME","0","0","0","--","--","--","--"," ","0","0.02","499","0.03","10","21.15"
="081510","永豐MF","25000","3","17650","0.73","0.73","0.7","0.7","-","0.03","0.75","499","0.78","10","77.7"
="081511","永豐MG","0","0","0","--","--","--","--"," ","0","0.01","333","0.02","10","22.7"
="081512","永豐MH","0","0","0","--","--","--","--"," ","0","0.01","599","0.02","10","99.8"
="081513","永豐MI","0","0","0","--","--","--","--"," ","0","0.31","499","0.32","10","31.35"
="081514","永豐MJ","0","0","0","--","--","--","--"," ","0","0.01","599","0.02","10","18.15"
="081515","永豐MK","0","0","0","--","--","--","--"," ","0","0.06","499","0.07","10","92.4"
="081516","永豐ML","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","50.1"
="081517","永豐MM","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","7.67"
="081518","永豐MN","0","0","0","--","--","--","--"," ","0","--","0","0.01","100","109"
="081519","永豐MP","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","98.5"
="081520","永豐MQ","0","0","0","--","--","--","--"," ","0","0.16","499","0.17","10","276"
="081521","永豐MR","279000","12","41130","0.16","0.16","0.13","0.15","-","0.01","0.14","200","0.15","10","0.00"
="081522","永豐MS","79000","5","48100","0.62","0.63","0.6","0.6","-","0.01","0.6","449","0.62","102","43.3"
="081523","永豐MT","0","0","0","--","--","--","--"," ","0","0.02","499","0.03","10","56.2"
="081524","永豐MU","0","0","0","--","--","--","--"," ","0","0.04","499","0.05","10","25.4"
="081525","永豐MV","0","0","0","--","--","--","--"," ","0","0.12","499","0.13","20","48.4"
="081526","07群益","0","0","0","--","--","--","--"," ","0","0.02","25","0.03","10","14.55"
="081527","08群益","0","0","0","--","--","--","--"," ","0","--","0","--","0","77.5"
="081528","09群益","0","0","0","--","--","--","--"," ","0","0.02","25","0.04","10","52"
="081529","10群益","0","0","0","--","--","--","--"," ","0","0.09","25","0.1","10","9.32"
="081530","11群益","2413000","26","2260330","0.89","0.95","0.84","0.84","+","0.01","0.84","25","0.88","10","52.9"
="081531","12群益","0","0","0","--","--","--","--"," ","0","--","0","--","0","26.25"
="081532","13群益","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","10","43.1"
="081533","14群益","0","0","0","--","--","--","--"," ","0","0.06","25","0.07","10","2680"
="081534","17群益","0","0","0","--","--","--","--"," ","0","5.6","25","5.75","10","84.5"
="081535","EB元富","308000","2","58600","0.2","0.2","0.19","0.19"," ","0","0.19","25","0.2","25","16.7"
="081536","EC元富","0","0","0","--","--","--","--"," ","0","8.25","25","8.3","10","30.68"
="081537","ED元富","0","0","0","--","--","--","--"," ","0","2.26","25","2.31","10","323.5"
="081538","EF元富","0","0","0","--","--","--","--"," ","0","--","0","--","0","254.5"
="081539","EG元富","0","0","0","--","--","--","--"," ","0","0.08","25","0.09","25","24.6"
="081540","EH元富","0","0","0","--","--","--","--"," ","0","0.04","25","0.05","25","31.7"
="081541","EJ元富","0","0","0","--","--","--","--"," ","0","2.42","25","2.48","25","2680"
="081542","EK元富","0","0","0","--","--","--","--"," ","0","1.87","25","1.91","25","2680"
="081543","EQ元富","0","0","0","--","--","--","--"," ","0","--","0","--","0","458"
="081544","國票FL","0","0","0","--","--","--","--"," ","0","0.01","998","0.02","10","0.00"
="081545","國票FM","40000","1","27200","0.68","0.68","0.68","0.68","+","0.01","0.72","25","0.73","25","0.00"
="081546","2J凱基","0","0","0","--","--","--","--"," ","0","0.11","30","0.12","30","135.5"
="081547","2K凱基","0","0","0","--","--","--","--"," ","0","--","0","0.02","40","13.3"
="081548","2L凱基","342000","2","183360","0.58","0.58","0.53","0.53","-","0.05","0.57","30","0.58","30","40.4"
="081549","康和GX","0","0","0","--","--","--","--"," ","0","0.07","10","0.1","10","0.00"
="081550","ER元富","0","0","0","--","--","--","--"," ","0","0.08","25","0.09","25","99.8"
="081551","元大XJ","71000","6","65740","0.93","0.96","0.91","0.91","-","0.05","0.9","10","0.91","20","43.3"
="081552","元大XK","0","0","0","--","--","--","--"," ","0","0.01","100","0.05","100","22.7"
="081553","元大XL","0","0","0","--","--","--","--"," ","0","--","0","0.01","540","105"
="081554","N1第一","0","0","0","--","--","--","--"," ","0","7.3","10","7.75","10","30.68"
="081555","6E富邦","0","0","0","--","--","--","--"," ","0","0.04","10","0.05","10","17.3"
="081556","6F富邦","69000","4","125500","1.8","1.82","1.8","1.82","-","0.03","1.77","10","1.87","10","148.5"
="081557","日盛JN","90000","3","30500","0.34","0.34","0.33","0.33","+","0.02","0.31","25","0.33","25","10.8"
="081558","永豐MZ","0","0","0","--","--","--","--"," ","0","0.03","599","0.04","10","14.55"
="081559","永豐NA","30000","2","35400","1.18","1.18","1.18","1.18","+","0.02","1.07","499","1.11","10","148.5"
="081560","23群益","288000","8","208100","0.75","0.75","0.63","0.7","-","0.07","0.68","25","0.72","10","167"
="081561","24群益","0","0","0","--","--","--","--"," ","0","2.15","25","2.2","10","493"
="081562","26群益","215000","5","83950","0.36","0.43","0.36","0.41","X","0","0.38","25","0.39","10","92.4"
="081563","兆豐5U","50000","5","25300","0.52","0.52","0.5","0.5","+","0.04","0.49","10","0.5","10","59.9"
="081564","兆豐5V","0","0","0","--","--","--","--"," ","0","0.14","10","0.15","22","48.15"
="081565","兆豐5W","0","0","0","--","--","--","--"," ","0","0.21","10","0.23","10","275.5"
="081566","兆豐5X","30000","1","12900","0.43","0.43","0.43","0.43","-","0.01","0.44","10","0.45","30","129"
="081567","兆豐5Y","0","0","0","--","--","--","--"," ","0","0.11","10","0.12","10","14.55"
="081568","兆豐5Z","0","0","0","--","--","--","--"," ","0","0.06","10","0.07","13","20.2"
="081569","兆豐6A","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","99.8"
="081570","兆豐6B","42000","1","12180","0.29","0.29","0.29","0.29","+","0.03","0.3","10","0.31","30","59.7"
="081571","兆豐6C","0","0","0","--","--","--","--"," ","0","0.17","10","0.18","27","26.75"
="081572","兆豐6D","48000","5","52040","1.17","1.17","1.06","1.06","-","0.07","1.07","10","1.12","10","41"
="081573","兆豐6E","0","0","0","--","--","--","--"," ","0","0.29","10","0.3","10","80.1"
="081574","兆豐6F","0","0","0","--","--","--","--"," ","0","0.1","10","0.11","10","52.2"
="081575","兆豐6G","40000","2","5200","0.13","0.13","0.13","0.13","X","0","0.01","106","0.13","10","56.2"
="081576","兆豐6H","40000","1","2800","0.07","0.07","0.07","0.07"," ","0","0.08","10","0.09","13","86.2"
="081577","兆豐6J","0","0","0","--","--","--","--"," ","0","0.15","10","0.16","24","36.75"
="081578","永昌A9","100000","2","45000","0.48","0.48","0.43","0.43","X","0","0.43","10","0.53","10","11.55"
="081579","永昌B1","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","20.2"
="081580","永昌B2","0","0","0","--","--","--","--"," ","0","0.03","10","0.1","10","38.5"
="081581","永昌B3","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","99.8"
="081582","永昌B4","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","105"
="081583","永昌B5","260000","7","157870","0.62","0.63","0.57","0.58","-","0.01","0.57","10","0.59","10","41"
="081584","永昌B6","0","0","0","--","--","--","--"," ","0","0.05","10","0.1","10","25.2"
="081585","永昌B7","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","29.25"
="081586","永昌B8","1570000","23","1232200","0.78","0.83","0.76","0.78","-","0.06","0.78","30","0.88","10","16.6"
="081587","永昌B9","0","0","0","--","--","--","--"," ","0","0.04","10","0.1","10","25.4"
="081588","中信L1","211000","8","361870","1.74","1.74","1.69","1.7","-","0.03","1.69","100","1.71","100","147.5"
="081589","中信L2","547000","17","481530","0.83","0.9","0.83","0.89","+","0.07","0.9","10","0.91","10","218.5"
="081590","2M凱基","0","0","0","--","--","--","--"," ","0","0.01","30","0.02","30","31.2"
="081591","元大XS","230000","11","195000","0.87","0.87","0.84","0.85","+","0.01","0.86","495","0.87","495","0.00"
="081592","元大XT","12000","1","3600","0.3","0.3","0.3","0.3","-","0.02","0.31","495","0.32","495","0.00"
="081593","元大XU","751000","23","784050","1.22","1.22","0.89","1.07","+","0.1","1.1","100","1.11","100","41.9"
="081594","元大XV","0","0","0","--","--","--","--"," ","0","2.67","100","2.74","10","53.5"
="081595","元大XW","0","0","0","--","--","--","--"," ","0","1.74","10","1.82","10","17.05"
="081596","元大XX","0","0","0","--","--","--","--"," ","0","0.03","100","0.04","100","98.5"
="081597","元大XY","1101000","11","198250","0.16","0.19","0.15","0.16","-","0.01","0.15","100","0.16","100","11.55"
="081598","元大XZ","217000","2","162460","0.78","0.78","0.74","0.74","-","0.08","0.74","200","0.78","206","147.5"
="081599","元大YA","0","0","0","--","--","--","--"," ","0","1.41","10","1.47","10","16.6"
="081600","永豐NB","0","0","0","--","--","--","--"," ","0","0.02","499","0.03","10","27.35"
="081601","永豐NC","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","24.55"
="081602","永豐ND","0","0","0","--","--","--","--"," ","0","--","0","0.01","222","38.8"
="081603","永豐NE","0","0","0","--","--","--","--"," ","0","0.01","499","0.02","10","15.55"
="081604","永豐NF","599000","18","229590","0.39","0.41","0.37","0.4","-","0.05","0.39","300","0.4","19","16.6"
="081605","永豐NG","0","0","0","--","--","--","--"," ","0","0.83","499","0.85","49","140.5"
="081606","永豐NH","0","0","0","--","--","--","--"," ","0","0.02","300","0.03","10","156.5"
="081607","永豐NI","0","0","0","--","--","--","--"," ","0","0.03","499","0.04","10","62.9"
="081608","永豐NJ","0","0","0","--","--","--","--"," ","0","0.03","499","0.04","10","31.1"
="081610","永豐NL","0","0","0","--","--","--","--"," ","0","0.07","499","0.08","200","116"
="081611","永豐NM","134000","5","15020","0.13","0.13","0.11","0.11","-","0.02","0.11","290","0.12","10","2680"
="081612","永豐NN","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","254.5"
="081613","永豐NP","5000","1","8300","1.66","1.66","1.66","1.66","-","0.1","1.77","100","1.86","10","17.11"
="081614","永豐NQ","0","0","0","--","--","--","--"," ","0","0.01","499","0.02","10","77.5"
="081615","31群益","0","0","0","--","--","--","--"," ","0","0.5","25","0.52","10","323.5"
